Beta Values for the Period from 01st October to 30th December 2009,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
MGT,0.727937297,MGT,0.632549666
MIRA,1.31615042,MIRA,1.1489725
MORI,0.179139347,MORI,0.222177947
MPRH,0,MPRH,0
MRH,0.541487678,MRH,0.364433312
MSL,0.062401085,MSL,0.028917857
MULL,2.37071369,MULL,2.3541299
NAMU,0.871731102,NAMU,0.661922923
NDB,0.974753184,NDB,0.801047418
NEH,0.095334991,NEH,0.013149655
NEST,0.143190896,NEST,0.058860363
NHL,0.944607732,NHL,0.780326749
NTB,0.935111914,NTB,0.778732851
OFEQ,0,OFEQ,0
ONAL,0.11794408,ONAL,0.049638526
OSEA,0.58866531,OSEA,0.477087721
PABC,1.71663275,PABC,1.36836113
PALM,0.222021252,PALM,0.157909717
PARA,0.305750244,PARA,0.244663289
PARQ,0.232346069,PARQ,-0.03147947
PDL,0.500942045,PDL,0.522798428
PEG,1.2878137,PEG,0.940171913
PHAR,0.452181777,PHAR,0.483349462
PMB,0.672168211,PMB,0.455342403
RAL,0,RAL,0
RCL,1.4548195,RCL,1.22445494
REEF,1.40688823,REEF,1.25451129
REG,0.006405908,REG,-0.01832982
RENU,0.616323762,RENU,0.424261399
REXP,1.17831034,REXP,0.946433654
RGEM,1.04582108,RGEM,0.772869585
RHL,0.809782199,RHL,0.650253315
RHTL,1.54420076,RHTL,1.22325952
RICH,1.10807144,RICH,0.879205328
RPBH,0.170472529,RPBH,0.017760573
SAMP,0.741427387,SAMP,0.670063186
SELI,0.386690783,SELI,0.163943758
SEMB,1.40914914,SEMB,1.33927249
SERV,0.918456552,SERV,0.735811464
SEYB,1.20446152,SEYB,1.02407923
SHAL,-0.53900067,SHAL,-0.22724426
SHAW,0.419097143,SHAW,0.369727329
SHOT,0.272967066,SHOT,0.128024136
SIGV,1.32383751,SIGV,1.04007514
SIL,0.398824327,SIL,0.339614049
SING,0.004597181,SING,0.016280525
SINI,-0.40794332,SINI,-0.35828542
SINS,0.252769613,SINS,0.159332839
SIRA,1.43130605,SIRA,1.15244492
SLND,0,SLND,0
SLTL,1.07152008,SLTL,0.821312688
SMLL,1.09028562,SMLL,0.910627881
SMOT,0.563946039,SMOT,0.475835373
SOY,0.440048232,SOY,0.434507884
SPEN,0.655965031,SPEN,0.454431604
STAF,0.867661466,STAF,0.642056127
SUGA,1.21787625,SUGA,0.957135538
SUN,-0.00731027,SUN,0.001821597
SWAD,0,SWAD,0
