New Listing 1989,,,,,
Equity,,,,,
Company,No of Shares,Issue Price,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Seylan Trust Bank Ltd,50000000,10,50000000,Nil,1989-01-05 00:00:00
2) United Motors Ltd,90000000,10,90000000,Nil,1989-12-05 00:00:00
Value (Rs.),140000000,,,,
Issues (No.),2,,,,
New Listing 1989 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
1) Banks Finance & Insurance,1,50000000,500000000,,
2) Motors,1,90000000,900000000,,
Total,2,140000000,1400000000,,
De-Listings 1989,,,,,
Company,Date of De-Listing,,,,
Rajarata Food Grain Processing Co. Ltd,1989-09-26 00:00:00,,,,
Multistretch Ltd,1989-09-27 00:00:00,,,,
