Bonus Issues 1998,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) John Keells Holdings,1 for 4,10,8023130
2) Tangerine Beach Hotels,1 for 4,10,1250000
3) Central Finance,1 for 1,10,3045000
4) Acl Cables,2 for 5,10,2240179
5) Hatton National Bank,1 for 2,10,10000000
6) John Keels,1 for 1,10,3800000
7) Aitken Spence,1 for 3,10,4844500
8) Ceylon Cold Stores,1 for 1,8,10800000
9) Richard Pieris,1 for 7,10,2488872
10) Autodrome,4 for 11,100,32000
11) Commercial Bank,3 for 10,10,8036565
12) E B Creasy,1 for 2,10,845153
13) Sharlimar Malay,109 for 10,10,2943000
14)  Good Hope,1 for 1,10,1325484
15) Indo Malay,1 for 1,10,1215000
16) Selinsing,1 for 1,10,1606500
17) Chemanex,1 for 6,10,500000
18) DFCC Bank,1 for 6,10,5037037
19) Dipped Products,1 for 5,10,2737152
20) Hayleys Exports,1 for 7,10,500000
21) Singer (Sri Lanka),3 for 11,10,5723868
22) Haycarb,1 for 6,10,3234000
23) Heyleys,1 for 6,10,4400000
24) Cargills,1 for 1,10,2800000
25) CT Land,1 for 2,10,16250000
26) Glaxo Wellcome ,1 for 2,10,405000
27) Millers,4 for 1,8,3115800
Value (Rs.),1047030800,,
Issues (No.),27,,
Bonus Issues - by Sector 1998,,,
Sector,No of Issues,No of Shares,
"Banks, Finance & Insurance",4,26118602,
"Beverage, Fod & Tobacco",1,10800000,
Chemical & Pharmaceuticals,3,4139000,
Diversified,3,17267630,
Land & Property,1,16250000,
Hotels & Travels,1,1250000,
Manufacturing,3,7466203,
Oil Palms,4,7089984,
Motors,1,32000,
Services,1,3800000,
Stores,3,6760953,
Trading,2,6223868,
Total,27,107198240,
