Sector Domestic & Foreign Analysis 2001,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",53319,2426,244448049,45552789,4613376721,1022335282
"BEVERAGE, FOOD & TOBACCO",12505,911,48849181,9555351,788339657,188231183
CONSTRUCTION & ENGINEERING,3585,215,14600334,1220963,230128898,17052900
CHEMICALS & PHARMACEUTICALS,2206,30,2784710,112962,74577762,4551003
FOOTWEAR & TEXTILES,652,3,3375880,2350,15474676,14812
HOTELS & TRAVELS,9781,486,106417448,53491795,759184888,337925221
INVESTMENT TRUSTS,1251,26,2353122,94102,72518780,3264135
LAND & PROPERTY,4069,51,17076674,2585875,112477611,21139237
MANUFACTURING,25747,805,76624079,6190373,1306911646,144239609
MOTORS,828,22,1371156,450788,32022967,12241839
OIL PALMS,50,3,929608,453,476492720,155292
STORES & SUPPLIES,515,6,4198241,166647,10399553,746772
SERVICES,509,0,377096,0,19316298,0
TRADING,1775,21,4885144,22330,79678356,556562
PLANTATIONS,18867,404,36064840,2314400,396251386,22576575
DIVERSIFIED HOLDINGS,14970,1452,38967886,18491194,2113808485,848568373
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,2198,18,12418562,39050,328475547,726437
INFORMATION TECHNOLOGY,0,0,0,0,0,0
TELECOMMUNICATION,17,0,3674,0,3199630,0
