SCRIP DIVIDENDS 2020 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,,National Development Bank PLC,2020-02-27 00:00:00,1,20.466,10837475,2020-03-11 00:00:00
2,,Commercial Bank PLC                                  Non voting,2020-06-25 00:00:00,1,38.599996387,1716432,2020-07-06 00:00:00
,,                                                                    Voting,,1,42.7500006,22485434,
3,,DFCC Bank PLC,2020-06-24 00:00:00,1,168.200036052,1808494,2020-07-03 00:00:00
4,,Hatton National Bank PLC                            Non Voting,2020-05-29 00:00:00,1,38.2000024679,2593268,2020-06-10 00:00:00
,,                                                                   Voting ,,1,44.7142874332,8975741,
5,,Seylan Bank PLC                                      Non Voting,2020-06-24 00:00:00,1,30.9000035661,8160061,2020-07-03 00:00:00
,,                                                                    Voting ,,1,48.0000030539,5329122,
6,,National Development Bank PLC,2020-02-27 00:00:00,1,20.466,10837475,2020-03-11 00:00:00
7,,Commercial Bank PLC                               Non Voting,2020-06-25 00:00:00,1,38.599996387,1716432,2020-07-06 00:00:00
,,                                                                    Voting,,1,42.7500006,22485434,
8,,DFCC Bank PLC,2020-06-24 00:00:00,1,168.200036052,1808494,2020-07-03 00:00:00
9,,Sanasa Development Bank ,2020-07-15 00:00:00,1,11.8140022617,4742436,2020-07-27 00:00:00
10,,Central Industries PLC ,2020-07-31 00:00:00,1,21.24999919,930279,2020-08-14 00:00:00
11,,Central Finance Company PLC,2020-08-28 00:00:00,1,65.83334711,3350620,2020-09-11 00:00:00
12,,Amana Bank PLC,2020-09-18 00:00:00,1,25.0000000899,100055621,2020-09-28 00:00:00
13,,Ceylon Investment PLC,2020-09-15 00:00:00,1,52.6666735511,1888311,2020-09-24 00:00:00
14,,Resus Energy PLC,2020-11-03 00:00:00,1,21.431995064,3522393,2020-11-13 00:00:00
15,,People's Leasing and Finance PLC,2020-12-14 00:00:00,1,21.1666668487,76899372,2020-12-24 00:00:00
