Market Capitalisation of Listed Companies as at 30th December 2011,,,,
COMPANY CODE,NAME,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
CFL,CHILAW FINANCE,28083948,22.4,629080435.2
GEST,GESTETNER,2278125,274.3,624889687.5
UDPL,UDAPUSSELLAWA,19398850,32,620763200
LALU,LANKA ALUMINIUM,13702823,44,602924212
KURU,KURUWITA TEXTILE,25000000,23.9,597500000
MIRA,MIRAMAR,2750000,200,550000000
MASK,MASKELIYA,26976744,20,539534880
SIL,SAMSON INTERNAT.,3847974,140,538716360
ARPI,ARPICO,4462500,119.9,535053750
ACME,ACME,25613280,20.7,530194896
APLA,ACL PLASTICS,4212500,125.1,526983750
PARQ,SWISSTEK,27372000,19,520068000
SWAD,SWADESHI,130666,3800,496530800
MADU,MADULSIMA,29000000,16.6,481400000
LITE,LAXAPANA,39000000,11.8,460200000
ALUF,ALUFAB,12058200,38,458211600
HSIG,HOTEL SIGIRIYA,5859000,74,433566000
HUNA,HUNAS FALLS,5625000,73,410625000
MPRH,MET. RES. HOL.,17264802,23.7,409175807.4
KDL,KELSEY,17429274,23.2,404359156.8
LPRT,LAKE HOUSE PRIN.,2937245,135.5,397996697.5
ASPH,INDUSTRIAL ASPH.,666562,500.3,333480968.6
RGEM,RADIANT GEMS,2400000,128.4,308160000
REXP,RICH PIERIS EXP,11163745,27.5,307002987.5
YORK,YORK ARCADE,12000000,25.2,302400000
HUEJ,HUEJAY,1800000,160.5,288900000
HEXP,HAYLEYS EXPORTS,8000000,36,288000000
CHOU,CITY HOUSING,13379850,18.6,248865210
PARA,PARAGON,100028,1899,189953172
KZOO,KALAMAZOO,50000,2800,140000000
BINN,BERUWELA WALKINN,900000,145.1,130590000
VANI,VANIK INCORP LTD,65481650,0.8,52385320
FERN,FERNTEA LTD,6000000,3.5,21000000
OFEQ,OFFICE EQUIPMENT,83356,120.4,10036062.4
CPRT,CEYLON PRINTERS,35010,100,3501000
