Sector Domestic & Foreign Analysis - 2019 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INSURANCE,306761,15944,2473604604,1470539288,36541171390,18449785452
BEV FOOD TOBACCO,51846,2514,175754935,26798643,4926955503,3701315420
CONSTRUCTION ENG,83574,3407,344863894,25104729,5680516430,428341321
CHEMICALS PHARMS,12057,220,36359984,603326,640983653,37284183
DIVERSIFIED,113585,7649,1349472052,289949624,26866149567,26328449719
FOOTWEAR TEXTILE,35403,1093,172161815,15660201,3415607303,524163874
HOTELS TRAVELS,83999,1007,310552729,22109019,3533375669,185961939
HEALTH CARE,9169,231,34171313,44941463,866931998,989411545
INVESTMENT TRUST,29873,745,115751324,3556341,993119934,88548260
IT,3011,69,6194844,295156,30876892,1330819
LAND PROPERTY,62031,1774,145786724,317394476,2074396092,4625365567
MANUFACTURING,199780,6646,719447200,48644789,13476001485,1661399132
MOTORS,9432,114,3117228,351762,284767965,24517847
OIL PALMS,976,41,144114,112131,31988646,23292682
POWER & ENERGY,56999,1378,496866484,39869418,3091936603,274201136
PLANTATIONS,41805,557,209001338,2079824,1988973682,48281907
STORES SUPPLIES,1258,28,613415,29178,725052757,7365341
SERVICES,11478,134,83353583,1733210,225026657,4095283
TELECOM,20503,3118,266802513,453398716,2850872943,5096679568
TRADING,16764,232,145623754,2200873,655496453,7965379
