Dividend Records - 2008,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
CPRT-N-0,RS. 2.00 PER SHARE - F,2007-12-03 00:00:00,2007-12-28 00:00:00,2008-01-04 00:00:00,62,
KZOO-N-0,RS.3 PER SHARE - FINAL,2007-12-03 00:00:00,2007-12-28 00:00:00,2008-01-04 00:00:00,700,
OFEQ-N-0,RS.2 PER SHARE - FINAL,2007-12-03 00:00:00,2007-12-28 00:00:00,2008-01-04 00:00:00,80.25,
CFIN-N-0,RS.1.25 P/S - FIRST IN,2007-12-07 00:00:00,2007-12-26 00:00:00,2008-01-08 00:00:00,197.25,190
AMW-N-00,RS.1.00 PER SHARE - IN,2007-12-14 00:00:00,2007-12-20 00:00:00,2008-01-04 00:00:00,126,125
CTLD-N-0,RS.0.60 P/S (TAXABLE),2007-12-17 00:00:00,2007-12-20 00:00:00,2008-01-03 00:00:00,15.5,15.75
LLUB-N-0,RS.3.50 P/S - FOURTH I,2007-12-17 00:00:00,2008-01-03 00:00:00,2008-01-16 00:00:00,88,84
AEC-N-00,RS.3 PER SHARE - INTER,2007-12-20 00:00:00,2007-12-28 00:00:00,2008-01-10 00:00:00,575,553.25
CTHR-N-0,"RS. 8.00 PER SHARE, IN",2007-12-24 00:00:00,2007-12-27 00:00:00,2008-01-03 00:00:00,3200,2966.8
JKL-N-00,RS. 7.00 PER SHARE. 1S,2007-12-24 00:00:00,2008-01-04 00:00:00,2008-01-17 00:00:00,94,83.5
COMD-N-0,RS.2.00 PER SHARE - IN,2008-01-02 00:00:00,2008-01-04 00:00:00,2008-01-11 00:00:00,54.75,52
CTC-N-00,RS.4.10 P/S - 4TH INTE,2008-01-02 00:00:00,2008-01-18 00:00:00,2008-01-31 00:00:00,59.5,53.25
GOOD-N-0,RS.1.88 P/S-1 ST INT.,2008-01-02 00:00:00,2008-01-04 00:00:00,2008-01-17 00:00:00,180,185
