Foreign Holding as at 31st December 2010,,,,,
YEAR,COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
2010,COCO,R,0000,RENUKA FOODS PLC,0
2010,HEXP,N,0000,HAYLEYS FIBRE PLC,14251
2010,LFIN,N,0000,LB FINANCE PLC,140221
2010,MCL,N,0000,MERCANTILE CREDIT LIMITED,0
2010,RICH,R,0000,RICHARD PIERIS AND COMPANY PLC,0
2010,SINS,R,0000,SINGER (SRI LANKA) PLC,0
2010,CIC,R,0000,C I C HOLDINGS PLC,0
2010,CTLD,R,0000,C T LAND DEVELOPMENT PLC,0
2010,BLUE,X,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,1339982
2010,BLUE,B,0000,BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,0
2010,LINV,R,0000,LAKE  HOUSE  INVESTMENTS  LIMITED,0
2010,HAYL,B,0000,HAYLEYS PLC,0
2010,RHTL,R,0000,THE FORTRESS RESORTS PLC,0
2010,VANI,X,0000,VANIK INCORPORATION PLC,2864777
2010,SINN,R,0000,CEYLON STRATEGIC HOLDINGS LIMITED,0
2010,LDEV,N,0000,LANKEM DEVELOPMENTS PLC,9645
2010,CHOT,N,0000,CEYLON HOTELS CORPORATION PLC,857043
2010,HUNT,N,0000,HUNTER & COMPANY PLC,1074977
2010,VANI,W,0000,VANIK INCORPORATION PLC,0
2010,BREW,N,0000,CEYLON BEVERAGE HOLDINGS PLC,2627003
2010,JKH,B,0000,JOHN KEELLS HOLDINGS PLC,0
2010,EBCR,B,0000,E B CREASY & COMPANY PLC,0
2010,ASHL,N,0000,AITKEN SPENCE HOTELS LTD.,0
2010,JFIN,R,0000,FINLAYS COLOMBO PLC,0
2010,GLAX,N,0000,GLAXO WELLCOME CEYLON LIMITED,0
2010,LMF,N,0000,LANKA MILK FOODS (CWE) PLC,5630256
2010,MBSL,R,0000,MERCHANT BANK OF SRI LANKA & FINANCE PLC,0
2010,UML,B,0000,UNITED MOTORS LANKA PLC,0
2010,MIRA,N,0000,MIRAMAR BEACH HOTELS PLC,120
2010,ONAL,N,0000,ON'ALLY HOLDINGS PLC,34223
2010,ELPL,N,0000,ELPITIYA PLANTATIONS PLC,424500
2010,SEMB,R,0000,S M B LEASING PLC,0
2010,KREA,N,0000,KOREA CEYLON FOOTWEAR MANUFACTURING COMPANY LIMITED,267976
2010,CFT,N,0000,CEYLON AND FOREIGN TRADES PLC,268900
2010,SEYB,B,0000,SEYLAN BANK PLC,0
2010,SEYB,X,0000,SEYLAN BANK PLC,11328644
2010,SFL,N,0000,SINHAPUTHRA FINANCE PLC,100
2010,COMB,X,0000,COMMERCIAL BANK OF CEYLON PLC,2717703
2010,DIMO,N,0000,DIESEL & MOTOR ENGINEERING PLC,649755
2010,CSEC,N,0000,DUNAMIS CAPITAL PLC,12297159
2010,NDB,N,0000,NATIONAL DEVELOPMENT BANK PLC,24984323
2010,STAT,N,0000,STATCON  LIMITED,499
2010,CFI,N,0000,COLOMBO FORT INVESTMENTS PLC,104911
2010,COXY,R,0000,CEYLON OXYGEN LTD.,0
2010,HNB,R,0000,HATTON NATIONAL BANK PLC,0
2010,PARQ,R,0000,SWISSTEK (CEYLON) PLC,0
2010,LOLC,N,0000,LANKA ORIX LEASING COMPANY PLC,1453500
2010,ASHO,N,0000,LANKA ASHOK LEYLAND PLC,19200
2010,AHUN,R,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,0
2010,EAST,N,0000,EAST WEST PROPERTIES PLC,20954402
2010,GOOD,N,0000,GOOD HOPE PLC,248506
2010,HDFC,N,0000,HOUSING DEVELOPMENT FINANCE CORPORATION BANK OF SL,7901
2010,RHL,X,0000,RENUKA HOLDINGS PLC,96300
2010,TRAN,N,0000,TRANS ASIA HOTELS PLC,99900
2010,CFI,R,0000,COLOMBO FORT INVESTMENTS PLC,0
2010,CIT,N,0000,COLOMBO INVESTMENT TRUST PLC,16766
2010,TYRE,B,0000,KELANI TYRES PLC,0
2010,CARG,N,0000,CARGILLS (CEYLON) PLC,7150320
2010,COMB,R,0000,COMMERCIAL BANK OF CEYLON PLC,0
2010,MPEK,N,0000,MAGPEK EXPORTS LTD,0
2010,BBH,N,0000,BROWNS BEACH HOTELS PLC,50005
2010,BREW,R,0000,CEYLON BEVERAGE HOLDINGS PLC,0
2010,CSD,N,0000,SEYLAN DEVELOPMENTS PLC,3842540
2010,COMD,N,0000,COMMERCIAL DEVELOPMENT COMPANY PLC,16400
2010,HINN,N,0000,HABARANA WALK INN LIMITED.,0
2010,STAF,N,0000,DOLPHIN HOTELS PLC,197600
2010,RENU,R,0000,RENUKA CITY HOTELS PLC.,0
2010,TKYO,R,0000,TOKYO CEMENT COMPANY (LANKA) PLC,0
2010,AHCL,N,0000,ASSOCIATED  HOTELS  CO. LTD,0
2010,CHMX,R,0000,CHEMANEX PLC,0
2010,KOTA,N,0000,KOTAGALA PLANTATIONS PLC,1325800
2010,VANI,B,0000,VANIK INCORPORATION PLC,0
2010,COLO,B,0000,C M HOLDINGS PLC,0
2010,VTEX,N,0000,VEYANGODA TEXTILE MILLS LTD,697500
2010,ATL,R,0000,AMANA TAKAFUL PLC,0
2010,RICH,B,0000,RICHARD PIERIS AND COMPANY PLC,0
2010,PALM,N,0000,PALM GARDEN HOTELS PLC,41200
