Dividend Records - 2013,,,,,,,,
DATE_OF_ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE_OF_PAYMENT, CUM_PRICE,EX_PRICE
2013-06-12 00:00:00, COLO-N-0000, C M HOLDINGS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 3.00 PER SHARE, 30-SEP-13, 08-OCT-13,96,90.9
2013-06-12 00:00:00, SIGV-N-0000, SIGIRIYA VILLAGE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 19-JUL-13, 30-JUL-13,68,62.1
2013-06-14 00:00:00, VFIN-N-0000, VALLIBEL FINANCE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 25-JUN-13, 04-JUL-13,32.2,30.3
2013-06-17 00:00:00, AMCL-N-0000, CAPITAL LEASING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.55 PER SHARE, 26-JUN-13, 03-JUL-13, , 
2013-06-19 00:00:00, CARS-N-0000, CARSONS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 01-AUG-13, 12-AUG-13,415.1,415
2013-06-19 00:00:00, CINV-N-0000, CEYLON INV., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.75 PER SHARE, 31-JUL-13, 08-AUG-13,86.2,87
2013-06-19 00:00:00, GUAR-N-0000, CEYLON GUARDIAN, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE, 31-JUL-13, 08-AUG-13,171.1,189
2013-06-26 00:00:00, CIT-N-0000, CIT, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 29-JUL-13, 06-AUG-13,118.6,115.2
2013-06-26 00:00:00, YORK-N-0000, YORK ARCADE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.40 PER SHARE, 29-JUL-13, 06-AUG-13,14.5,14.1
2013-06-27 00:00:00, AGST-N-0000, AGSTARFERTILIZER, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.10 PER SHARE(VOTING & NON-VOTING), 26-JUL-13, 05-AUG-13,6,5.8
2013-06-27 00:00:00, MBSL-N-0000, MERCHANT BANK, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 06-AUG-13, 15-AUG-13,16,16
2013-06-28 00:00:00, CFI-N-0000, CFI, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 06-AUG-13, 15-AUG-13,101.1,101.1
2013-06-28 00:00:00, NHL-N-0000, NAWALOKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.05 PER SHARE, 09-JUL-13, 18-JUL-13,3.1,3.1
2013-06-28 00:00:00, ORIN-N-0000, ORIENT FINANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.20 PER SHARE, 17-SEP-13, 26-SEP-13,14.3,14.1
2013-07-01 00:00:00, TJL-N-0000, TEXTURED JERSEY, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.58 PER SHARE, 24-JUL-13, 01-AUG-13,12.6,12.2
2013-07-01 00:00:00, TKYO-N-0000, TOKYO CEMENT, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE (VOTING & NON VOTING), 12-AUG-13, 21-AUG-13,26.9,24
2013-07-02 00:00:00, EXPO-N-0000, EXPOLANKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.12 PER SHARE, 11-JUL-13, 23-JUL-13,6.8,6.8
2013-07-03 00:00:00, CRL-N-0000, SOFTLOGIC FIN, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 12-JUL-13, 24-JUL-13,33,32.7
2013-07-04 00:00:00, TILE-N-0000, LANKA TILES, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 2.60 PER SHARE, 15-JUL-13, 25-JUL-13,80,75.6
2013-07-05 00:00:00, CFL-N-0000, CHILAW FINANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 26-SEP-13, 04-OCT-13,12.8,12.1
2013-07-08 00:00:00, ELPL-N-0000, ELPITIYA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 27-SEP-13, 07-OCT-13,14.9,14.1
2013-07-09 00:00:00, CLPL-N-0000, CEYLON LEATHER, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 05-AUG-13, 14-AUG-13,75.9,73.9
2013-07-11 00:00:00, VLL-N-0000, VIDULLANKA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.05 PER SHARE, 01-AUG-13, 12-AUG-13,3.6,3.8
2013-07-12 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 24-JUL-13, 02-AUG-13,317,315.7
2013-07-15 00:00:00, KGAL-N-0000, KEGALLE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 12.00 PER SHARE, 25-JUL-13, 02-AUG-13,114,102.1
2013-07-15 00:00:00, NAMU-N-0000, NAMUNUKULA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 9.00 PER SHARE, 25-JUL-13, 02-AUG-13,84.5,75
2013-07-15 00:00:00, REXP-N-0000, RICH PIERIS EXP, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.40 PER SHARE, 25-JUL-13, 02-AUG-13,36.4,36.5
2013-07-15 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.20 PER SHARE, 31-JUL-13, 08-AUG-13,50, 
2013-07-18 00:00:00, VONE-N-0000, VALLIBEL ONE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.70 PER SHARE, 30-JUL-13, 07-AUG-13,18.1,17.6
2013-07-18 00:00:00, VPEL-N-0000, VALLIBEL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.20 PER SHARE (TAX FREE), 30-JUL-13, 08-AUG-13,6.3,6.2
2013-07-19 00:00:00, KCAB-N-0000, KELANI CABLES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 31-JUL-13, 12-AUG-13,77,75
2013-07-25 00:00:00, TYRE-N-0000, KELANI TYRES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.65 PER SHARE (GROSS), 05-AUG-13, 15-AUG-13,44.7,43
2013-07-29 00:00:00, KHC-N-0000, KANDY HOTELS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.0.02 PER SHARE (AMENDED DATES), 23-SEP-13, 01-OCT-13,8.1,7.9
2013-07-30 00:00:00, AMF-N-0000, AMF CO LTD, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.10.00 PER SHARE (SUBJECT TO 10% DIVIDEND TAX), 08-AUG-13, 21-AUG-13,365,352.1
2013-07-31 00:00:00, LVEN-N-0000, LANKA VENTURES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 24-SEP-13, 02-OCT-13,36.9,35.1
2013-07-31 00:00:00, LWL-N-0000, LANKA WALLTILE, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 12-AUG-13, 22-AUG-13,62.5,59.1
2013-08-02 00:00:00, AEL-N-0000, ACCESS ENG SL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.25 PER SHARE, 14-AUG-13, 26-AUG-13,22.4,21.9
2013-08-02 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 15.00 PER SHARE (LESS WITHHOLDING TAX), 14-AUG-13, 23-AUG-13,1200.1,1271.5
2013-08-07 00:00:00, APLA-N-0000, ACL PLASTICS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 19-AUG-13, 29-AUG-13,90,90
2013-08-07 00:00:00, COCO-N-0000, RENUKA SHAW, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.30 PER SHARE (VOTING & NON VOTING), 26-SEP-13, 04-OCT-13,17,16.9
2013-08-07 00:00:00, LIOC-N-0000, LANKA IOC, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 16-SEP-13, 25-SEP-13,26,25
2013-08-07 00:00:00, RAL-N-0000, RENUKA AGRI, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.10 PER SHARE, 26-SEP-13, 04-OCT-13,3.9,3.8
2013-08-07 00:00:00, RHL-N-0000, RENUKA HOLDINGS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.70 PER SHARE (VOTING & NON VOTING), 26-SEP-13, 04-OCT-13,30,29.9
2013-08-12 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS.0.17 PER SHARE, 22-AUG-13, 02-SEP-13,4,4
2013-08-12 00:00:00, HARI-N-0000, HARISCHANDRA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 25.00 PER SHARE, 23-SEP-13, 01-OCT-13,2250,2297
2013-08-12 00:00:00, SIL-N-0000, SAMSON INTERNAT., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS.2.00 PER SHARE, 22-AUG-13, 02-SEP-13,94.5,88.2
2013-08-12 00:00:00, SOY-N-0000, CONVENIENCE FOOD, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 20-SEP-13, 30-SEP-13,194,197.2
2013-08-13 00:00:00, ASHO-N-0000, LANKA ASHOK, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 10.00 PER SHARE, 23-SEP-13, 27-SEP-13,1554,1560
2013-08-13 00:00:00, HEXP-N-0000, HAYLEYS FIBRE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.30 PER SHARE (NOT LIABLE TO 10% DIVIDEND TAX), 23-AUG-13, 03-SEP-13,27,27.7
2013-08-13 00:00:00, HVA-N-0000, HVA FOODS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.20 PER SHARE, 20-SEP-13, 30-SEP-13,9.6,10.2
2013-08-13 00:00:00, ONAL-N-0000, ON'ALLY, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 23-AUG-13, 03-SEP-13,49.1,47.2
2013-08-14 00:00:00, LCEY-N-0000, LANKEM CEYLON, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 25-SEP-13, 03-OCT-13,128.1,130
2013-08-15 00:00:00, ALLI-N-0000, ALLIANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 15.00 PER SHARE, 18-SEP-13, 27-SEP-13,897.9,860
2013-08-16 00:00:00, DIST-N-0000, DISTILLERIES, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 3.00 PER SHARE, 30-SEP-13, 08-OCT-13,189,185
2013-08-16 00:00:00, RICH-N-0000, RICHARD PIERIS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.25 PER SHARE, 28-AUG-13, 30-AUG-13,6.7,6.3
2013-08-19 00:00:00, SWAD-N-0000, SWADESHI, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.00 PER SHARE, 23-SEP-13, 30-SEP-13,13500,15425
2013-08-21 00:00:00, ECL-N-0000, E - CHANNELLING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.50 PER SHARE, 01-OCT-13, 09-OCT-13,8.4,8.2
2013-08-21 00:00:00, TFIL-N-0000, TRADE FINANCE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.91 PER SHARE (AMENDED PAYMENT DATE), 20-SEP-13, 27-SEP-13,13.7,13.2
2013-08-22 00:00:00, CABO-N-0000, CARGO BOAT, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 24-SEP-13, 27-SEP-13,109,103.3
2013-08-22 00:00:00, LMF-N-0000, LMF, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 01-OCT-13, 02-OCT-13,107,107
2013-08-22 00:00:00, RENU-N-0000, RENUKA CITY HOT., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 24-SEP-13, 27-SEP-13,246.5,246.1
2013-08-23 00:00:00, CFVF-N-0000, FIRST CAPITAL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.2.00 PER SHARE, 03-SEP-13, 12-SEP-13,18.7,15.7
2013-08-23 00:00:00, MORI-N-0000, MORISONS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE(VOTING & NON VOTING), 30-SEP-13, 08-OCT-13,310,280
2013-08-26 00:00:00, CFLB-N-0000, FORT LAND, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.30 PER SHARE, 01-OCT-13, 09-OCT-13,31.4,31.1
2013-08-26 00:00:00, RPBH-N-0000, ROYAL PALMS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.80 PER SHARE, 04-SEP-13, 13-SEP-13,28.8,28.5
2013-08-26 00:00:00, TANG-N-0000, TANGERINE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.50 PER SHARE, 04-SEP-13, 13-SEP-13,61.4,61.5
2013-08-27 00:00:00, BFL-N-0000, BAIRAHA FARMS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 05-SEP-13, 16-SEP-13,129,126.4
2013-08-27 00:00:00, CARG-N-0000, CARGILLS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.30 PER SHARE(OUT OF DIVIDEND INCOME-NET OF TAX), 23-SEP-13, 01-OCT-13,155,155
2013-08-28 00:00:00, ACL-N-0000, ACL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 06-SEP-13, 17-SEP-13,63,63
2013-08-28 00:00:00, ARPI-N-0000, ARPICO, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE, 25-SEP-13, 03-OCT-13,93.5,98.8
2013-08-29 00:00:00, GEST-N-0000, GESTETNER, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 01-OCT-13, 08-OCT-13,147,144
2013-08-29 00:00:00, HPWR-N-0000, HEMAS POWER, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.75 PER SHARE, 09-SEP-13, 18-SEP-13,18,17.1
2013-08-29 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.75 PER SHARE, 27-SEP-13, 07-OCT-13,104,104
2013-08-29 00:00:00, PAP-N-0000, PANASIAN POWER, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.10 PER SHARE, 09-SEP-13, 18-SEP-13,2.4,2.3
2013-08-29 00:00:00, SLND-N-0000, SERENDIB LAND, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 25.00 PER SHARE, 27-SEP-13, 03-OCT-13,1231.1,1339
2013-08-30 00:00:00, ABAN-N-0000, ABANS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 25-SEP-13, 03-OCT-13,120,109
2013-09-02 00:00:00, ASIY-N-0000, ASIA SIYAKA, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.38 PER SHARE, 11-SEP-13, 20-SEP-13,3,2.6
2013-09-02 00:00:00, CSEC-N-0000, DUNAMIS CAPITAL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 11-SEP-13, 23-SEP-13,12.1,12
2013-09-03 00:00:00, ASPH-N-0000, INDUSTRIAL ASPH., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.00 PER SHARE (SUBJECT TO TAX), 30-SEP-13, 08-OCT-13,201.8,188.9
2013-09-04 00:00:00, CTLD-N-0000, C T LAND, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.20 PER SHARE, 04-OCT-13, 14-OCT-13,31.2,29.9
2013-09-09 00:00:00, EDEN-N-0000, EDEN HOTEL LANKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.32 PER SHARE, 18-SEP-13, 30-SEP-13,34,34.8
2013-09-09 00:00:00, BOPL-N-0000, BOGAWANTALAWA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.10 PER SHARE, 18-SEP-13, 30-SEP-13,10.3,10.2
2013-09-11 00:00:00, AUTO-N-0000, AUTODROME, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 23-SEP-13, 02-OCT-13,948,934.8
2013-09-20 00:00:00, COCR-N-0000, COM.CREDIT, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF 0.50 PER SHARE, 01-OCT-13, 10-OCT-13,10.8,10.3
2013-09-20 00:00:00, CTHR-N-0000, C T HOLDINGS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.65 PER SHARE(OF WHICH RS. 1.30 WILL BE OUT OF DIVIDEND INCOME-NET OF TAX & THE BALANCE RS. 0.35 WILL BE SUBJECT TO 10% WHT)(AMENDED DATES), 31-OCT-13, 08-NOV-13,147.9,143.2
2013-09-20 00:00:00, MERC-N-0000, MERCANTILE INV, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 10.00 PER SHARE, 01-OCT-13, 03-OCT-13,2200, 
2013-09-25 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.40 PER SHARE, 04-OCT-13, 15-OCT-13,50, 
2013-09-27 00:00:00, CITH-N-0000, CITRUS HIKKADUWA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 0.05 PER SHARE, 08-OCT-13, 21-OCT-13,20.8,20.7
2013-10-09 00:00:00, SHL-N-0000, SOFTLOGIC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.155 PER SHARE, 22-OCT-13, 31-OCT-13,9.4,9.3
2013-10-09 00:00:00, UCAR-N-0000, UNION CHEMICALS, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 6.00 PER SHARE, 22-OCT-13, 31-OCT-13,362,420
2013-10-22 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, THIRD INTERIM DIVIDEND OF RS. 4.50 PER SHARE, 31-OCT-13, 11-NOV-13,274.1,267
2013-10-24 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 30.00 PER SHARE, 28-NOV-13, 06-DEC-13,2517.8,2000
2013-10-25 00:00:00, NDB-N-0000, NAT. DEV. BANK, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.5.00 PER SHARE (LIABLE TO A DIVIDEND TAX AT 10% ), 05-NOV-13, 14-NOV-13,158.4,154.7
2013-10-28 00:00:00, CARE-N-0000, PRINTCARE PLC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.40 PER SHARE, 06-NOV-13, 14-NOV-13,29.3,29.4
2013-10-30 00:00:00, COMB-N-0000, COMMERCIAL BANK, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 1.50 PER SHARE (VOTING & NON VOTING), 08-NOV-13, 19-NOV-13,117,115.4
2013-11-07 00:00:00, HHL-N-0000, HEMAS HOLDINGS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.0.30 PER SHARE, 18-NOV-13, 27-NOV-13,32.6,32.5
2013-11-07 00:00:00, JKH-N-0000, JKH, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS.1.00 PER SHARE, 18-NOV-13, 27-NOV-13,210.4,214.5
2013-11-08 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, THIRD INTERIM DIVIDEND OF RS. 12.40 PER SHARE(LESS WITHHOLDING TAX), 19-NOV-13, 27-NOV-13,1069.5,1060
2013-11-08 00:00:00, ODEL-N-0000, ODEL PLC, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.12 PER SHARE, 19-NOV-13, 28-NOV-13,20,19.9
2013-11-12 00:00:00, MPRH-N-0000, MET. RES. HOL., SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.58 PER SHARE, 21-NOV-13, 29-NOV-13,20.4,20.1
2013-11-12 00:00:00, NEH-N-0000, NUWARA ELIYA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 22.50 PER SHARE, 21-NOV-13, 02-DEC-13,1209.9,1199
2013-11-14 00:00:00, UML-N-0000, UNITED MOTORS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 25-NOV-13, 04-DEC-13,112,110.4
2013-11-20 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 29-NOV-13, 10-DEC-13,235.1,293.8
2013-11-21 00:00:00, COMD-N-0000, COMMERCIAL DEV., SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE, 02-DEC-13, 11-DEC-13,65.2,65.4
2013-11-22 00:00:00, ECL-N-0000, E - CHANNELLING, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.35 PER SHARE, 03-DEC-13, 12-DEC-13,11.5,11
2013-11-26 00:00:00, VPEL-N-0000, VALLIBEL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.40 PER SHARE (TAX FREE), 05-DEC-13, 17-DEC-13,6.3,5.8
2013-11-28 00:00:00, HNB-N-0000, HNB, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE (VOTING & NON VOTING), 09-DEC-13, 13-DEC-13,143.4,143
2013-11-29 00:00:00, LHCL-N-0000, LANKA HOSPITALS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 10-DEC-13, 20-DEC-13,41.2,42.7
2013-12-03 00:00:00, AEL-N-0000, ACCESS ENG SL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.25 PER SHARE, 12-DEC-13, 20-DEC-13,22.1,22.1
2013-12-05 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 0.85 PER SHARE, 17-DEC-13, 19-DEC-13,175,175
2013-12-05 00:00:00, VLL-N-0000, VIDULLANKA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.075 PER SHARE, 17-DEC-13, 27-DEC-13,3.6,3.6
2013-12-10 00:00:00, CTEA-N-0000, TEA SERVICES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 10.00 PER SHARE, 20-DEC-13, 30-DEC-13,628.2,627.9
