Dividend Records - 2013,,,,,,,,
DATE_OF_ANNOUNCEMENT, SECURITY, SHORT_NAME,INTERNAL_REMARKS,EXTERNAL_REMARKS, DATE_OF_EX,DATE_OF_PAYMENT, CUM_PRICE,EX_PRICE
2013-02-20 00:00:00, CDIC-N-0000, N D B CAPITAL, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 16.40 PER SHARE, 04-MAR-13, 12-MAR-13,480.2,498.4
2013-02-21 00:00:00, HNB-N-0000, HNB, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 7.00 PER SHARE (VOTING & NON VOTING), 01-APR-13, 09-APR-13,167.3,160.2
2013-02-21 00:00:00, KVAL-N-0000, KELANI VALLEY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 6.00 PER SHARE(LIABLE TO 10% DIVIDEND TAX), 01-APR-13, 08-APR-13,85.2,85.1
2013-02-21 00:00:00, OSEA-N-0000, OVERSEAS REALTY, SHARE TRANSFER BOOK OPEN, FIRST AND FINAL DIVIDEND OF RS. 0.30 PER SHARE, 17-MAY-13, 28-MAY-13,17,17.9
2013-02-22 00:00:00, DOCK-N-0000, DOCKYARD, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 8.00 PER SHARE, 06-MAR-13, 15-MAR-13,227,219.7
2013-02-22 00:00:00, TILE-N-0000, LANKA TILES, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.50 PER SHARE, 06-MAR-13, 15-MAR-13,64.3,64.3
2013-02-26 00:00:00, JFIN-N-0000, FINLAYS COLOMBO, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 01-APR-13, 09-APR-13,308,300
2013-02-26 00:00:00, NTB-N-0000, NATIONS TRUST, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.10 PER SHARE, 01-APR-13, 09-APR-13,61,58.2
2013-02-26 00:00:00, SEYB-N-0000, SEYLAN BANK, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE (VOTING & NON VOTING), 01-APR-13, 09-APR-13,65.2,61.2
2013-02-26 00:00:00, UAL-N-0000, UNION ASSURANCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 5.00 PER SHARE, 07-MAR-13, 18-MAR-13,91,88.7
2013-02-27 00:00:00, COMB-N-0000, COMMERCIAL BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE (VOTING & NON-VOTING), 01-APR-13, 09-APR-13,113,109.6
2013-02-27 00:00:00, JKH-N-0000, JKH, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 08-MAR-13, 19-MAR-13,234.1,233
2013-02-28 00:00:00, CSD-N-0000, SEYLAN DEVTS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.25 PER SHARE, 01-APR-13, 09-APR-13,8.6,8.4
2013-02-28 00:00:00, NEST-N-0000, NESTLE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 30.00 PER SHARE, 11-MAR-13, 20-MAR-13,1697.5,1653.3
2013-02-28 00:00:00, REG-N-0000, REGNIS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.50 PER SHARE, 11-MAR-13, 20-MAR-13,62.3,59
2013-02-28 00:00:00, SINI-N-0000, SINGER IND., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 1.50 PER SHARE, 11-MAR-13, 20-MAR-13,121.4,122
2013-02-28 00:00:00, SINS-N-0000, SINGER SRI LANKA, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 6.00 PER SHARE, 11-MAR-13, 20-MAR-13,102.2,98
2013-03-01 00:00:00, LWL-N-0000, LANKA WALLTILE, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 12-MAR-13, 21-MAR-13,55.3,54.6
2013-03-04 00:00:00, NEH-N-0000, NUWARA ELIYA, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS.10.00 PER SHARE, 13-MAR-13, 22-MAR-13,1250.2,1290
2013-03-08 00:00:00, CTEA-N-0000, TEA SERVICES, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 10.00 PER SHARE, 19-MAR-13, 28-MAR-13,658.9,650
2013-03-11 00:00:00, AMSL-N-0000, ASIRI SURG, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 1.00 PER SHARE (TAX FREE), 20-MAR-13, 25-MAR-13,11.4,9.9
2013-03-11 00:00:00, ASIR-N-0000, ASIRI, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE{OUT OF WHICH 70.81%(I.E.RS.0.35 PER SHARE)IS TAX FREE}, 20-MAR-13, 28-MAR-13,12.2,11.6
2013-03-11 00:00:00, CHL-N-0000, DURDANS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 2.00 PER SHARE (VOTING & NON-VOTING), 20-MAR-13, 28-MAR-13,104.7,100
2013-03-13 00:00:00, CINS-N-0000, CEYLINCO INS., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 12.50 PER SHARE(VOTING & NON-VOTING), 10-APR-13, 19-APR-13,989,949.9
2013-03-13 00:00:00, TPL-N-0000, TALAWAKELLE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.50 PER SHARE(LIABLE TO 10% DIVIDEND TAX), 23-APR-13, 02-MAY-13,28.9,25.4
2013-03-18 00:00:00, CHMX-N-0000, CHEMANEX, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 28-MAR-13, 08-APR-13,73,74
2013-03-20 00:00:00, COMD-N-0000, COMMERCIAL DEV., SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 30-MAY-13, 07-JUN-13,72.5,72.5
2013-03-20 00:00:00, JINS-N-0000, JANASHAKTHI INS., SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 1.00 PER SHARE, 02-APR-13, 05-APR-13,12.4,11
2013-03-22 00:00:00, FLCH-N-0000, FLC HOLDINGS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.15 PER SHARE(FINANCIAL YEAR 2011/2012 IS ALSO INCLUDED IN THE DIVIDEND), 04-APR-13, 16-APR-13,2.6,2.4
2013-03-25 00:00:00, NDB-N-0000, NAT. DEV. BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 10.00 PER SHARE(LIABLE TO A 10% DIVIDEND TAX)(PAYMENT DATE AMENDED), 05-APR-13, 17-APR-13,172,161.8
2013-03-27 00:00:00, CFIN-N-0000, CENTRAL FINANCE, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS.0.85 PER SHARE, 08-APR-13, 18-APR-13,179.8,180
2013-03-28 00:00:00, LLUB-N-0000, CHEVRON, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 3.00 PER SHARE, 09-APR-13, 19-APR-13,222,219
2013-03-28 00:00:00, PDL-N-0000, PDL, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 2.75 PER SHARE, 13-JUN-13, 21-JUN-13,54.9,53.6
2013-03-28 00:00:00, SFCL-N-0000, SENKADAGALA, SHARE TRANSFER BOOK OPEN, THIRD INTERIM DIVIDEND OF RS. 0.80 PER SHARE, 09-APR-13, 19-APR-13,50, 
2013-04-02 00:00:00, RFL-N-0000, RAMBODA FALLS, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 0.50 PER SHARE, 11-APR-13, 23-APR-13, , 
2013-04-03 00:00:00, GRAN-N-0000, GRAIN ELEVATORS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.14 PER SHARE, 15-MAY-13, 23-MAY-13,50.9,51.1
2013-04-18 00:00:00, HARI-N-0000, HARISCHANDRA, SHARE TRANSFER BOOK OPEN, INTERIM DIVIDEND OF RS. 20.00 PER SHARE, 30-APR-13, 10-MAY-13,2398.5,2312.5
2013-04-23 00:00:00, GOOD-N-0000, GOOD HOPE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 14.66 PER SHARE, 30-MAY-13, 07-JUN-13,1338,1155
2013-04-23 00:00:00, INDO-N-0000, INDO MALAY, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 14.51 PER SHARE, 30-MAY-13, 07-JUN-13,1350,1370
2013-04-23 00:00:00, SELI-N-0000, SELINSING, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 15.61 PER SHARE, 30-MAY-13, 07-JUN-13,1122.1,1122.5
2013-04-23 00:00:00, SHAL-N-0000, SHALIMAR, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 14.23 PER SHARE, 30-MAY-13, 07-JUN-13,1000,999.5
2013-04-24 00:00:00, LHL-N-0000, LIGHTHOUSE HOTEL, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 2.00 PER SHARE, 01-JUL-13, 09-JUL-13,45.7,48.9
2013-04-24 00:00:00, NEST-N-0000, NESTLE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 24.00 PER SHARE, 31-MAY-13, 10-JUN-13,2002.3,2000.7
2013-04-24 00:00:00, UML-N-0000, UNITED MOTORS, SHARE TRANSFER BOOK OPEN, SECOND INTERIM DIVIDEND OF RS. 3.00 PER SHARE(LESS WITHHOLDING TAX), 07-MAY-13, 14-MAY-13,101.5,102.5
2013-04-26 00:00:00, GLAS-N-0000, PIRAMAL GLASS, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 0.38 PER SHARE, 16-JUL-13, 25-JUL-13,6.4,6
2013-04-30 00:00:00, CTC-N-0000, CEYLON TOBACCO, SHARE TRANSFER BOOK OPEN, FIRST INTERIM DIVIDEND OF RS. 7.70 PER SHARE (LES WITHHOLDING TAX), 10-MAY-13, 21-MAY-13,826,829.5
2013-05-02 00:00:00, SDB-N-0000, SANASA DEV. BANK, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS. 5.00 PER SHARE, 03-JUN-13, 11-JUN-13,82,75.4
2013-05-03 00:00:00, DFCC-N-0000, DFCC BANK, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 5.00 PER SHARE, 01-JUL-13, 09-JUL-13,137.5,130.3
2013-05-06 00:00:00, BREW-N-0000, CEYLON BEVERAGE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 7.00 PER SHARE, 10-JUN-13, 18-JUN-13,590,555.2
2013-05-06 00:00:00, LION-N-0000, LION  BREWERY, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 4.00 PER SHARE, 10-JUN-13, 18-JUN-13,391.1,400.8
2013-05-08 00:00:00, AHUN-N-0000, A.SPEN.HOT.HOLD., SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE, 28-JUN-13, 08-JUL-13,74,74.9
2013-05-08 00:00:00, SPEN-N-0000, AITKEN SPENCE, SHARE TRANSFER BOOK OPEN, FIRST & FINAL DIVIDEND OF RS. 1.50 PER SHARE, 28-JUN-13, 08-JUL-13,130,129
2013-05-09 00:00:00, AGAL-N-0000, AGALAWATTE, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.2.00 PER SHARE, 28-MAY-13, 05-JUN-13,33.9,32.1
2013-05-09 00:00:00, UCAR-N-0000, UNION CHEMICALS, SHARE TRANSFER BOOK OPEN, FINAL DIVIDEND OF RS.5.00 PER SHARE, 03-JUN-13, 11-JUN-13,483.8,489
