Rights Issues - 2008,,,,,,,
Company,Ratio,No. of Shares offered,Issue Price (Rs.),No. of shares subscribed by public ,Amount raised,No. of shares devolved to underwriter,Allotment
Nations Trust Bank PLC,01:03:00,41928668,25,41928668,1048216700, - ,2008-01-17 00:00:00
Asiri Hospitals Ltd.,01:04:00,17785261,52,17785261,924833572, - ,2008-02-22 00:00:00
Lankem Ceylon Ltd.,01:06:00,3000000,25,3000000,75000000, - ,2008-02-12 00:00:00
Asiri Surgical Hospital Ltd.,01:08:00,58717505,7,58717505,411022535, - ,2008-03-04 00:00:00
Arpico Finance Company PLC,01:06:00,262500,55,262500,14437500, - ,2008-05-07 00:00:00
Dankotuwa Porcelain Ltd.,01:01:00,22617870,10,1464044,14640440, - ,2008-05-14 00:00:00
LB Finance Ltd.,01:07:00,4328571,17,4328571,73585707, - ,2008-07-28 00:00:00
Laxapana Batteries PLC,02:01:00,18000000,5,18000000,90000000, - ,2008-09-15 00:00:00
Colombo Investment Trust PLC,01:03:00,1377777,20,1366667,27333340, - ,2008-11-03 00:00:00
Rights Issues 2008 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,
Banks Finance & Insurance,3,46519739,1136239907,,,,
Chemicals & Pharmacuticals,1,3000000,75000000,,,,
Healthcare,2,76502766,1335856107,,,,
Manufacturing,2,19464044,104640440,,,,
Investment Trust,1,1366667,27333340,,,,
Total,9,146853216,2679069794,,,,
