Foreign Holding as at 29th December 2017,,,,,
YEAR,COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
2017,COMD,N,0000,COMMERCIAL DEVELOPMENT COMPANY PLC,19691
2017,CONN,N,0000,AMAYA LEISURE PLC,99097
2017,CPRT,N,0000,CEYLON PRINTERS PLC,121630
2017,CRL,N,0000,SOFTLOGIC FINANCE PLC,298950
2017,CSD,N,0000,SEYLAN DEVELOPMENTS PLC,1327541
2017,CSEC,N,0000,DUNAMIS CAPITAL PLC,3365752
2017,CSF,N,0000,NATION LANKA FINANCE PLC,181029560
2017,CTBL,N,0000,CEYLON TEA BROKERS PLC,166785
2017,CTC,N,0000,CEYLON TOBACCO COMPANY PLC,9232698
2017,CTCE,N,0000,A I A INSURANCE LANKA PLC,3040549
2017,CTEA,N,0000,DILMAH CEYLON TEA COMPANY PLC,127913
2017,CTHR,N,0000,C T HOLDINGS PLC,28967540
2017,CTLD,N,0000,C T LAND DEVELOPMENT PLC,752312
2017,CWM,N,0000,C. W. MACKIE PLC,383523
2017,DFCC,N,0000,DFCC BANK PLC,63297253
2017,DIAL,N,0000,DIALOG AXIATA PLC,7695539737
2017,DIMO,N,0000,DIESEL & MOTOR ENGINEERING PLC,99141
2017,DIPD,N,0000,DIPPED PRODUCTS PLC,5282915
2017,DOCK,N,0000,COLOMBO DOCKYARD PLC,38172636
2017,DPL,N,0000,DANKOTUWA PORCELAIN PLC,6796546
2017,EAST,N,0000,EAST WEST PROPERTIES PLC,22837266
2017,EBCR,N,0000,E B CREASY & COMPANY PLC,10385
2017,ECL,N,0000,E - CHANNELLING PLC,1012604
2017,EDEN,N,0000,EDEN HOTEL LANKA PLC,609958
2017,ELPL,N,0000,ELPITIYA PLANTATIONS PLC,640709
2017,EMER,N,0000,EASTERN MERCHANTS PLC,16400
2017,ESL,N,0000,ENTRUST SECURITIES PLC,21500
2017,ETWO,N,0000,EQUITY TWO PLC,123782
2017,EXPO,N,0000,EXPOLANKA HOLDINGS PLC,1598517818
2017,FLCH,N,0000,BROWNS CAPITAL PLC,4922662
2017,GEST,N,0000,GESTETNER OF CEYLON PLC,1233111
2017,GHLL,N,0000,GALADARI HOTELS (LANKA) PLC,405089068
2017,GLAS,N,0000,PIRAMAL GLASS CEYLON PLC,605115851
2017,GOOD,N,0000,GOOD HOPE PLC,3533264
