Bonus Issues 2004,,,,
Company Name,Ratio,Par Value (Rs.),No. of Shares Offered,Date of Allotment
Abans Electricals Ltd,01 for 01,10,1064700,2004-12-14 00:00:00
Bukit Darah Co. Ltd,24 for 01,10,9600000,2004-03-31 00:00:00
Ceylinco Insurance Co. Ltd,01 for 05,10,3326400,2004-03-30 00:00:00
Ceylon Guardian Investment Trust Ltd,01 for 03,10,2663172,2004-09-20 00:00:00
Ceylon Investment Co. Ltd,01 for 02,10,4527338,2004-09-20 00:00:00
Chemanex Ltd,01 for 04,10,875000,2004-06-29 00:00:00
Chemical Industries (Colombo) Ltd,01 for 08,10,900000,2004-06-29 00:00:00
CIC Non-voting,01 for 08,10,270000,2004-06-29 00:00:00
Connaissance Holdings Ltd,01 for 10,10,2894625,2004-07-08 00:00:00
DFCC Bank,01 for 03,10,14286456,2004-02-12 00:00:00
Diesel & Motor Engineering Co. Ltd,01 for 09,10,1000000,2004-07-30 00:00:00
Dipped Products Ltd,01 for 05,10,4988459,2004-08-12 00:00:00
Good Hope Co. Ltd,04 for 05,10,3053914,2004-03-31 00:00:00
Hayleys Exports Ltd,01 for 07,10,1000000,2004-08-09 00:00:00
Indo-Malay Estates Ltd,01 for 01,10,3499200,2004-03-31 00:00:00
John Keells Holdings Ltd,01 for 10,10,30019134,2004-05-31 00:00:00
Kuruwita Textile Mills Ltd,02 for 03,10,10000000,2004-06-03 00:00:00
Lanka Tiles Ltd,01 for 10,10,2009485,2004-08-20 00:00:00
Lankem Ceylon Ltd,01 for 02,10,6000000,2004-08-06 00:00:00
Regnis (Lanka) Ltd,01 for 03,10,905453,2004-04-08 00:00:00
Richard Pieris & Co. Ltd,01 for 01,10,29527009,2004-02-09 00:00:00
Sampath Bank Ltd,01 for 06,10,7380817,2004-10-29 00:00:00
Selinsing Co. Ltd,01 for 02,10,2313360,2004-03-31 00:00:00
Shalimar (Malay) Estate Co. Ltd,01 for 02,10,2313360,2004-03-31 00:00:00
Singer (Sri Lanka) Ltd,01 for 04,10,8013415,2004-04-08 00:00:00
Value (Rs.),1524312970,,,
Issues (No.),25,,,
Bonus Issues - by Sector 2004,,,,
Sector,No of Issues,No of Shares,,
Banks Finance & Insurance,3,24993673,,
Chemicals & Pharmaceuticals,4,8045000,,
Diversified,1,30019134,,
Footwear & Textiles,1,10000000,,
Hotels & Travels,1,2894625,,
Investment Trusts,2,7190510,,
Manufacturing,5,38495106,,
Motors,1,1000000,,
Oil Palms,5,20779834,,
Trading,2,9013415,,
Total,25,152431297,,
