Sector Trading Statistics - 1993,,,,,
SECTOR,TRADES,SHARE,TURNOVER,LISTED,TRADED
,(No.),VOLUME (No.),(Rs.),,
BANK FINANCE INS,74343,71086833,7848736693,19,18
BEV FOOD TOBACCO,32629,77276915,1562037017,14,16
CONSTRUCTION ENG,11437,27797751,1005461590,5,4
CHEMICALS PHARMS,3616,2753232,162604474,12,11
FOOTWEAR TEXTILE,8715,7365704,240798935,8,7
HOTELS TRAVELS,29496,45717336,1713274578,38,36
INVESTMENT TRUST,1927,1348764,57484128,8,5
LAND PROPERTY,5940,14418873,228818391,19,15
MANUFACTURING,38779,66974033,2208125826,32,28
MOTORS,5441,7192264,604417506,8,7
OIL PALMS,37,9404,3978400,5,5
STORES SUPPLIES,887,1340320,92509462,7,6
SERVICES,913,428444,17066792,12,8
TRADING,6099,5098687,181801837,14,10
PLANTATIONS,0,0,0,0,0
DIVERSIFIED,10073,20274794,2525190101,0,10
POWER & ENERGY,0,0,0,0,0
HEALTH CARE,1337,1966615,60593810,0,1
IT,0,0,0,0,0
TELECOM,0,0,0,0,0
,231669,351049969,18512899540,,
