Sector Trading Statistics 2010,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
"BANKS, FINANCE & INSURANCE",787986,4773958500,174441459059,36,35
"BEVERAGE, FOOD & TOBACCO",187423,793693513,34888995840,20,19
CONSTRUCTION & ENGINEERING,26841,42728064,7743903569,3,3
CHEMICALS & PHARMACEUTICALS,68722,610541130,8794936239,9,9
FOOTWEAR & TEXTILES,89907,103440158,7241625527,4,4
HOTELS & TRAVELS,371437,1756415149,45724026459,32,32
INVESTMENT TRUSTS,308494,186757339,17577365129,9,9
LAND & PROPERTY,269769,781601936,18870488091,18,18
MANUFACTURING,484057,3038830215,60475754673,33,33
MOTORS,18553,15691043,4154111271,6,6
OIL PALMS,7415,889214,2147557397,5,5
STORES & SUPPLIES,4042,1922280,1007408282,4,4
SERVICES,17143,63004168,652870255,7,7
TRADING,80795,506519301,10805921482,8,8
PLANTATIONS,138927,204126176,9404993527,18,18
DIVERSIFIED HOLDINGS,237010,1009807354,116754219104,11,11
POWER & ENERGY,98439,424105693,6489452948,6,6
HEALTH CARE,80455,1084973340,9135021282,6,6
INFORMATION TECHNOLOGY,31661,106806143,1473171695,2,2
TELECOMMUNICATION,46050,957947911,10315759898,2,2
