,,,,DIVIDEND ANNOUNCEMENTS 2020 (JANUARY TO DECEMBER),,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX PRICE
2019-12-31 00:00:00, PLC-N-0000, PEOPLES LEASING,0.7, First interim Financial year:Financial Year ending 31st March 2020, 13-JAN-20, 23-JAN-20,17.8,17.1
2019-12-31 00:00:00, MGT-N-0000, HAYLEYS FABRIC,0.2, Interim Dividend  Financial year:2019/2020, 13-JAN-20, 21-JAN-20,17.2,17.3
2019-12-31 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,2, Second interim Financial year:2019/2020, 13-JAN-20, 22-JAN-20,93.6,91
2019-12-31 00:00:00, DIPD-N-0000, DIPPED PRODUCTS,1.5, Second interim Financial year:2019/2020, 13-JAN-20, 22-JAN-20,81,82.2
2019-12-31 00:00:00, CTC-N-0000, CEYLON TOBACCO,20, Fourth interim Financial year:Year ending 31st December 2019, 13-JAN-20, 23-JAN-20,1100,1100
2020-01-02 00:00:00, HAYC-N-0000, HAYCARB,3, Second interim Financial year:2019/2020, 14-JAN-20, 23-JAN-20,188,188
2020-01-27 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.24, Second interim Financial year: 31/3/2020, 06-FEB-20, 17-FEB-20,12,11.9
2020-01-29 00:00:00, JKH-N-0000, JKH,1.5, Second interim Financial year: 2019/2020, 10-FEB-20, 19-FEB-20,161.5,160
2020-01-31 00:00:00, COMB-N-0000, COMMERCIAL BANK,3, Second interim Financial year: 2019, 12-FEB-20, 24-FEB-20,92,88.9
2020-01-31 00:00:00, COMB-X-0000, COMMERCIAL BANK,3, Second interim Financial year: 2019, 12-FEB-20, 24-FEB-20,82,79.6
2020-02-06 00:00:00, TJL-N-0000, TEEJAY LANKA,1.3, First interim Financial year: 2019/2020, 17-FEB-20, 27-FEB-20,40.7,39.3
2020-02-10 00:00:00, CIC-N-0000, CIC,1, First interim Financial year: 2019/20, 19-FEB-20, 28-FEB-20,55,54.9
2020-02-10 00:00:00, CIC-X-0000, CIC,1, First interim Financial year: 2019/20, 19-FEB-20, 28-FEB-20,43,43
2020-02-13 00:00:00,HASU-N-0000,HNB ASSURANCE PLC,6,Final dividend Financial year: 2019,2020-06-24 00:00:00,2020-07-02 00:00:00,120.5,115.2
2020-02-14 00:00:00,DIAL-N-0000,DIALOG AXIATA PLC,0.53,First and Final dividend Financial year: 31 December 2019,2020-07-01 00:00:00,2020-07-09 00:00:00,11.6,11.4
2020-02-14 00:00:00,SAMP-N-0000,SAMPATH BANK PLC,11.75,First and Final dividend Financial year: 2019,2020-06-03 00:00:00,2020-06-12 00:00:00,115,105.4
2020-02-17 00:00:00,CCS-N-0000,CEYLON COLD STORES PLC,12,First interim Financial year: 2019/2020,2020-02-27 00:00:00,2020-03-10 00:00:00,780,790
2020-02-18 00:00:00,NDB-N-0000,NATIONAL DEVELOPMENT BANK PLC,2,First and Final dividend Financial year: 12/31/2019,2020-02-28 00:00:00,2020-03-10 00:00:00,97,91.7
2020-02-19 00:00:00,DFCC-N-0000,DFCC BANK PLC,2.5,First and Final dividend Financial year: 12/31/2019,2020-06-25 00:00:00,2020-07-03 00:00:00,68.1,68
2020-02-19 00:00:00,OSEA-N-0000,OVERSEAS REALTY (CEYLON) PLC,1.25,First and Final dividend,2020-06-26 00:00:00,2020-07-06 00:00:00,12.9,12.7
2020-02-24 00:00:00,CSD-N-0000,SEYLAN DEVELOPMENTS PLC,1.1,First and Final dividend Financial year: 31st December 2019,2020-06-25 00:00:00,2020-07-03 00:00:00,11.5,10.5
2020-02-24 00:00:00,SEYB-N-0000,SEYLAN BANK PLC,1,First and Final dividend Financial year: ended 31 December 2019,2020-06-25 00:00:00,2020-07-03 00:00:00,49,48
2020-02-24 00:00:00,SEYB-X-0000,SEYLAN BANK PLC,1,First and Final dividend Financial year: ended 31 December 2019,2020-06-25 00:00:00,2020-07-03 00:00:00,32,30.8
2020-02-24 00:00:00,COMD-N-0000,COMMERCIAL DEVELOPMENT COMPANY PLC,4,Final dividend Financial year: 12/31/2019,2020-06-19 00:00:00,2020-06-29 00:00:00,76.4,71.9
2020-02-24 00:00:00,HNB-N-0000,HATTON NATIONAL BANK PLC,3.5,Final dividend Financial year: 2019,2020-06-01 00:00:00,2020-06-10 00:00:00,101.8,96.1
2020-02-24 00:00:00,HNB-X-0000,HATTON NATIONAL BANK PLC,3.5,Final dividend Financial year: 2019,2020-06-01 00:00:00,2020-06-10 00:00:00,82.3,76.1
2020-02-24 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS LANKA PLC,2,Fourth interim Financial year: 2019,2020-03-04 00:00:00,2020-03-16 00:00:00,72,67.5
2020-02-25 00:00:00,KFP-N-0000,KEELLS FOOD PRODUCTS PLC,4,First interim Financial year: 2019/2020,2020-03-05 00:00:00,2020-03-17 00:00:00,111.3,109.5
2020-02-26 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,12.13,Final dividend Financial year: Year ended 31st December 2019,2020-06-30 00:00:00,2020-07-08 00:00:00,961.7,950.7
2020-02-26 00:00:00,UBC-N-0000,UNION BANK OF COLOMBO PLC,0.14,First and Final dividend Financial year: 2019,2020-03-06 00:00:00,2020-03-18 00:00:00,11,10.8
2020-02-27 00:00:00,NTB-N-0000,NATIONS TRUST BANK PLC,2.3,"First and Final dividend Financial year: 31st December, 2019",2020-03-10 00:00:00,2020-03-19 00:00:00,74,72
2020-02-27 00:00:00,NTB-X-0000,NATIONS TRUST BANK PLC,2.3,"First and Final dividend Financial year: 31st December, 2019",2020-03-10 00:00:00,2020-03-19 00:00:00,75,75
2020-02-27 00:00:00,UAL-N-0000,UNION ASSURANCE PLC,20,First and Final dividend Financial year: 2019,2020-03-10 00:00:00,2020-03-19 00:00:00,333.6,305.2
2020-02-28 00:00:00,SDB-N-0000,SANASA DEVELOPMENT BANK PLC,2,Final dividend Financial year: 2019,2020-07-16 00:00:00,2020-07-24 00:00:00,62.3,56.5
2020-02-28 00:00:00,NEST-N-0000,NESTLE LANKA PLC,17.5,Final dividend Financial year: 12/31/2019,2020-07-22 00:00:00,2020-07-30 00:00:00,1089.4,1089.4
2020-02-28 00:00:00,NEST-N-0000,NESTLE LANKA PLC,30,First interim Financial year: 12/31/2019,2020-03-11 00:00:00,2020-03-20 00:00:00,1176.2,1149.6
2020-02-28 00:00:00,PINS-N-0000,PEOPLE'S INSURANCE PLC,1.1,Second interim Financial year: 12/31/2019,2020-03-11 00:00:00,2020-03-20 00:00:00,18.1,18.2
2020-03-02 00:00:00,CINS-N-0000,CEYLINCO INSURANCE PLC,38,First and Final dividend Financial year: 31st December 2019,2020-07-01 00:00:00,2020-07-08 00:00:00,2098,2098
2020-03-02 00:00:00,CINS-X-0000,CEYLINCO INSURANCE PLC,38,First and Final dividend Financial year: 31st December 2019,2020-07-01 00:00:00,2020-07-08 00:00:00,876.3,740.4
2020-03-06 00:00:00,TRAN-N-0000,TRANS ASIA HOTELS PLC,0.5,Interim Dividend Financial year: 2019/2020,2020-03-18 00:00:00,2020-03-27 00:00:00,56.3,56.3
2020-03-10 00:00:00,AHPL-N-0000,ASIAN HOTELS & PROPERTIES PLC,1,First interim Financial year: 2019/2020,2020-03-19 00:00:00,2020-03-30 00:00:00,29,29
2020-03-11 00:00:00,ASPM-N-0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,3,First interim Financial year: 2019/2020,2020-03-20 00:00:00,2020-03-30 00:00:00,,
2020-03-13 00:00:00,VLL-N-0000,VIDULLANKA PLC,0.1,Second interim Financial year: 2019/2020,2020-03-24 00:00:00,2020-03-31 00:00:00,4.1,4
2020-03-26 00:00:00,DIPD-N-0000,DIPPED PRODUCTS PLC,2,Third interim Financial year: 2019/2020,2020-04-08 00:00:00,2020-04-21 00:00:00,57,57
2020-03-30 00:00:00,HEXP-N-0000,HAYLEYS FIBRE PLC,4.5,Third interim Financial year: 2019/2020,2020-04-09 00:00:00,2020-04-22 00:00:00,87.1,85
2020-03-30 00:00:00,HAYC-N-0000,HAYCARB PLC,9,Third interim Financial year: 2019/2020,2020-04-09 00:00:00,2020-04-22 00:00:00,160,160.1
2020-03-30 00:00:00,REG-N-0000,REGNIS(LANKA) PLC,6.25,Final dividend Financial year: 2019/2020,2020-04-09 00:00:00,2020-04-22 00:00:00,59.8,50
2020-03-31 00:00:00,SINS-N-0000,SINGER (SRI LANKA) PLC,0.25,INTERIM DIVIDEND Financial year: 2019/2020,2020-04-15 00:00:00,2020-04-23 00:00:00,20.2,20
2020-05-11 00:00:00,GRAN-N-0000,CEYLON GRAIN ELEVATORS PLC,4.5,First and Final dividend Financial year: 2019,2020-05-20 00:00:00,2020-06-01 00:00:00,51.4,46.9
2020-05-11 00:00:00,TAFL-N-0000,THREE ACRE FARMS PLC,5.5,First and Final dividend Financial year: 2019,2020-05-20 00:00:00,2020-06-01 00:00:00,89.9,80.3
2020-05-14 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS LANKA PLC,1,First interim Financial year: 2020,2020-05-26 00:00:00,2020-06-04 00:00:00,61.6,59
2020-05-14 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,19,First interim Financial year: Year ending 31st December 2020,2020-05-26 00:00:00,2020-06-04 00:00:00,905.4,920
2020-05-15 00:00:00,LVEF-N-0000,LVL ENERGY FUND PLC,0.18,INTERIM DIVIDEND Financial year: 31st March 2020,2020-05-27 00:00:00,2020-06-04 00:00:00,6,6
2020-05-15 00:00:00,SINI-N-0000,SINGER INDUSTRIES (CEYLON) PLC,0.92,Final dividend Financial year: 2019/2020,2020-05-27 00:00:00,2020-06-03 00:00:00,60,60
2020-05-22 00:00:00, SPEN-N-0000, AITKEN SPENCE,1.25, First and Final dividend Financial year: 2019/2020, 01-JUL-20, 09-JUL-20,36.5,35.1
2020-05-26 00:00:00, CFVF-N-0000, FIRST CAPITAL,5, Second interim Financial year:2019/2020, 04-JUN-20, 16-JUN-20,40.3,34.3
2020-05-26 00:00:00, DIST-N-0000, DISTILLERIES,0.55, Second interim Financial year: 2019/2020, 04-JUN-20, 16-JUN-20,14.5,14.5
2020-05-26 00:00:00,WATA-N-0000,WATAWALA PLANTATIONS PLC,3,Final dividend Financial year: 31.03.2020,2020-06-29 00:00:00,2020-07-07 00:00:00,29.9,27.5
2020-05-27 00:00:00,SUN-N-0000,SUNSHINE HOLDINGS PLC,0.75,Final dividend Financial year: 31.03.2020,2020-06-29 00:00:00,2020-07-07 00:00:00,45,45
2020-05-28 00:00:00,PDL-N-0000,PROPERTY DEVELOPMENT PLC,5,First and Final dividend Financial year: 2019,2020-07-01 00:00:00,2020-07-09 00:00:00,140.3,140.3
2020-06-02 00:00:00,GLAS-N-0000,PIRAMAL GLASS CEYLON PLC,0.2,First and Final dividend Financial year: FY 2019-2020,2020-08-12 00:00:00,2020-08-20 00:00:00,3.7,3.6
2020-06-10 00:00:00,VPEL-N-0000,VALLIBEL POWER ERATHNA PLC,0.4,Final dividend Financial year: 31st March 2020,2020-06-19 00:00:00,2020-06-30 00:00:00,6.2,5.8
2020-06-23 00:00:00, SLTL-N-0000, SLT,1.06, First and Final dividend Financial year:2019, 16-JUL-20, 06-AUG-20,28.8,28
2020-06-23 00:00:00,CIND-N-0000,CENTRAL INDUSTRIES PLC,2,Final dividend Financial year: 31st March 2020,2020-08-04 00:00:00,2020-08-24 00:00:00,52.3,48
2020-07-06 00:00:00, UCAR-N-0000, UNION CHEMICALS,12, Final dividend Financial year:25th December 2019, 25-AUG-20, 03-SEP-20,438.3,441
2020-07-21 00:00:00, PAP-N-0000, PANASIAN POWER,0.1, Second interim  Financial year: 2019/2020, 30-JUL-20, 11-AUG-20,3.3,3.2
2020-07-21 00:00:00, LION-N-0000, LION  BREWERY,8, Final dividend Financial year:31 March 2020, 09-SEP-20, 29-SEP-20,555.3,559.5
2020-07-21 00:00:00, CHL-N-0000, DURDANS,2.2, First and Final dividend Financial year:31st March 2020, 28-AUG-20, 17-SEP-20,87,87.1
2020-07-21 00:00:00, ETWO-N-0000, EQUITY TWO PLC,0.85, Final dividend Financial year:31 March 2020, 07-SEP-20, 25-SEP-20,48.7,55.9
2020-07-22 00:00:00, CHL-X-0000, DURDANS,2.2, First and Final dividend Financial year:31st March 2020, 28-AUG-20, 17-SEP-20,75.5,77.5
2020-07-23 00:00:00,KCAB-N-0000,KELANI CABLES PLC,4.5,INTERIM DIVIDEND Financial year: 31st March 2020,2020-08-04 00:00:00,2020-08-24 00:00:00,85,80.1
2020-07-24 00:00:00, BRR-N-0000, BANSEI RESORTS,0.05, First and Final dividend Financial year:2019/2020, 26-AUG-20, 03-SEP-20,7.8,7.9
2020-07-24 00:00:00, SWAD-N-0000, SWADESHI,1, First and Final dividend Financial year:2019/2020, 07-SEP-20, 15-SEP-20,14900, 
2020-07-27 00:00:00,LLUB-N-0000,CHEVRON LUBRICANTS LANKA PLC,2.5,Second interim Financial year: 31st December 2020,2020-08-06 00:00:00,2020-08-17 00:00:00,73.7,71.7
2020-07-27 00:00:00,HARI-N-0000,HARISCHANDRA MILLS PLC,20,First interim Financial year: 31st March 2020,2020-08-06 00:00:00,2020-08-24 00:00:00,1687.2,1687.2
2020-07-29 00:00:00, JKH-N-0000, JKH,0.5, First interim Financial year:2020/2021, 10-AUG-20, 28-AUG-20,114.9,114.9
2020-07-29 00:00:00, HAYL-N-0000, HAYLEYS,3, First interim Financial year:2020/2021, 10-AUG-20, 17-AUG-20,166.2,166.2
2020-07-29 00:00:00, APLA-N-0000, ACL PLASTICS,6, Interim Dividend Financial year:31.03.2020, 10-AUG-20, 28-AUG-20,162.6,152.6
2020-08-04 00:00:00, CARG-N-0000, CARGILLS,3.2, Final dividend Financial year:FY 2019/20, 28-AUG-20, 18-SEP-20,188.8,172.1
2020-08-04 00:00:00,ONAL-N-0000,ON'ALLY HOLDINGS PLC,0.43,Final dividend Financial year: Year Ended 31st March 2020,2020-08-13 00:00:00,2020-08-24 00:00:00,28.2,28.2
2020-08-04 00:00:00,DIPD-N-0000,DIPPED PRODUCTS PLC,1,First interim Financial year: 2020/2021,2020-08-13 00:00:00,2020-08-21 00:00:00,144.4,165.3
2020-08-04 00:00:00,HAYC-N-0000,HAYCARB PLC,4,First interim Financial year: 2020/21,2020-08-13 00:00:00,2020-08-27 00:00:00,271.7,290.3
2020-08-07 00:00:00, TPL-N-0000, TALAWAKELLE,2.75, First interim Financial year:2020/21, 18-AUG-20, 31-AUG-20,53.3,50.2
2020-08-11 00:00:00, GUAR-N-0000, CEYLON GUARDIAN,1.15, First and Final dividend Financial year:Financial year ended 31st March 2020, 15-SEP-20, 06-OCT-20,84.8,84.8
2020-08-11 00:00:00, CINV-N-0000, CEYLON INV.,0.25, Final dividend Financial year:31 March 2020, 15-SEP-20, 06-OCT-20,49.2,48
2020-08-12 00:00:00, RAL-N-0000, RENUKA AGRI,0.12, First and Final dividend Financial year:2019/20, 29-SEP-20, 20-OCT-20,4,3.9
2020-08-12 00:00:00, KZOO-N-0000, RENUKA CAPITAL,0.1, First and Final dividend Financial year:2019/20, 29-SEP-20, 20-OCT-20,4.3,4.2
2020-08-12 00:00:00, VPEL-N-0000, VALLIBEL,0.4, First interim Financial year:2020/21, 21-AUG-20, 02-SEP-20,6.6,6.3
2020-08-12 00:00:00, AEL-N-0000, ACCESS ENG SL,0.5, First interim Financial year:2020-21, 21-AUG-20, 02-SEP-20,22.2,22
2020-08-13 00:00:00, CCS-N-0000, COLD STORES,8.5, First interim Financial year:2020/2021, 24-AUG-20, 14-SEP-20,671.1,665.5
2020-08-13 00:00:00, SOY-N-0000, CONVENIENCE FOOD,5.5, Final dividend Financial year:2019/20, 16-SEP-20, 24-SEP-20,615.5,615.5
2020-08-13 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.05, First and Final dividend Financial year:31.03.2020, 24-AUG-20, 03-SEP-20,2.8,2.7
2020-08-14 00:00:00, CTBL-N-0000, CEYLON TEA BRKRS,0.08, Final dividend Financial year:2019-2020, 25-AUG-20, 04-SEP-20,3.3,3.2
2020-08-14 00:00:00,ASHO-N-0000,LANKA ASHOK LEYLAND PLC,5,First and Final dividend Financial year: 2019/20,2020-09-28 00:00:00,2020-10-19 00:00:00,719.2,719.2
2020-08-14 00:00:00,CTC-N-0000,CEYLON TOBACCO COMPANY PLC,15,Second interim Financial year: Year ending 31st December 2020,2020-08-25 00:00:00,2020-09-04 00:00:00,971.3,971.3
2020-08-18 00:00:00, SIL-N-0000, SAMSON INTERNAT.,1, Final dividend Financial year:2019/2020, 27-AUG-20, 09-SEP-20,79.8,80
2020-08-18 00:00:00,LMF-N-0000,LANKA MILK FOODS (CWE) PLC,2.5,First and Final dividend Financial year: 2019/2020,2020-10-02 00:00:00,2020-10-12 00:00:00,111.9,114.2
2020-08-18 00:00:00,ASPM-N-0000,AITKEN SPENCE PLANTATION MANAGEMENTS PLC,2,Final dividend Financial year: 2019-2020,2020-09-21 00:00:00,2020-10-09 00:00:00,,
2020-08-19 00:00:00, CIC-N-0000, CIC,1, Second interim Financial year:2019/20, 28-AUG-20, 09-SEP-20,75.4,74.7
2020-08-19 00:00:00, CIC-X-0000, CIC,1, Second interim Financial year:2019/20, 28-AUG-20, 09-SEP-20,54,53.4
2020-08-20 00:00:00, LIOC-N-0000, LANKA IOC,0.75, First And Final Dividend Financial Year2019/2020, 04-NOV-20, 23-NOV-20,22.8,22
2020-08-20 00:00:00,RWSL-N-0000,RAIGAM WAYAMBA SALTERNS PLC,0.1,Final dividend Financial year: 2019/20,2020-10-02 00:00:00,2020-10-12 00:00:00,4.1,5.1
2020-08-21 00:00:00,ELPL-N-0000,ELPITIYA PLANTATIONS PLC,0.75,First and Final dividend Financial year: 2019/2020,2020-09-21 00:00:00,2020-10-12 00:00:00,31.7,30.6
2020-08-24 00:00:00, ACL-N-0000, ACL,1.5, Interim Dividend Financial year:2020/2021, 03-SEP-20, 23-SEP-20,47.7,46.3
2020-08-24 00:00:00, COCO-X-0000, RENUKA FOODS,0.35, First And Final Dividend Financial Year 2019/20, 29-SEP-20, 20-OCT-20,13.9,13.9
2020-08-24 00:00:00, COCO-N-0000, RENUKA FOODS,0.35, First And Final Dividend Financial Year 2019/20, 29-SEP-20, 20-OCT-20,18.3,18.4
2020-08-24 00:00:00,CHMX-N-0000,CHEMANEX PLC,2,Final dividend Financial year: 2019/20,2020-10-02 00:00:00,2020-10-12 00:00:00,70,69
2020-08-28 00:00:00, RHL-X-0000, RENUKA HOLDINGS,0.25, First And Final Dividend Financial Year 2019/20, 29-SEP-20, 20-OCT-20,14.1,14.5
2020-08-31 00:00:00,ABAN-N-0000,ABANS ELECTRICALS PLC,1.5,Final dividend Financial year: 3/31/2020,2020-09-24 00:00:00,2020-10-15 00:00:00,90.9,93.1
2020-09-02 00:00:00,MCPL-N-0000,MAHAWELI COCONUT PLANTATIONS PLC,1.5,Final dividend Financial year: 2019/2020,2020-10-29 00:00:00,2020-11-16 00:00:00,28.4,26.8
2020-09-02 00:00:00,SIRA-N-0000,SIERRA CABLES PLC,0.2,Interim dividend  Financial year: 2019/2020,2020-09-11 00:00:00,2020-10-02 00:00:00,3.9,3.8
2020-09-04 00:00:00,SINS-N-0000,SINGER (SRI LANKA) PLC,0.8,First interim Financial year: 2020/21,2020-09-15 00:00:00,2020-09-25 00:00:00,42.9,42.4
2020-09-04 00:00:00,SHAW-N-0000,LEE HEDGES PLC,1,Final dividend Financial year: 3/31/2020,2020-10-09 00:00:00,2020-10-29 00:00:00,76.4,75.4
2020-09-11 00:00:00,AMSL-N-0000,ASIRI SURGICAL HOSPITAL PLC,0.25,"First interim Financial year: 31st March, 2021",2020-09-22 00:00:00,2020-10-12 00:00:00,11.2,11
2020-09-11 00:00:00,ASIR-N-0000,ASIRI HOSPITAL HOLDINGS PLC,0.8,"First interim Financial year: 31st March, 2021",2020-09-22 00:00:00,2020-10-12 00:00:00,23.4,21.8
2020-09-18 00:00:00,TKYO-N-0000,TOKYO CEMENT COMPANY (LANKA) PLC,1.5,First and Final dividend Financial year: 2019/20,2020-10-23 00:00:00,2020-11-03 00:00:00,60.6,59.8
2020-09-18 00:00:00,TKYO-X-0000,TOKYO CEMENT COMPANY (LANKA) PLC,1.5,First and Final dividend Financial year: 2019/20,2020-10-23 00:00:00,2020-11-03 00:00:00,52,50.7
2020-09-21 00:00:00,CTLD-N-0000,C T LAND DEVELOPMENT PLC,0.75,Final dividend Financial year: 2019/20,2020-10-26 00:00:00,2020-11-04 00:00:00,31.7,29.2
2020-09-25 00:00:00,RICH-N-0000,RICHARD PIERIS AND COMPANY PLC,0.5,First interim Financial year: 2020/2021,2020-10-07 00:00:00,2020-10-23 00:00:00,13.6,13
2020-09-29 00:00:00,MGT-N-0000,HAYLEYS FABRIC PLC,0.25,First interim Financial year: 2020- 21,2020-10-09 00:00:00,2020-10-21 00:00:00,23.9,24.6
2020-09-29 00:00:00,DIPD-N-0000,DIPPED PRODUCTS PLC,3,Second interim Financial year: 2020/2021,2020-10-09 00:00:00,2020-10-20 00:00:00,215.3,218.9
2020-09-30 00:00:00,HAYC-N-0000,HAYCARB PLC,5,Second interim Financial year: 2020/2021,2020-10-12 00:00:00,2020-10-21 00:00:00,311.3,319
2020-09-30 00:00:00,TPL-N-0000,TALAWAKELLE TEA ESTATES PLC,2,Second interim Financial year: 2020/21,2020-10-12 00:00:00,2020-10-22 00:00:00,62.6,61.7
