Dividend Record 1996,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
COML,Nt0000,COMM. LEASING,1995-12-18 00:00:00,1996-01-02 00:00:00,15,TRANSFER BOOKS KEPT OPEN,52,52
LPRT,Nt0000,LAKE HOUSE PRIN.,1995-12-20 00:00:00,1996-01-03 00:00:00,5,TRANSFER BOOKS KEPT OPEN,20,21
ASHO,Nt0000,LANKA ASHOK,1995-12-22 00:00:00,1996-01-08 00:00:00,12,TRANSFER BOOKS KEPT OPEN,62,59
EBCR,Nt0000,E B CREASY,1995-12-05 00:00:00,1996-01-09 00:00:00,10,,128,129
ACL,Nt0000,ACL,1996-01-03 00:00:00,1996-01-17 00:00:00,5,,76,73
MENG,Nt0000,METALIX ENGIN.,1996-01-03 00:00:00,1996-01-17 00:00:00,17.5,TRANSFER BOOKS KEPT OPEN,69,67
TRAN,Nt0000,TRANS ASIA,1996-01-04 00:00:00,1996-01-18 00:00:00,10,BOOKS KEPT OPEN,18,18
CTHR,Nt0000,CEY THEATRES 8/-,1996-01-23 00:00:00,1996-02-09 00:00:00,75,,340,350
DIPD,Nt0000,DIPPED PRODUCTS,1996-02-01 00:00:00,1996-02-14 00:00:00,17.5,TRANSFER BOOKS KEPT OPEN,98,92.5
ASPH,Nt0000,INDUSTRIAL ASPH.,1996-02-01 00:00:00,1996-02-14 00:00:00,7.5,TRANSFER BOOKS KEPT OPEN,49,46.5
CFIN,Nt0000,CENTRAL FINANCE,1996-01-29 00:00:00,1996-02-15 00:00:00,10,,230,232
EAST,Nt0000,EAST WEST,1996-01-30 00:00:00,1996-02-16 00:00:00,3,,6.25,6
CWM,Nt0000,C.W.MACKIE & CO.,1996-02-09 00:00:00,1996-02-21 00:00:00,5,TRANSFER BOOKS KEPT OPEN,18.5,18.5
CHMX,Nt0000,CHEMANEX,1996-02-14 00:00:00,1996-02-26 00:00:00,8,TRANSFER BOOKS KEPT OPEN,32,32
CIC,Nt0000,CIC,1996-02-19 00:00:00,1996-03-05 00:00:00,15,ORDINARY & NON VOTING CLASS X,61,63
JKH,Nt0000,JKH,1996-02-21 00:00:00,1996-03-07 00:00:00,8,,163,160
FERN,Nt0000,FERNTEA LTD,1996-02-26 00:00:00,1996-03-08 00:00:00,5,TRANSFER BOOKS KEPT OPEN,10.5,10.25
LOLC,Nt0000,LOLC,1996-03-05 00:00:00,1996-03-19 00:00:00,15,,163,165
CTCE,Nt0000,EAGLE INSURANCE,1996-03-06 00:00:00,1996-03-26 00:00:00,14.5,,49,52
CTC,Nt0000,CEYLON TOBACCO,1996-03-11 00:00:00,1996-03-27 00:00:00,10.25,,30.5,30
JFIN,Nt0000,JAMES FINLAY,1996-03-18 00:00:00,1996-03-28 00:00:00,10,FINAL,37.5,38.5
COMB,Nt0000,COMMERCIAL BANK,1996-03-19 00:00:00,1996-03-29 00:00:00,20,VOTING)  TRANSFER BOOKS KEPT OPEN,270,171
HEXP,Nt0000,HAYLEYS EXPORTS,1996-03-21 00:00:00,1996-03-30 00:00:00,20,BOOKS KEPT OPEN,38.5,37.5
SING,Nt0000,SINGALANKA,1996-03-21 00:00:00,1996-03-30 00:00:00,7.5,TRANSFER BOOKS KEPT OPEN,38,38
NDB,Nt0000,NAT. DEV. BANK,1996-03-22 00:00:00,1996-04-04 00:00:00,45,TRANSFER BOOKS KEPT OPEN,245,240
HNB,Nt0000,HNB,1996-03-13 00:00:00,1996-04-08 00:00:00,20,,360,360
GLAX,Nt0000,GLAXO,1996-03-28 00:00:00,1996-04-18 00:00:00,7.5,,31,31
SPEN,Nt0000,AITKEN SPENCE,1996-04-04 00:00:00,1996-04-19 00:00:00,5,TRANSFER BOOKS KEPT OPEN,190,180
UML,Nt0000,UNITED MOTORS,1996-04-01 00:00:00,1996-04-23 00:00:00,12.5,,31.5,29
BATA,Nt0000,BATA,1996-04-10 00:00:00,1996-04-24 00:00:00,15,BOOKS KEPT OPEN,28.25,27.75
CARS,Nt0000,CARSONS,1996-04-15 00:00:00,1996-04-25 00:00:00,40,TRANSFER BOOKS KEPT OPEN,530,530
GLAS,Nt0000,CEYLON GLASS CO.,1996-04-15 00:00:00,1996-04-25 00:00:00,10,TRANSFER BOOKS KEPT OPEN,22.5,21.25
GOOD,Nt0000,GOOD HOPE,1996-04-16 00:00:00,1996-04-26 00:00:00,50,TRANSFER BOOKS KEPT OPEN,300,300
HAYL,Nt0000,HAYLEYS,1996-04-16 00:00:00,1996-04-26 00:00:00,15,TRANSFER BOOKS KEPT OPEN,190,190.75
SELI,Nt0000,SELINSING,1996-04-16 00:00:00,1996-04-26 00:00:00,50,TRANSFER BOOKS KEPT OPEN,340,357
SHAL,Nt0000,SHALIMAR,1996-04-16 00:00:00,1996-04-26 00:00:00,350,TRANSFER BOOKS KEPT OPEN,700.25,700
AUTO,Nt0000,AUTODROME 100/-,1996-04-18 00:00:00,1996-04-30 00:00:00,10,BOOKS KEPT OPEN,200,250
BUKI,Nt0000,BUKIT DARAH,1996-04-18 00:00:00,1996-04-30 00:00:00,50,TRANSFER BOOKS KEPT OPEN,310,310
HARI,Nt0000,HARISCHANDRA,1996-04-15 00:00:00,1996-04-30 00:00:00,15,,143,145
INDO,Nt0000,INDO MALAY,1996-04-18 00:00:00,1996-04-30 00:00:00,50,TRANSFER BOOKS KEPT OPEN,530.25,375
EQIT,Nt0000,EQUITY,1996-04-19 00:00:00,1996-05-06 00:00:00,12,BOOKS KEPT OPEN,12.75,12
UAL,Nt0000,UNION ASSURANCE,1996-03-29 00:00:00,1996-05-07 00:00:00,12.5,,50,50
NEST,Nt0000,NESTLE,1996-04-15 00:00:00,1996-05-10 00:00:00,29,,29.5,28.25
REG,Nt0000,REGNIS,1996-04-19 00:00:00,1996-05-10 00:00:00,25,,33.5,32
SINI,Nt0000,SINGER IND.,1996-04-19 00:00:00,1996-05-10 00:00:00,25,,34,32.25
SINS,Nt0000,SINGER SRI LANKA,1996-04-19 00:00:00,1996-05-10 00:00:00,20,,74,70
SAMP,Nt0000,SAMPATH,1996-05-14 00:00:00,1996-05-24 00:00:00,15,BOOKS KEPT OPEN,50.25,49.75
RECK,Nt0000,RECKITTS,1996-04-29 00:00:00,1996-05-28 00:00:00,30,,95,95
GRAN,Nt0000,GRAIN ELEVATORS,1996-05-22 00:00:00,1996-06-03 00:00:00,10,TRANSFER BOOKS KEPT OPEN,35,35.5
COXY,Nt0000,CEYLON OXYGEN,1996-05-15 00:00:00,1996-06-04 00:00:00,20,,58,55
