Sector Domestic & Foreign Analysis - 2022 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
Automobiles & Components,17816,124,15930811,122212,1249510854,8069179
Banks,202956,5112,766813426,155810219,18575731063,2881457151
Capital Goods,920051,14772,2035386543,159221423,109166652114,19092432168
Commercial & Professional Services,54358,474,133266526,5979571,2506598025,40261484
Consumer Durables & Apparel,209704,2486,798138799,18678752,15789614154,711922658
Consumer Services,211780,1639,723942987,16584405,7830714385,347702306
Diversified Financials,927390,11154,8933296711,82614884,89462824856,1346178242
Energy,270396,2038,459793966,2895852,59681669779,358319560
Food & Staples Retailing,29998,588,577196498,16772787,2111858585,728280003
"Food, Beverage & Tobacco",1126635,16739,6558684564,148186715,109901393883,6367145179
Health Care Equipment & Services,67442,790,234161871,10092000,2663982904,61405202
Household & Personal Products,7123,527,18184386,2503880,458912430,63672730
Insurance,423789,5312,1734916732,20362649,34002359473,474921459
Materials,627253,7458,3064634422,33302039,49221764600,1385762559
Real Estate,127988,2043,529648501,30508010,6679389933,457542836
Retailing,125931,1207,349585968,4522133,6045017651,78903725
Software &  Services,31874,723,95044947,7317364,2206187249,144069155
Telecommunication Services,65757,2816,281887393,104941019,4563784459,1056479838
Transportation,443675,6542,489689586,75254659,108629181193,16482456057
Utilities,81371,1402,341917832,10025206,3660512881,107435047
