Sector Market Capitalisation - Monthly 2021,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
Automobiles & Components,7573680000,6343560000,6271200000,6753600000,6834000000,6777720000,7638000000,6705360000,6834000000,7927440000,7927440000,7927440000
Banks,402926249052.9,343493457641.85,338241165177.2,333431643891,352984267008.1,354836753505.45,347315269975.65,356944692238.55,355703173020.15,343540583741.45,343540583741.45,343540583741.45
Capital Goods,720255856892.3,594766363253.9,562693430020.65,591016362021.7,603489501646.3,585248420768.4,616550461008.7,636579626410,679075516722.75,882432887226.05,882432887226.05,882432887226.05
Commercial & Professional Services,3756539048,3365625829,3002165667.25,2986670000.85,3030020010.25,3282108458.65,4103735013.4,4578218746.5,6175052421.25,7154406179.3,7154406179.3,7154406179.3
Consumer Durables & Apparel,61872111157.9,54014474343.5,51870144833.4,55152289479.1,56437647477.7,55545832763.8,66325314987.6,88701619578.7,86341773974.2,93212124942.3,93212124942.3,93212124942.3
Consumer Services,119205816352.5,108294596534.2,103521321267,100517782415.5,100329378770.3,103092986413.3,124402604837.7,118767148284,150497948585.7,164578316638.6,164578316638.6,164578316638.6
Diversified Financials,605867329749.25,475193791629.8,417349126194.63,433055402852.08,463144060820.78,647161378959.23,643237877154.23,801915362020.43,853065986165.53,1254216367312.15,1254216367312.15,1254216367312.15
Energy,24432810746.6,19308295423.6,18192350261.2,17351350072,19181036741,19278988581.8,18171834877.1,18227981439,19200795449.4,47993491687.2,47993491687.2,47993491687.2
Food & Staples Retailing,99883311464.4,96084793104.2,95346619603.5,94193941978,97276466404.25,98734437323.5,100514505406.5,96924774198,97159241896.2,90012716565.25,90012716565.25,90012716565.25
"Food, Beverage & Tobacco",926850349509.95,829803444549.95,796094751523.25,790708309554.2,796222273187.8,816216492128.1,839181913648.9,868285235030.6,872886428025.6,1020108421140.4,1020108421140.4,1020108421140.4
Health Care Equipment & Services,66170527245.3,60834942351.9,58088162121.8,60250157185.3,69379532423.4,63601829232.8,65678296137.8,67661059202.7,74168376055.1,81392432358.8,81392432358.8,81392432358.8
Household & Personal Products,7615306734.7,7062988692.1,6878882677.9,7339147713.4,7308463377.7,7994442747.1,8730866803.9,10050293239,10234399253.2,10893500332.9,10893500332.9,10893500332.9
Insurance,110390676963.2,105182519045,107552426510.8,101734762225.7,102060341484,101848296102.3,102688995917.9,97044376494.5,99862374901.2,167413345377.4,167413345377.4,167413345377.4
Materials,199225659374.15,169707699998.05,157457322750.85,169919697291.2,168042533806.4,169042825154.75,181847276407.05,183203880973.3,177884144605.9,211495305036.65,211495305036.65,211495305036.65
Real Estate,67043008566,58233822250.85,57644646523.15,55737602454.25,55830168023.3,69488344280.75,70095780845.95,70274815566.05,71342203915.8,76132563654.6,76132563654.6,76132563654.6
Retailing,66157548491.4,55836342763,53867118539.15,55742672689.8,57524809267,57823571197.6,61233324900,55847616036.2,57022536054.6,72602275025.8,72602275025.8,72602275025.8
Telecommunication Services,174196915633.5,166616503633.5,165278440365,162911346723,167792651565,160329735561,156672773058,147864085804.5,155346381054,159415189804.5,159415189804.5,159415189804.5
Transportation,98986653574,91109240277,87590393277,91481446343,90182574827,98561840700,131627137657,328930936382,390548868987.5,734514598967.5,734514598967.5,734514598967.5
Utilities,26740917174.9,24174743829.9,24319788262.5,48515771945.7,51521611732.4,51370100439.9,52596465274.9,51329028341.9,52605310209.4,54976832272.8,54976832272.8,54976832272.8
ASPI MKT CAP,,,,,,,,,,,,
S&P MKT CAP,,,,,,,,,,,,
