New Listing 2001,,,,,
Equity (by way of Introduction),,,,,
Company,No of Shares,Par value,No of Shares ,No of Shares ,Date Listed
,Offered ,(Rs.),Subscribed  by Public,Devolved to Underwriters,
1) Watapota Investment Limited,104845,10,-,-,2001-11-21 00:00:00
Issues (No.),1,,,,
New Listing 2001 by Sector,,,,,
Equity,,,,,
Sector,No of Issues,No of Shares,Value (Rs.),,
1) Investment Trust,1,104845,-,,
De-Listings 2001,,,,,
Company,Date of De-Listing,,,,
Habarana Walk Inn Ltd,2001-02-21 00:00:00,,,,
Walkers Tours Ltd,2001-02-21 00:00:00,,,,
Ceylon Synthetic Textile Mills Ltd,2001-04-30 00:00:00,,,,
