Sector Trading Statistics - 2005,,,,,
SECTOR,TRADES,SHARE,TURNOVER,LISTED,TRADED
,(No.),VOLUME (No.),(Rs.),,
"BANK, FINANCE & INSURANCE",214725,848848243,25881894770,32,32
"BEVERAGE, FOOD & TOBACCO",51214,153219471,5078327913,18,19
CONSTRUCTION & ENGINEERING,19341,37993041,1057920170,4,4
CHEMICALS & PHARMACEUTICALS,9195,12162752,550142107,9,10
FOOTWEAR & TEXTILES,33759,87390233,2552790393,4,5
HOTELS & TRAVELS,75416,297949177,7176900698,33,36
INVESTMENT TRUSTS,18711,12369456,725554533,6,6
LAND & PROPERTY,133050,328854807,6882402940,21,20
MANUFACTURING,207635,1136836971,14864877111,34,34
MOTORS,9621,9756647,1037939524,7,7
OIL PALMS,2849,386974,255464936,5,5
STORES & SUPPLIES,9085,34911182,234766337,6,6
SERVICES,1944,801588,107105259,7,7
TRADING,41248,354169451,1644289221,11,12
PLANTATIONS,33570,64367567,1092715236,18,18
DIVERSIFIED HOLDINGS,47904,142076680,18132277459,10,10
POWER & ENERGY,50387,134188234,6394781356,4,2
HEALTH CARE,57128,632778946,5233455800,6,6
INFORMATION TECHNOLOGY,2373,3328428,53033639,1,1
TELECOMMUNICATION,81836,835887291,15411253058,2,2
,1100991,5128277139,114367892460,,
