"Market Capitalization of Listed Companies as at December 31, 2012",,,,
COMPANY CODE,NAME,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
CLPL,CEYLON LEATHER,34233774,77.9,2666810994.6
KAHA,KAHAWATTE,79889805,33.1,2644352545.5
RAL,RENUKA AGRI,561750000,4.7,2640225000
KGAL,KEGALLE,25000000,104,2600000000
GHLL,GALADARI,182434060,14.2,2590563652
SMLL,PEOPLE'S FINANCE,74576979,34.5,2572905775.5
BFL,BAIRAHA FARMS,16000000,157.3,2516800000
CARE,PRINTCARE PLC,85966670,29.2,2510226764
REEF,CITRUS LEISURE,96477156,26,2508406056
HARI,HARISCHANDRA,959800,2599.5,2495000100
HASU,HNB ASSURANCE,50000000,49,2450000000
CSF,NATION LANKA,249912812,9.8,2449145557.6
LHL,LIGHTHOUSE HOTEL,46000000,53.1,2442600000
KOTA,KOTAGALA,32000000,74,2368000000
BBH,BROWNS BEACH,129600000,18.2,2358720000
CHL,DURDANS,25527272,92,2348509024
SFIN,SINGER FINANCE,165333334,13.7,2265066675.8
RPBH,ROYAL PALMS,50000000,44.5,2225000000
SCAP,SOFTLOGIC CAPITAL,299200000,7.1,2124320000
EAST,EAST WEST,138240000,14.6,2018304000
PALM,PALM GARDEN HOTEL,14291005,140,2000740700
SDB,SANASA DEVELOPMENT BANK,25175322,78.2,1968710180.4
ORIN,ORIENT FINANCE,115625000,17,1965625000
PCHH,PCH HOLDINGS,252000242,7.6,1915201839.2
KFP,KEELLS FOOD,25500000,75,1912500000
AGST,AGSTAR FERTILIZER,307526310,6.2,1906663122
EDEN,EDEN HOTEL LANKA,52800000,36,1900800000
CDB,CDB,46299223,40.8,1889008298.4
AMF,AMF CO LTD,5608355,336,1884407280
NAMU,NAMUNUKULA,23750000,78.8,1871500000
CERA,LANKA CERAMIC,30000000,62,1860000000
VLL,VIDULLANKA,477269193,3.8,1813622933.4
RHTL,FORTRESS RESORTS,110886684,16.3,1807452949.2
ATL,AMANA TAKAFUL,1000000720,1.8,1800001296
HAPU,HAPUGASTENNE,46315789,38.8,1797052613.2
SHOT,SERENDIB HOTELS,75514738,23.5,1774596343
MGT,HAYLEYS - MGT,152343318,11.6,1767182488.8
ALLI,ALLIANCE,2430000,725.8,1763694000
HUNT,HUNTERS,5145000,339.9,1748785500
RENU,RENUKA CITY HOTEL,7000000,239.9,1679300000
LCEM,LANKA CEMENT,173510748,9.5,1648352106
COCO,RENUKA SHAW WALLACE,44885900,36.4,1633846760
AAF,ASIA ASSET,559471889,2.9,1622468478.1
BERU,BERUWALA RESORTS,600000000,2.7,1620000000
TANG,TANGERINE,20000000,80.4,1608000000
RHL,RENUKA HOLDINGS,44517313,36.1,1607074999.3
LVEN,LANKA VENTURES,50000000,32,1600000000
CSEC,DUNAMIS CAPITAL,122997050,13,1598961650
SUGA,PELWATTE,67976891,23.5,1597456938.5
COLO,COLONIAL MOTORS,10645037,146.1,1555239905.7
SFS,SWARNAMAHAL FINANCIAL,500000140,3.1,1550000434
KCAB,KELANI CABLES,21800000,70.1,1528180000
ASCO,ASCOT HOLDINGS,7985505,184.8,1475721324
TSML,TEA SMALLHOLDER,30000000,48,1440000000
SHAW,SHAW WALLACE,5120546,275,1408150150
AFSL,ABANS FINANCIAL,37000000,38,1406000000
CITH,CITRUS HIKKADUWA,57573897,23.8,1370258748.6
ELPL,ELPITIYA,72866428,18.5,1348028918
EQIT,EQUITY,40321730,33.4,1346745782
CSD,SEYLAN DEVELOPMENTS,147964860,9.1,1346480226
WAPO,GUARDIAN CAPITAL,25833808,52,1343358016
SMOT,SATHOSA MOTORS,6033622,222.3,1341274170.6
MEL,MACKWOODS ENERGY,100000000,13.2,1320000000
ASIY,ASIA SIYAKA,260000000,5,1300000000
EMER,EASTERN MERCHANT,117446000,11,1291906000
SIRA,SIERRA  CABLE,537512430,2.4,1290029832
VFIN,VALLIBEL FINANCE,41550600,31,1288068600
TAFL,THREE ACRE FARMS,23545000,53.7,1264366500
PAP,PANASIAN POWER,500000000,2.5,1250000000
PCH,PC HOUSE,228933334,5.4,1236240003.6
PEG,PEGASUS HOTELS,30391538,40,1215661520
CFVF,FIRST CAPITAL,101250000,12,1215000000
LAMB,KOTMALE HOLDINGS,31400000,38,1193200000
SEMB,S M B LEASING,1191766772,1,1191766772
CHMX,CHEMANEX,15750000,75,1181250000
CTLD,C T LAND,48750000,24.2,1179750000
DPL,DANKOTUWA PORCELAIN,72245742,16.3,1177605594.6
STAF,DOLPHIN HOTELS,31621477,36.5,1154183910.5
IDL,INFRASTRUCTURE,6476650,175.7,1137947405
BOGA,BOGALA GRAPHITE,47316452,23.7,1121399912.4
CITK,CITRUS KALPITIYA,161200010,6.8,1096160068
TFC,THE FINANCE CO.,57966232,18.9,1095561784.8
SWAD,SWADESHI,130666,8200,1071461200
MAL,MALWATTE,224590160,4.7,1055573752
MORI,MORISONS,5808290,180.1,1046073029
BOPL,BOGAWANTALAWA,83750000,12.1,1013375000
PMB,PEOPLE'S MERCHANT,67500000,15,1012500000
CITW,CITRUS WASKADUWA,155600010,6.4,995840064
PCP,PC PHARMA,101000020,9.8,989800196
MRH,MAHAWELI REACH,47066447,21,988395387
AUTO,AUTODROME,1200000,810,972000000
TWOD,TOUCHWOOD,106905600,9,962150400
CALF,CAL FINANCE,38766036,24.8,961397692.8
ONAL,ON'ALLY,17500770,54.4,952041888
BALA,BALANGODA,23636363,39.6,935999974.8
CRL,SOFTLOGIC FINANCE,37453951,24.9,932603379.9
MARA,MARAWILA RESORTS,122500000,7.3,894250000
HVA,HVA FOODS,66428660,13.4,890144044
CFT,CFT,140196000,6.2,869215200
ETWO,EQUITY TWO ,31000000,26.5,821500000
AGAL,AGALAWATTE,25000000,32.7,817500000
CABO,CARGO BOAT,10200036,78.2,797642815.2
CIT,CIT,6500000,119,773500000
CFI,CFI,6500000,115.9,753350000
OGL,ORIENT GARMENTS,54916656,13.4,735883190.4
COMD,COMMERCIAL DEVELOPMENT,12000000,61,732000000
HPFL,HYDRO POWER,109088112,6.7,730890350.4
NIFL,NANDA FINANCE,100716730,7.1,715088783
ECL,E - CHANNELLING,122131415,5.8,708362207
RWSL,RAIGAM SALTERNS,282207320,2.5,705518300
TFIL,TRADE FINANCE,56800400,12.3,698644920
MASK,MASKELIYA,53953489,12.7,685209310.3
CIND,CENTRAL INDUSTRIES,9884214,69,682010766
REG,REGNIS,11267863,60,676071780
UCAR,UNION CHEMICALS,1500000,445,667500000
CTBL,CEYLON TEA BROKERS,114000000,5.8,661200000
SLND,SERENDIB LAND,360000,1799,647640000
MFL,MULTI FINANCE,22462039,28.4,637921907.6
PHAR,COLOMBO PHARMACY,1272857,500.3,636810357.1
HOPL,HORANA,25000000,24.5,612500000
ESL,ENTRUST SECURITIES,33000014,18,594000252
SIGV,SIGIRIYA VILLAGE,9000000,64,576000000
TPL,TALAWAKELLE,23750000,24,570000000
UDPL,UDAPUSSELLAWA,19398850,29.1,564506535
SINI,SINGER INDUSTRIES,3846300,145,557713500
SING,SINGALANKA,5540828,97,537460316
SFL,SINHAPUTHRA FINANCE,6295893,85,535150905
KURU,KURUWITA TEXTILE,25000000,20.6,515000000
MULL,MULLERS,283000000,1.8,509400000
HSIG,HOTEL SIGIRIYA,5859000,84.5,495085500
BLI,BIMPUTH FINANCE,26933336,18.3,492880048.8
MSL,MERCANTILE SHIPPING,2844990,169.8,483079302
LALU,LANKA ALUMINIUM,13702823,34.8,476858240.4
LDEV,LANKEM DEVELOPMENTS,60000000,7.6,456000000
GEST,GESTETNER,2278125,200.1,455852812.5
MADU,MADULSIMA,29000000,15.6,452400000
TESS,TESS AGRO,180000000,2.4,432000000
BLUE,BLUE DIAMONDS,103300891,4.1,423533653.1
APLA,ACL PLASTICS,4212500,99.9,420828750
ABAN,ABANS,4258800,97.1,413529480
CFL,CHILAW FINANCE,28083948,14.4,404408851.2
ACME,ACME,25613280,15,384199200
REXP,RICH PIERIS EXPORTS,11163745,33.5,373985457.5
SOY,CONVENIENCE FOOD,2750000,135,371250000
CIFL,CIFL,83426733,4.4,367077625.2
PARQ,SWISSTEK,27372000,13.4,366784800
HUNA,HUNAS FALLS,5625000,62.6,352125000
SIL,SAMSON INTERNATIONAL,3847974,90,346317660
MPRH,METROPLITAN RESOURCE HOLD.,17264802,20,345296040
ARPI,ARPICO,4462500,69.5,310143750
RFL,RAMBODA FALLS,20000000,15.5,310000000
LPRT,LAKE HOUSE PRINTERS,2937245,105,308410725
LITE,LAXAPANA,39000000,6.9,269100000
ALUF,ALUFAB,12058200,22.1,266486220
KDL,KELSEY,17429274,14.6,254467400.4
MIRA,MIRAMAR,2750000,91.2,250800000
OFEQ,OFFICE EQUIPMENT,83356,3000,250068000
HEXP,HAYLEYS FIBRE,8000000,28,224000000
CHOU,CITY HOUSING,13379850,15.7,210063645
YORK,YORK ARCADE,12000000,16.8,201600000
ASPH,INDUSTRIAL ASPHALTS,666562,239.9,159908223.8
HUEJ,HUEJAY,1800000,79.8,143640000
RGEM,RADIANT GEMS,2400000,57,136800000
PARA,PARAGON,100028,1199.9,120023597.2
KZOO,KALAMAZOO,50000,2204.5,110225000
BINN,BERUWELA WALKINN,900000,78.4,70560000
CPRT,CEYLON PRINTERS,35010,1820.2,63725202
VANI,VANIK INCORPORATION,65481650,0.8,52385320
