Sector Market Capitalisation - Monthly 2009,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",105960797180.75,96842259478.75,91989059524.75,102160095884,131053913115.75,139694557108,147354574428,154284155210.75,179062538014.25,185450797854.5,177475127062.75,195325938193
"BEVERAGE, FOOD & TOBACCO",75393126448.5,74465436340,72529556761,82515168160,92988934052.75,97619386564,99660889695.75,114050640578,117236712095,121505504651,117714743025,130713770285
CONSTRUCTION & ENGINEERING,4733437677,4871291836.25,4391861589.75,5182178211,7109649536.25,7737220587.5,8411347208,9818631697.75,11663910041.5,12791295266.75,13708499259,17618387393.25
CHEMICALS & PHARMACEUTICALS,6135578355,5872903605,5720863877.5,6319070065,7592587451.05,8544980530.9,8296597069.75,8577344303.4,11016320204.95,11356214852.75,11165794129,13026731309
DIVERSIFIED HOLDINGS,97490320004,88522057092.5,87203321294,98469484240.75,139388631800.25,160791344010.25,161294959709.25,163670044300.5,191929796795.25,191605643512,190680277771.75,239013988388
FOOTWEAR & TEXTILES,2818252252,2725119133,2620719776,2956409728,3331244696,3365414069,3246869696,3372692204,3511672188,3311014712,3108054744,3308712220
HOTELS & TRAVELS,48346989761.5,44118425603.5,42578221895.75,48280907648,61840969931.5,73040837309.25,78019296969.75,87362602045,99177212127,96072759553,92066965786.25,108050585197.25
HEALTH CARE,15424587674.55,15277536933.7,15335285307.35,17459151460.8,19375778839.1,19881237787.55,20877320715.6,20007027285.15,21535942928.85,24292457023.55,24916012911.45,25454910393.8
INVESTMENT TRUSTS,5387193803.75,5047740498.5,4928638409,5636006038.25,6746475419.25,7562475554,8905600956.5,9818253215,12597740317,12218807064.5,13106540459.25,17546872224
INFORMATION TECHNOLOGY,178835286.25,139578760,135216923.75,152664268.75,174473450,200644467.5,200644467.5,178835286.25,183197122.5,178835286.25,157026105,170111613.75
LAND & PROPERTY,14048617066.5,13123795659.5,11687637302.5,13178871620,15683742126.5,17504278627.5,17483903048.5,17315368616.5,19147120821,18779687038,17972099106.5,19383874661
MANUFACTURING,39208125586.75,36553125146.35,34094189424.75,39112482180.7,45151917493.6,42414826944.2,45333758629.25,46054000663.75,51579926602.65,53502766679.35,53873182857.4,64293814389.75
MOTORS,14507983140.75,14013985924.75,13697055681.75,14084563767.75,5483095675,5279948543,5128310369,4951841739.5,5906546495.5,6014880715.75,8916044458.75,10170304173.5
OIL PALMS,14642706603,14165598216.25,13757124445,14608282980,15724869459,18356143800,21664832276.25,23800659120,28377761585,29289105055,28145139635,43570086486.5
POWER & ENERGY,13975361849.9,12223643707.35,11594054460.1,12614417531.8,13377533934.5,12447353697.8,12461078462.65,12138956712.1,13753625255.45,16514077372.35,15494502066.45,16607612678.25
PLANTATIONS,15133372093.5,12637414092,12103753315,13802184672.5,15484582454.25,17590856239,18497328392.75,19086930154.5,19730036289.5,17802386400.25,17734571314,18956946633
STORES & SUPPLIES,2258523790.5,2231052900.6,2335432782,2178534121.25,2206298216.75,2062564466.75,2053352525.5,1996140857.75,2409839920,2365207513.75,2619913651.25,2963626556.25
SERVICES,1681174293,1384112684.25,1357995044.75,1476930095,1863629497.5,1917139927,2156217718,2167011850.5,2856371450,2594970152.5,2267209442,2825392340.75
TELECOMMUNICATION,109534656626.25,102260236344,100367324184.5,113144376626.25,120143686227.5,130741761626.25,134593520430,122179630828.75,133702044632.5,135969073835,131456923835,142065953436.25
TRADING,5882320004.5,5509726492,5321905694.25,5712462725,7349855618,8652439887,11818204926,14093228558.75,16131628338,17075249444,16669966165,21070259727.5
ASPI,592741959497.95,551985040448.25,533749217693.45,599044242024.8,712071868994.5,775405411746.45,807458607694,834923995227.9,941509943223.9,958690733982.25,939248593784.8,1092137878299.8
MPI,227496629493.65,205377587377.6,201009739305.35,227278514657.3,291730873350.25,315333531746.05,357639873597.15,375006930740.35,416326845363.45,423438013518.35,422709159029.95,489261165151.5
