Right Issues 1994,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed
,,Offered,(Rs.),by the Public
1) W M Mendis Ltd,4 for 9,3061856,30,Data n.a. 
2) John Keells ,1 for 6,2500000,200,Data n.a. 
3) Sigiriya Village,1 for 2,773100,50,Data n.a. 
4) Overseas Reality (Ceylon) Ltd,2 for 3,20000070,US $1 = 50,Data n.a. 
5) CT Land Ltd,3 for 10,7500000,10,Data n.a. 
6) Asian Hotels,1 for 2,36657511,30,Data n.a. 
7) Brown Beach Hotels,1 for 5,1600000,25,Data n.a. 
8) Carson Marketing,1 for 1,4000000,10,Data n.a. 
9) Hayleys Ltd.,1 for 5,2500000,160,Data n.a. 
10) Colombo Investment,3 for 7,900000,20,Data n.a. 
11) Colombo Fort Investment,3 for 7,900000,20,Data n.a. 
12) Lanka Orix Leasing,1 for 5,1500000,100,Data n.a. 
13) Renuka City Hotel,1 for 4,1000000,20,Data n.a. 
14) Samson International,1 for 5,499737,75,Data n.a. 
15) Aitken Spence,1 for 4,2231432,325,Data n.a. 
16) Richard Pieris,1 for 4,2086602,145,Data n.a. 
17) Sathosa Motors,1 for 6,250000,125,Data n.a. 
18) Merchant Bank,3 for 7,12000000,70,Data n.a. 
19) Pugoda Textiles,1 for 2,5000000,20,Data n.a. 
20) Korea Ceylon,1 for 10,971980,70,Data n.a. 
21) Mahaweli Reach,1 for 1,5465781,30,Data n.a. 
22) Asiri Hospitals,1 for 10,965806,25,Data n.a. 
23) Hunas Falls,1 for 2,1875000,16,Data n.a. 
24) Blue Diamond,1 for 5,7200000,25,Data n.a. 
25) Serendib Hotel,2 for 5,3150000,35,Data n.a. 
26) Ceylon Grain Elevators,1 for 3,15000000,25,Data n.a. 
27) Stafford Hotels,2 for 1,16864788,10,Data n.a. 
28) Overseas Realty,2 for 3,20000000,US $1 = 50,Data n.a. 
29) Royal Ceramics Lanka,1 for 10,2543374,60,Data n.a. 
Value (Rs),7800399975,,,
Issues (No.),29,,,
Right Issues 1994 by Sector,,,,
Sector (Equity),No of Issues,No of Shares,Value (Rs.),
"1) Banks, Finance & Insurance",2,13500000,990000000,
"2) Beverages, Food & Tobacco",1,3061856,91855680,
3) Hotels & Travels,8,67386180,1671250640,
4) Land & Property,3,28400070,2075003500,
5) Manufacturing,5,27329713,1047640005,
6) Motors,1,250000,31250000,
7) Trading,2,6500000,440000000,
8) Services,3,41623317,1249360550,
9) Footwear & Textiles,2,5971980,168038600,
10) Investment Trust,2,20900000,36000000,
Total,29,214923116,7800399975,
