Beta Values for the Period from 01st January to 31st March 2012,,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
AAF,1.15644516,AAF,1.06988768
AAIC,3.07725455,AAIC,2.7307898
ABAN,1.38290032,ABAN,1.33030249
ACAP,1.75961778,ACAP,1.50347655
ACL,1.44922558,ACL,1.43477744
ACME,1.64289283,ACME,1.45712248
AEL,0.101736197,AEL,-0.10976406
AFSL,4.12309517,AFSL,3.83472989
AGAL,1.48157631,AGAL,1.54240209
AGST,3.72895328,AGST,3.22558982
AHPL,0.799400449,AHPL,0.623700005
AHUN,0.746877341,AHUN,0.575681939
ALLI,2.13102672,ALLI,1.69097284
ALUF,2.89407944,ALUF,2.77506388
AMCL,0,AMCL,0
AMF,1.89457906,AMF,1.70773162
AMSL,0.680801898,AMSL,0.548820348
APLA,0.228453659,APLA,0.176799191
ARPI,0.423994504,ARPI,0.382599393
ASCO,0.878653509,ASCO,0.732869792
ASHA,0.889457906,ASHA,0.776074166
ASHO,1.41400199,ASHO,0.989540619
ASIR,0.807581813,ASIR,0.447673382
ASPH,2.3597302,ASPH,2.0747608
ATL,2.23419935,ATL,1.99536459
AUTO,0.661378965,AUTO,0.537826112
BALA,1.49950037,BALA,1.3053426
BBH,1.07194604,BBH,0.877161704
BERU,0,BERU,0
BFL,2.21858606,BFL,1.97254412
BHR,1.14776417,BHR,0.96713615
BIL,1.86110417,BIL,1.7051762
BINN,2.64064451,BINN,2.17721518
BLI,3.59249313,BLI,3.05407975
BLUE,3.99912565,BLUE,3.8811434
BOGA,2.72089682,BOGA,2.73798062
BOPL,2.39070696,BOPL,2.29601236
BREW,0.899512865,BREW,0.498306293
BRWN,1.67824131,BRWN,1.72062756
BUKI,0.815638271,BUKI,0.592143578
CABO,2.30989258,CABO,1.90681642
CALF,2.23207594,CALF,2.56682712
CARE,1.97258306,CARE,1.63808165
CARG,0.524731451,CARG,0.370654305
CARS,0.544154384,CARS,0.373922862
CCS,1.59705221,CCS,1.51423307
CDB,1.4358606,CDB,1.4202175
CDIC,3.80333499,CDIC,3.80679859
CERA,0.216525106,CERA,0.219944137
CFI,-0.38408693,CFI,-0.10714922
