Bonus Issues 1990,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) ACME,1 for 1,Data n.a. ,22360800
2) Alliance Finance,1 for 2,Data n.a. ,4050000
3) Arpico Finance,2 for 5,Data n.a. ,3750000
4) Central Finance,1 for 4,Data n.a. ,10150000
5) CT Land,1 for 3,Data n.a. ,25000000
6) Commercial Bank,1 for 6,Data n.a. ,50000000
7) Dipped Products,1 for 5,Data n.a. ,10000000
8) Harischandra Mills,24 for 1,Data n.a. ,4799000
9) Haycarb,1 for 1,Data n.a. ,15000000
10) Hayleys,1 for 4,Data n.a. ,15000000
11) Hotel Services,7 for 1,Data n.a. ,33000000
12) Hotel Sigiriya,1 for 2,Data n.a. ,9300000
13) HNB,1 for 3,Data n.a. ,20000000
14) Kapila Heavy,1 for 4,Data n.a. ,4326920
15) Lankem Ceylon,1 for 1,Data n.a. ,6000000
16) Richard Pieris,1 for 2,Data n.a. ,10314000
17) Shaw Wallace,1 for 4,Data n.a. ,17068490
Value (Rs.),Data n.a. ,,
Issues (No.),17,,
Bonus Issues - by Sector 1990,,,
Sector,No of Issues,No of Shares,Value (Rs.)
Data n.a. ,Data n.a. ,Data n.a. ,Data n.a. 
