Sector Domestic & Foreign Analysis 2002,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",105773,3604,396498194,42379298,10992535363,1559973259
"BEVERAGE, FOOD & TOBACCO",17486,660,70003003,14743690,1238514087,423715180
CONSTRUCTION & ENGINEERING,4620,227,13656135,1851058,299222500,47571796
CHEMICALS & PHARMACEUTICALS,4512,208,6349737,520348,290705339,39882896
FOOTWEAR & TEXTILES,5477,93,14591724,257000,170681299,2556250
HOTELS & TRAVELS,30415,1038,138696888,62792382,1567663178,494437783
INVESTMENT TRUSTS,2455,6,2647337,1246,62780364,58447
LAND & PROPERTY,12487,145,82306649,7947683,438419590,120485457
MANUFACTURING,44563,1467,185478782,11471483,2975067574,274407262
MOTORS,1780,9,2381947,904483,73917700,21020643
OIL PALMS,197,22,117972,76768,12670072,62080483
STORES & SUPPLIES,1595,49,5578481,131035,32595242,1562144
SERVICES,348,1,405096,300,90184837,18100
TRADING,2821,86,3215595,200964,71442006,7289142
PLANTATIONS,17522,407,39318066,2246650,556224080,28517350
DIVERSIFIED HOLDINGS,18603,1900,79780864,39271562,5251741068,3168175662
POWER & ENERGY,6,0,16590,0,1659000,0
HEALTH CARE,2328,32,7436091,243628,125164911,4992952
INFORMATION TECHNOLOGY,131,2,102600,2000,1340300,31000
TELECOMMUNICATION,51,0,18150,0,13589460,0
