,Beta Values for the Period from 01st July to 30th September 2009,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
MGT,0.095246122,MGT,-0.01552511
MIRA,1.16604855,MIRA,1.60487062
MORI,0.238873904,MORI,0.417199391
MPRH,0.93897505,MPRH,0.768036529
MRH,0.639244774,MRH,0.38828006
MSL,0.384524612,MSL,0.243987823
MULL,1.05529332,MULL,0.142465753
NAMU,0.636378961,NAMU,0.496194824
NDB,1.07569116,NDB,0.806392694
NEH,0.20229265,NEH,-0.0718417
NEST,0.822656776,NEST,0.042770167
NHL,1.30697909,NHL,0.905022831
NTB,0.922623061,NTB,0.811111111
OFEQ,0,OFEQ,0
ONAL,0.020566419,ONAL,-0.09041095
OSEA,1.0102832,OSEA,0.949162861
PABC,0.88098449,PABC,0.657534246
PALM,0.496628455,PALM,0.426484018
PARA,0.357215104,PARA,0.147488584
PARQ,1.31237356,PARQ,1.01780821
PDL,1.1545853,PDL,0.922983257
PEG,0.669925826,PEG,0.401674277
PHAR,-0.11328388,PHAR,-0.83729071
PMB,0.30192178,PMB,0.108828006
RCL,0.92026298,RCL,0.752207001
REEF,1.59962913,REEF,1.25814307
REG,0.710552933,REG,0.669558599
RENU,1.13570465,RENU,0.675038051
REXP,-0.12963587,REXP,-0.12602739
RGEM,1.56102494,RGEM,1.2826484
RHL,1.08698583,RHL,0.682648401
RHTL,1.32518543,RHTL,0.903652968
RICH,1.07535401,RICH,0.867732115
RPBH,0.03320971,RPBH,-0.27092846
SAMP,1.58664868,SAMP,1.20410958
SELI,1.87019554,SELI,1.2369863
SEMB,0.466621712,SEMB,0.163622526
SERV,0.278489548,SERV,0.140791476
SEYB,0.820802427,SEYB,0.495585996
SHAL,0.040121375,SHAL,-0.53911719
SHAW,0.167734322,SHAW,0.081887366
SHOT,0.944706675,SHOT,0.580517503
SIGV,0.605192178,SIGV,-0.23074581
SIL,1.16655428,SIL,0.896499238
SING,-0.0687795,SING,0.164687975
SINI,2.94993256,SINI,2.65403348
SINS,1.3194538,SINS,1.35707762
SIRA,0.820128118,SIRA,0.806697108
SLND,0,SLND,0
SLTL,1.37407282,SLTL,0.98980213
SMLL,-0.43004045,SMLL,-0.89771689
SMOT,0.51567768,SMOT,0.335768645
SOY,-0.24140256,SOY,-0.22633181
SPEN,0.990728253,SPEN,0.592694063
STAF,0.793492919,STAF,0.477777777
SUGA,0.384524612,SUGA,0.601369863
SUN,0.014666217,SUN,-0.16803652
SWAD,0,SWAD,0
TAFL,0.183412002,TAFL,0.012328767
TAJ,1.31844234,TAJ,0.90152207
TANG,1.49190829,TANG,1.45494672
TESS,1.24696561,TESS,0.63348554
TFC,0.224039109,TFC,-0.06636225
TILE,1.2692178,TILE,1.12085235
TKYO,0.990728253,TKYO,0.675038051
TPL,0.278320971,TPL,0.007153729
TRAN,0.979770734,TRAN,0.871689497
TSML,0.994436952,TSML,0.919634703
TWOD,1.84726904,TWOD,1.0608828
TYRE,1.23769386,TYRE,1.13394216
UAL,1.7447741,UAL,1.43820395
UCAR,-0.06776803,UCAR,0.105327245
UDPL,1.72505057,UDPL,1.28417047
UML,1.35974376,UML,1.05844748
VLL,0.450269723,VLL,0.379299847
VPEL,0.242245448,VPEL,0.394672754
WAPO,0.040289952,WAPO,0.042161339
WATA,0.288941335,WATA,0.179299847
YORK,1.27427511,YORK,0.905479452
