Sector Trading Statistics 2014,,,,,
Sector,Trades (No.),Share Volume (No.),Turnover (Rs.),Listed,Traded
BANKS FINANCE & INSURANCE,631617,4895265476,108113894434,61,58
"BEVERAGE, FOOD & TOBACCO",86525,431179333,14966402664,21,21
CONSTRUCTION & ENGINEERING,60489,457754380,15273086937,4,4
CHEMICALS & PHARMACEUTICALS,41962,483389923,3266457665,10,10
FOOTWEAR & TEXTILES,253083,4045668483,109642390755,19,19
HOTELS & TRAVELS,43008,304635227,4651304106,3,3
INVESTMENT TRUSTS,120219,490861383,6622675956,37,36
LAND & PROPERTY,27644,187462732,3340844637,5,5
MANUFACTURING,76937,574227014,5378466100,9,9
MOTORS,21046,383746644,719884109,2,2
OIL PALMS,81630,418764836,5253796886,19,19
STORES & SUPPLIES,278677,1680548044,30751362927,37,36
SERVICES,15571,17148573,3070597700,6,6
TRADING,3660,1895974,1412631140,5,5
PLANTATIONS,106778,1162130066,15732139722,8,8
DIVERSIFIED HOLDINGS,63050,138948912,2479205792,19,18
POWER & ENERGY,4136,428548,168222557,4,4
HEALTH CARE,10705,53787236,393763456,8,8
INFORMATION TECHNOLOGY,17764,645080411,7994643187,2,2
TELECOMMUNICATION,36479,347547564,1653463739,8,8
