Sector Domestic & Foreign Analysis - 2012,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",479892,17732,2369513102,189725488,39951689176,11961008616
"BEVERAGE, FOOD & TOBACCO",110141,5361,242133211,44386325,8378335514,4981409883
CONSTRUCTION & ENGINEERING,36506,751,90510040,5496388,1844620410,248892845
CHEMICALS & PHARMACEUTICALS,28849,628,181097470,1539076,3305283598,73866164
FOOTWEAR & TEXTILES,26148,735,79343777,33330470,1866942215,862564469
HOTELS & TRAVELS,163169,2615,612163259,23769443,9830571173,515074330
INVESTMENT TRUSTS,140669,5137,353192431,617512649,7434876219,5014730829
LAND & PROPERTY,107882,3209,230841426,16620844,4480561788,295780999
MANUFACTURING,237078,4782,1012791666,43777436,12276765784,1625326415
MOTORS,13154,404,8245015,2990326,1668098699,562153821
OIL PALMS,3467,293,624913,98098,489907910,105586681
STORES & SUPPLIES,7318,84,460221,13456,245651784,6933151
SERVICES,12104,124,31773443,467144,289420820,4724648
TRADING,37062,594,163525739,3050230,1234521741,54895603
PLANTATIONS,55186,1750,103284219,7014758,1679073395,136245403
DIVERSIFIED HOLDINGS,159398,11017,1598422663,180816753,53808025924,24628304706
POWER & ENERGY,81191,1349,445383147,17776755,2864628185,135008303
HEALTH CARE,33266,400,365264502,40449895,6019622598,780078347
INFORMATION TECHNOLOGY,49856,1413,298460312,16832881,2051992059,120008292
TELECOMMUNICATION,14538,2132,102532270,156005401,822701660,1171314456
