Right Issues 1993,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed
,,Offered,(Rs.),by the Public
1) Parquet,3 for 5,621000,20,621000
2) Lanka Tiles,3 for 4,5436920,20,5436920
3) Lamkem Ceylon,1 for 6,600000,20,600000
4) Richard Pieris,1 for 3,2086602,75,2086602
5) W M Mendis,1 for 5 ,1087010,35,1087010
6) Ceylinco Insurance,2 for 5 ,2200000,15,2200000
7) Mercantile Shipping,7 for 20,508881,-,508881
8) Central Securities,2 for 5 ,800000,20,689911.5
9) Colombo Pharmacy,2 for 7,212143,30,212143
10) Commercial Bank,1 for 4,2500000,100,2500000
11) Mahaweli Reach,1 for 3,1366445,4,1366445
12) Overseas Realty,2 for 3*,20000000,-,20000000
13) Nuwara Eliya Hotels,74 for 100,741000,340,76279.4117647059
14) CT Land,1 for 1,12500000,-,12500000
15) Merchant Bank,1 for 3,5000000,20,5000000
16) Soy Foods,2 for 9,500000,10,500000
17) Dock Yard,134 for 100,32731253,-,32731253
18) Lake House Investment,1 for 3,354842,10,354842
19) Miller & Phipps,7 for 1,2625000,-,2625000
20) Aitken Spence,1 for 4,1785146,140,1785146
21) Singer (Sri Lanka),1 for 8,1449375,30,1449375
22) Seylan Bank,1 for 5,4000000,15,4000000
23) Central Industries #,***,364981,100,364981
24) Asian Hotels,1 for 1,29326009,18,29326009
25) Habarana Lodge,1 for 3,1800000,25,1800000
26) Chemanex,1 for 3,625000,12,625000
27) DFCC,1 for 3,566667,180,566667
28) Asiri Hospitals,1 for 5,1207258,5,1207258
29) Ceylinco Housing,1 for 1,1486650,5,1486650
30) Colombo Fort Land,1 for 2,6000000,9,6000000
31) AMW,1 for 5,953978,90,953978
Value (Rs),4031185388,,,
Issues (No.),31,,,
Right Issues 1993 by Sector,,,,
Sector (Equity),No of Issues,No of Shares,Value (Rs.),
"1) Banks, Finance & Insurance",5,Data n.a. ,664607485,
"2) Beverages, Food & Tobacco",2,Data n.a. ,31148065,
3) Chemicals and Pharmacy,2,Data n.a. ,31750000,
4) Construction & Engineering,1,Data n.a. ,327312530,
5) Hotels & Travels,4,Data n.a. ,906159838,
6) Investment Trust,1,Data n.a. ,13798230,
7) Land & Property,4,Data n.a. ,1175698145,
8) Manufacturing,4,Data n.a. ,395596870,
9) Motors,1,Data n.a. ,95397800,
10) Services,3,Data n.a. ,290969580,
11) Stores & Supplies,2,Data n.a. ,33675005,
12) Trading,2,Data n.a. ,65071840,
Total,31,Data n.a. ,4031185388,
