Sector Domestic & Foreign Analysis - 2023 (January to December) ,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
Automobiles & Components,6916,92,3988275,149516,256139450,10131314
Banks,369669,10876,1690774303,84581859,61788278379,5411766138
Capital Goods,466584,14059,1067850421,138211460,65991859070,15884904379
Commercial & Professional Services,28172,346,67021963,3288495,628827447,27827466
Consumer Durables & Apparel,141433,2708,820032121,30630905,12592766866,865934421
Consumer Services,207820,2199,896148364,19094726,11197035283,293239528
Diversified Financials,631698,8576,3712445830,121801589,54008950469,2050931354
Energy,104082,1849,131529491,3733616,17633878983,471925630
Food & Staples Retailing,11985,361,120250502,15896974,2022477730,1489833001
"Food, Beverage & Tobacco",506606,10700,2716755079,130302763,51050536047,5378543469
Health Care Equipment & Services,46697,454,81379845,1396311,1506486373,53319615
Household & Personal Products,2021,130,7638018,2736134,157632319,56047150
Insurance,279241,3593,1648413195,173823239,27398858110,1685814617
Materials,323735,10963,1625688773,57748485,30195083880,2072505820
Real Estate,82466,2100,222242218,15118705,2241252459,194169749
Retailing,70514,619,298187774,4101011,2856467705,42254128
Software &  Services,13626,274,31076105,10355291,418345017,138379405
Telecommunication Services,80951,2637,299922027,155234103,8102922723,1667330130
Transportation,124342,1805,118768876,4560558,17605786133,659754426
Utilities,45339,722,328656617,127291863,3679797087,841354812
