Rights Issues 2022 (January to December),,,,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2019-01-07 00:00:00,Agstar PLC (Ordinary non-voting),2022-01-20 00:00:00,8736845,4,8736845,34947380,34947380,2:1,2022-03-04 00:00:00
,2020-01-06 00:00:00,Agstar PLC (Ordinary voting),2022-01-20 00:00:00,153763155,5,153763155,768815775,768815775,2:1,2022-03-04 00:00:00
2,2020-01-19 00:00:00,HVA Foods PLC,2022-03-14 00:00:00,49821495,5,49821495,249107475,249107475,3:4,2022-05-13 00:00:00
3,2020-01-07 00:00:00,DFCC Bank PLC,2022-04-04 00:00:00,109247953,55,65818199,6008637415,3620000945,12:37,2022-06-01 00:00:00
4,2020-02-19 00:00:00,Colombo Fort Investments PLC,2022-05-18 00:00:00,1403915,52,1368823,73003580,71178796,1:5,2022-06-30 00:00:00
5,2020-02-10 00:00:00,ACME Printing & Packaging PLC,2022-06-28 00:00:00,123485739,4.5,53838087,555685825.5,242271391.5,3:1,2022-08-05 00:00:00
7,2020-06-02 00:00:00,LOLC Development Finance PLC,2022-07-07 00:00:00,118971637,13.25,118971637,1576374190.25,1576374190.25,1:2,2022-08-22 00:00:00
8,2020-06-23 00:00:00,Pegasus Hotels of Ceylon PLC,2022-07-27 00:00:00,3376838,22.5,3376838,75978855,75978855,1:9,2022-09-07 00:00:00
9,,Dolphin Hotels PLC,2022-08-01 00:00:00,31621477,20,31621477,632429540,632429540,1:1,2022-09-13 00:00:00
10,,Hotel Sigiriya PLC,2022-08-01 00:00:00,11718000,30,11718000,351540000,351540000,2:1,2022-09-13 00:00:00
11,,Nation Lanka Finance PLC,2022-08-30 00:00:00,2870040325,0.7,1580044233,2009028227.5,1106030963.1,212:100,2022-10-11 00:00:00
12,,Abans Finance PLC,2022-09-07 00:00:00,7131598,28,7131598,199684744,199684744,3:28,2022-10-13 00:00:00
13,,Softlogic Finance PLC,2022-10-26 00:00:00,116483901,7.31,116483901,851497316.31,851497316.31,100:423,2022-12-08 00:00:00
14,,Serendib Hotels PLC  (Ordinary Voting ),2022-10-27 00:00:00,226544214,7,226544214,1585809498,1585809498,3:1,2022-12-12 00:00:00
,,Serendib Hotels PLC  (Ordinary Non Voting ),2022-10-27 00:00:00,108033168,4,108033168,432132672,432132672,3:1,2022-12-12 00:00:00
,,,,,,,,11797799541.16,,
