,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Information Technology,64,89991,399522,2,1,48,76606,325197,2,1,90,161186,644181,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,60780,245994,2,1,94,190469,670753,2,1,940,1945523,8492160,2,1,242,459929,2100391,1,1,596,1763021,9363936,1,1,82,102436,512166,1,1,412,1009811,5820946,1,1,334,513302,2978542,1,1,101,116946,653923,1,1
Land & Property,3735,6077953,72538380,19,17,3928,7641901,104858955,19,17,4862,7956171,127373973,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5673,12822355,230036070,19,16,8805,18602567,343601239,18,16,3360,24780445,283211728,18,15,7654,16066521,181089976,18,16,5741,14110029,150061771,18,16,2518,304710098,4483442931,18,16,6065,14461586,225721839,18,16,5614,19920270,287080525,18,16,5850,16031303,210744274,18,16
Manufacturing,9625,16236667,441082582,41,34,8127,44112440,825660749,41,34,7257,17949464,408954753,41,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7631,20583563,464306709,41,34,8670,38859994,403310899,39,35,7937,56385611,1650017720,39,35,29565,98571442,1937926605,39,35,22583,79586600,1528022419,39,34,10272,40233002,447212215,38,33,30071,123122342,1930276233,38,34,46324,194356118,4538885028,38,34,22730,65956445,1528117487,38,34
Motors,424,38477,5519689,6,6,294,177944,12036825,6,6,243,45557,4138862,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,51008,4229790,6,6,468,184913,8931305,6,6,488,111150,5917367,6,6,1154,554610,75642728,6,6,1520,231096,20466859,6,6,411,156172,9809633,6,6,630,256939,18703516,6,6,862,864224,59986717,6,6,2719,796899,83902521,6,6
Oil Palms,96,31972,6530118,5,5,141,1568,577482,5,5,57,36864,7379302,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,3250,772305,5,5,36,38086,7750604,5,5,43,1764,363747,5,5,104,2609,794251,5,5,124,81753,17939015,5,5,38,25886,5648937,5,4,84,1441,392859,5,5,113,26318,5954372,5,5,103,4734,1178338,5,5
Power & Energy,2867,9094641,98551113,10,8,1832,6581232,72177909,10,8,2609,20532324,143163557,10,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1608,7653279,48173384,10,9,2591,10549897,71137260,10,9,2326,211894682,921141807,10,8,6812,36617542,376347525,10,9,4368,29206515,307069091,10,9,6158,53500657,239342842,10,9,8865,35021551,192715290,12,10,13910,82209780,699437584,12,10,4431,33873802,196880379,12,10
Plantations,9165,11679632,126935414,20,18,1945,1646349,18535783,20,18,2199,1286538,18745301,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196,931229,18618841,20,18,2678,129411023,1076953670,20,18,2812,14346774,257616879,21,19,6378,7235917,82994799,21,19,2648,2428864,29546505,21,19,2206,2328008,53597933,21,20,4409,4089706,41062110,21,19,3640,4138398,46932094,21,19,2086,31558724,265716262,21,19
Stores & Supplies,60,17358,7148687,4,4,55,1998,794463,4,4,95,3470,1377555,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,4459,2749863,4,4,77,2370,1222632,4,4,57,427306,558524663,4,4,117,31739,4378288,4,4,69,981,700575,4,3,183,145214,152099019,4,4,128,3514,1515512,4,4,130,2014,1149979,4,4,149,2169,756860,4,4
Services,820,3137328,9566817,8,8,583,4882672,10841088,8,8,718,16985283,57910395,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459,1076574,2575988,8,8,1335,4976650,13216877,8,8,1625,16839514,41065902,8,8,2194,14961527,39403511,8,8,777,4451542,12540670,7,7,1087,8396441,22658638,7,7,1666,11899485,33383364,7,7,2185,24659236,69765706,7,7,809,3225911,10706750,7,7
Telecommunication,1493,5788156,59625118,2,2,1124,33534693,316283816,2,2,1153,8672248,83674219,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1706,56550435,513794644,2,2,1646,74490014,673923756,2,2,1289,12022817,109350022,2,2,4682,73621826,756305080,2,2,1730,57298148,615479360,2,2,1817,32212535,350444200,2,2,3060,240939062,2844613265,2,2,2377,102998927,1337617439,2,2,1544,22072367,286441590,2,2
Trading,793,3040607,4222956,9,7,622,5368324,4708357,9,7,749,2813365,4063085,9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690,3136185,7399342,9,7,770,3454184,8454800,9,7,783,11519697,367764513,9,7,1691,8614947,20342812,9,7,1779,7818076,49738022,9,7,1417,19478144,31636720,9,7,2219,29570773,35754074,9,7,3083,38480692,74151404,9,7,2400,14529632,55225747,9,7
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
