,Beta Values for the Period from 01st January to 31st March 2009,,
COMPANY ID,"BETA VALUE
 BASED ON ASPI",COMPANY ID,"BETA VALUE
 BASED ON MPI"
MBSL,1.17114284,MBSL,0.74876253
MGT,0.509672911,MGT,0.337756332
MIRA,1.53805843,MIRA,1.21977039
MORI,0.431983929,MORI,0.346574601
MPRH,2.63884885,MPRH,1.72209974
MRH,1.42761692,MRH,0.735909487
MSL,0.13454736,MSL,0.088099496
MULL,0.959386872,MULL,0.503057277
NAMU,1.25040394,NAMU,0.752922091
NDB,0.874230315,NDB,0.618901044
NEH,1.09926197,NEH,0.78332848
NEST,0.576924756,NEST,0.295432802
NHL,0.905367046,NHL,0.511085229
NTB,1.14751735,NTB,0.745809242
OFEQ,0,OFEQ,0
ONAL,-0.11738503,ONAL,-0.01570234
OSEA,1.70404821,OSEA,0.985587121
PABC,0.927857111,PABC,0.60188844
PALM,0.688938381,PALM,0.404891643
PARA,-0.29464168,PARA,-0.18256312
PARQ,1.58504738,PARQ,0.986751799
PDL,0.894449539,PDL,0.602429183
PEG,1.98440979,PEG,1.2622187
PHAR,-0.05471854,PHAR,-0.01663824
PMB,1.68867636,PMB,1.08508381
RCL,1.0316171,RCL,0.596418618
REEF,1.81313594,REEF,1.26745975
REG,0.049434473,REG,0.105382471
RENU,1.11795274,RENU,0.675762239
REXP,1.61614044,REXP,1.10163886
RGEM,1.6004629,RGEM,0.809741691
RHL,1.02004454,RHL,0.844682001
RHTL,2.04572252,RHTL,1.26350817
RICH,1.71562076,RICH,0.985191963
RPBH,0.499061094,RPBH,0.270413044
SAMP,0.801694397,SAMP,0.557651512
SELI,1.31787414,SELI,0.960338588
SEMB,2.08039652,SEMB,1.34996464
SERV,0.089130529,SERV,0.174015223
SEYB,1.09231844,SEYB,0.657688948
SHAL,0,SHAL,0
SHAW,0.128826586,SHAW,0.094817187
SHOT,2.19909166,SHOT,1.42814358
SIGV,1.20284728,SIGV,0.597375317
