Sector Market Capitalisation - Monthly 2014,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",566415870939.1,537914831374.1,536542253890.6,562456646215.3,567396913673.1,594480526300.5,629186484023.3,660533163970.3,703950824800.8,745063750682.1,723425244625.7,753694515102.1
"BEVERAGE, FOOD & TOBACCO",545725452259.7,491523770369.4,483751566371.7,500829460079,487782096041.7,497556516481.2,545440297534.3,566761772396.2,557082184428,553608803954.6,539816256606,539879217291.1
CONSTRUCTION & ENGINEERING,41192384563.6,39043398362.4,38765903936.8,41035097230,40592247805.2,42810341888,44298336125.2,47494538236,50805359984.8,52886847160,58564966810,56515920682.4
CHEMICALS & PHARMACEUTICALS,16683434236.2,15300718732.3,15485709256.8,16450964366.7,16142077254.5,16643070685.5,18540173260.8,18750053625.2,20374640056.4,19785817386,19175492149.9,19178039189.4
DIVERSIFIED HOLDINGS,510304145670.8,480911530208.3,488928688157.3,513220942574.3,514193880365,509432480465.5,550701608993.5,567948260246.1,595282893648.7,594944197945.6,570332535741.4,584413159665.1
FOOTWEAR & TEXTILES,10507279495,9808198326,9290095112.1,10117462680.1,10028894062.6,10610705957.4,11219078933.3,12445442585.6,13662529220.8,14157751482.5,12735962259,12610712719.3
HOTELS & TRAVELS,315510196926.2,309963962001.2,309903636049,318873905241.8,329792537557.6,328304090642,340067399578.1,343315605240.8,370121047079,369103158109.9,359632314215.2,361827591722.4
HEALTH CARE,52061729835.9,49818262242.2,52921837577.4,53583532681.5,51286989334.3,49828456649,51156433135.1,52986396306.9,59933859342.2,54615032172,50739052339.8,51111586429.4
INVESTMENT TRUSTS,33436489967,32784413235.1,31687948580.7,32349744941.6,32416667355.8,32682538650.2,35460600704.9,37463089789,39664559213.1,38909571443.4,39002555852.1,39693244010.3
INFORMATION TECHNOLOGY,1905966093.5,1944904942.4,1776220385.8,1812859810.3,1788433527.3,1786134102.9,1971630649.8,1861712376.3,1825072951.8,1849499234.8,1705240961.2,1717454102.7
LAND & PROPERTY,41823125226.8,40621547117.3,40819107314.5,43655123698.4,43550965387.1,46201192378.3,48643405137.5,51255896633.1,54163929953.5,54083815518.8,50332812143,52709099218.1
MANUFACTURING,115240701558.7,108837438616.1,110746097545.1,119745011480.2,122872063272.1,127337638437.9,136785497115.3,140323088539,148141439060,151610195680.3,149048308644.9,161969139653.2
MOTORS,21930723101.7,21948392547,21251930453,21183765980.2,21355700423.8,21772175253.4,26027563979.7,26054504889.1,26562012566.2,26723345235.1,26064991168.2,25974388336.1
OIL PALMS,93648692538.7,87550581517,101475304417.4,104882247410,113220739190.7,120882458291.1,125056131290,122492580854,121652615130.7,117349168470,124883613402.3,118928129340
POWER & ENERGY,42569048699.5,41960778226.5,41826343779.8,45278099921.4,45362466195,41857548183.6,43609094711.7,47237121500.9,49198929520.8,54262859213.7,56363603471.7,58746844520.9
PLANTATIONS,24639281037.7,23465629020.8,23382216767.2,24061334563,24083778244.8,24708582014.7,26591764113.1,27400050569.6,27060750412.1,28741770765.2,25892871841.4,26867783178.8
STORES & SUPPLIES,4813747647.4,4540655375,4567828570,4724982517.1,4712063544.5,4796953603.1,5174802579.4,5473464648.2,5567867820,5684798905,5702877626.4,5787388292.5
SERVICES,6690946679,6264920563.6,6311769252,6643768742,6805353964.6,6587886425,7141418376,7917805305,7961450315,7990272237,7481109994,7753097179.9
TELECOMMUNICATION,140800151326,154878059326,156498051645,162731391166.5,167437172209.5,172142953252.5,185595732774,189755674136,187325685657.5,191494390381.5,191599969265,198374766786.5
TRADING,22369284337.2,21748237312.6,22072166443.4,22625913415.8,22511201097.6,22600400534,24198280532,24953891012.4,26009533381.4,26690367294,26696850700,27111797503
ASPI,2608268652139.7,2480830229415.3,2498004675505.6,2606262254715.2,2623332240506.8,2673022650195.8,2856865733547,2952424112859.7,3066347184542.8,3109555413271.5,3039196629817.2,3104863874923.2
S&P,1369962035594.1,1274118448981.5,1281131799741,1330809703700.3,1333824855880.1,1356865658167.5,1454354354041.6,1492826787138.9,1524576375122.2,1538229783801.2,1499624071092.5,1609273704745.9
