Market Capitalisation of Listed Companies as at 31st December 2010,,,,
COMPANY CODE,NAME,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
RAL,RENUKA AGRI,401250000,6.7,2688375000
VLL,VIDULLANKA,432877600,6.2,2683841120
CHL,DURDANS,25527272,102,2603781744
PCH,PC HOUSE,228933334,11.3,2586946674.2
RENU,RENUKA CITY HOT.,7000000,343.1,2401700000
PHAR,COL PHARMACY,1272857,1825,2322964025
CLPL,CEYLON LEATHER,25000000,92.6,2315000000
SIRA,SIERRA  CABL,537512430,4.3,2311303449
KCAB,KELANI CABLES,21800000,105,2289000000
RHTL,FORTRESS RESORTS,110886684,20.6,2284265690.4
EQIT,EQUITY,40321730,56,2258016880
KAHA,KAHAWATTE,79889805,28,2236914540
TAFL,THREE ACRE FARMS,23545000,90.2,2123759000
COLO,COLONIAL MTR,9124318,229.9,2097680708.2
CDB,CDB,39685048,52.5,2083465020
PEG,PEGASUS HOTELS,27352385,74.6,2040487921
TWOD,TOUCHWOOD,71270400,28.3,2016952320
REEF,CITRUS LEISURE,47191953,42.7,2015096393.1
CARE,PRINTCARE PLC,17193334,117.1,2013339411.4
ELPL,ELPITIYA,72866428,27,1967393556
STAF,DOLPHIN HOTELS,31621477,61.2,1935234392.4
CHMX,CHEMANEX,15750000,122.3,1926225000
CFVF,FIRST CAPITAL,101250000,19,1923750000
TANG,TANGERINE,20000000,95.7,1914000000
SUGA,PELWATTE,67976891,27.4,1862566813.4
MAL,MALWATTE,22459016,82.4,1850622918.4
PALM,CONFIFI HOTEL,7200000,243.1,1750320000
VFIN,VALLIBEL FINANCE,20775300,83.1,1726427430
BOPL,BOGAWANTALAWA,83750000,20.4,1708500000
NEH,NUWARA ELIYA,2003870,850,1703289500
HPFL,HYDRO POWER,109088112,15.5,1690865736
MRH,MAHAWELI REACH,47066447,35,1647325645
AGAL,AGALAWATTE,25000000,63,1575000000
MGT,HAYLEYS - MGT,49177492,32,1573679744
SEMB,S M B LEASING,826486514,1.9,1570324376.6
LVEN,LANKA VENTURES,50000000,31.3,1565000000
ATL,AMANA,500000360,3,1500001080
CSEC,DUNAMIS CAPITAL,98397640,15.2,1495644128
BHR,RIVERINA HOTELS,14181699,105.3,1493332904.7
MARA,MARAWILA RESORTS,98000000,14.8,1450400000
SHOT,SERENDIB HOTELS,12082358,119.7,1446258252.6
COCO,COCO LANKA,21600000,64.4,1391040000
CTLD,C T LAND,48750000,28,1365000000
BALA,BALANGODA,23636363,57.4,1356727236.2
LAMB,KOTMALE HOLDINGS,31400000,43.2,1356480000
ALLI,ALLIANCE,1620000,799.9,1295838000
CSD,SEYLAN DEVTS,73982430,16.8,1242904824
CABO,CARGO BOAT,10200036,118.1,1204624251.6
CRL,SOFTLOGIC FIN,26752822,44.6,1193175861.2
SMOT,SATHOSA MOTORS,6033622,190,1146388180
KFP,KEELLS FOOD,8500000,133,1130500000
RWSL,RAIGAM SALTERNS,282207320,4,1128829280
CIT,CIT,5500000,205,1127500000
ABAN,ABANS,4258800,260,1107288000
PMB,PEOPLE'S MERCH,37500000,29.4,1102500000
TPL,TALAWAKELLE,23750000,46.4,1102000000
CFT,CFT,140196000,7.7,1079509200
SHAW,SHAW WALLACE,5120546,210,1075314660
SIGV,SIGIRIYA VILLAGE,9000000,118.7,1068300000
EMER,EASTERN MERCHANT,1677800,599,1005002200
CFI,CFI,5000000,200,1000000000
MORI,MORISONS,580829,1600,929326400
HARI,HARISCHANDRA,959800,950,911810000
UDPL,UDAPUSSELLAWA,19398850,47,911745950
HOPL,HORANA,25000000,36.4,910000000
CIND,CENTRAL IND.,9884214,90,889579260
ONAL,ON'ALLY,14000616,60,840036960
ETWO,EQUITY TWO PLC,31000000,24.3,753300000
KURU,KURUWITA TEXTILE,25000000,30,750000000
MASK,MASKELIYA,26976744,27.8,749953483.2
BBH,BROWNS BEACH,9600000,78,748800000
TFC,THE FINANCE CO.,17966232,38.9,698886424.8
CSF,NATION LANKA,39972100,17.3,691517330
MPRH,MET. RES. HOL.,17264802,39.5,681959679
APLA,ACL PLASTICS,4212500,160,674000000
COMD,COMMERCIAL DEV.,12000000,54,648000000
ASCO,ASCOT HOLDINGS,7985505,81.1,647624455.5
WAPO,WATAPOTA,671008,900,603907200
REG,REGNIS,4829084,124.5,601220958
PARQ,PARQUET,27372000,21.1,577549200
SINI,SINGER IND.,3846300,144,553867200
MSL,MERC. SHIPPING,2844990,185,526323150
CTBL,CEYLON TEA BRKRS,114000000,4.6,524400000
ACME,ACME,25613280,20.4,522510912
MULL,MULLERS,283000000,1.8,509400000
MADU,MADULSIMA,29000000,17.5,507500000
SWAD,SWADESHI,130666,3800,496530800
HUNA,HUNAS FALLS,5625000,87.8,493875000
ARPI,ARPICO,4462500,110,490875000
LALU,LANKA ALUMINIUM,13702823,35.7,489190781.1
TESS,TESS AGRO,180000000,2.7,486000000
AUTO,AUTODROME,1200000,405,486000000
SFL,SINHAPUTHRA FIN,6295893,76,478487868
HSIG,HOTEL SIGIRIYA,5859000,79.4,465204600
SOY,CONVENIENCE FOOD,2750000,165,453750000
EAST,EAST WEST,34560000,12.9,445824000
UCAR,UNION CHEMICALS,1500000,291.1,436650000
ECL,E - CHANNELLING,17447345,22,383841590
LPRT,LAKE HOUSE PRIN.,2937245,126.5,371561492.5
SIL,SAMSON INTERNAT.,3847974,94.5,363633543
MIRA,MIRAMAR,2750000,130,357500000
BLUE,BLUE DIAMONDS,103300891,3.4,351223029.4
HEXP,HAYLEYS EXPORTS,8000000,41,328000000
LITE,LAXAPANA,39000000,8.2,319800000
REXP,RICH PIERIS EXP,11163745,26.5,295839242.5
YORK,YORK ARCADE,12000000,24.1,289200000
CHOU,CITY HOUSING,13379850,20.8,278300880
KDL,KELSEY,17429274,15,261439110
SING,SINGALANKA,1385207,185,256263295
ASPH,INDUSTRIAL ASPH.,666562,349,232630138
GEST,GESTETNER,2278125,99.6,226901250
LDEV,LANKEM DEV.,6900000,31.8,219420000
SLND,SERENDIB LAND,360000,600,216000000
IDL,INFRASTRUCTURE,4857487,37.5,182155762.5
ALUF,ALUFAB,4019400,43,172834200
BINN,BERUWELA WALKINN,900000,130,117000000
HUEJ,HUEJAY,1800000,61.1,109980000
RGEM,RADIANT GEMS,2400000,35,84000000
VANI,VANIK INCORP LTD,65481650,0.8,52385320
KZOO,KALAMAZOO,50000,1000,50000000
PARA,PARAGON,100028,300,30008400
FERN,FERNTEA LTD,6000000,3.5,21000000
OFEQ,OFFICE EQUIPMENT,83356,80.25,6689319
CPRT,CEYLON PRINTERS,35010,100,3501000
