SCRIP DIVIDEND PERIOD OF 01ST JANUARY TO 31ST DECEMBER 2013,,,,,,,
No. ,Date of Announcement ,Company Name ,Allotment Date,New Proportion,Old Proportion,No. of shares listed ,Date listed 
1,2012-08-22 00:00:00,Chilaw Finance PLC ,08-Jan-2013 ,1,17.7777786218,1579722,2013-01-21 00:00:00
2,2013-02-27 00:00:00,Commercial Bank of Ceylon PLC - Voting,2013-04-01 00:00:00,1,59.722222,13076189,2013-04-09 00:00:00
,,                                                                  - Non-voting,,1, 50.00,1069474,2013-04-09 00:00:00
3,26-Feb-2013 ,Seylan Bank PLC - Voting,2013-04-01 00:00:00,1,65.5555555556 ,2644068,2013-04-09 00:00:00
,,                                 - Non-voting,,1, 38.8888888889,4236343,2013-04-09 00:00:00
4,15-Feb-2013 ,Sampath Bank PLC,2013-04-05 00:00:00,1,33.12464926213,4916007,2013-04-16 00:00:00
5,2013-09-09 00:00:00,Taprobane Holdings PLC ,2013-09-26 00:00:00,1,21,34902340,2013-10-09 00:00:00
