Sector Domestic & Foreign Analysis - 2015,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,397714,23238,1755978101,346300679,61072185345,28710559787
BEV FOOD TOBACCO,74488,4916,226827401,60842617,9619177325,9593556317
CONSTRUCTION ENG,55492,4246,213794626,63951592,6105919196,1632714902
CHEMICALS PHARMS,19080,351,133467687,1597392,2051948749,123725236
DIVERSIFIED,183739,19327,1729978210,271351731,29779925230,25576775713
FOOTWEAR TEXTILE,24701,318,144898436,1999455,2875804993,40532823
HOTELS TRAVELS,77054,1597,366964649,21168549,3568247192,180412853
HEALTH CARE,21132,1095,106627633,366899707,2225811305,8825498492
INVESTMENT TRUST,38018,859,91241707,20559378,2574179870,619935637
IT,5726,211,80937173,1935164,79687714,9435219
LAND PROPERTY,44445,1540,143815642,28112018,2412690227,326418063
MANUFACTURING,283392,9804,1320491791,191710791,27240474331,6576203157
MOTORS,10165,338,7607211,2749037,954338986,279384257
OIL PALMS,2097,195,114170,27274,85386579,25536675
POWER & ENERGY,87544,4037,803460012,72176606,9222936747,1935619388
PLANTATIONS,29664,590,55554843,6966835,877237829,103064862
STORES SUPPLIES,7990,192,810581,25001,174411028,10485856
SERVICES,11702,47,103697157,497028,476195823,6111222
TELECOM,14715,1914,206567468,266670659,2387251225,3020579805
TRADING,41729,510,193281940,1977222,1807907652,48485116
