Sector Ratios - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO,DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"BANKS, FINANCE & INSURANCE",,,,2.7,11.4,1.5,2.6,11.6,1.5,2.3,13.6,1.7,2.2,14,1.8,2,14.4,1.9,,,,1.4,15.5,2.2,1.4,21,3.1,1.4,20.1,3,1.5,19,2.9,1.5,19.4,2.9
"BEVERAGE, FOOD & TOBACCO",,,,3.5,17.9,3.5,3.4,18.2,3.5,2.9,21.1,4.1,2.8,22.4,4.4,2.7,21.3,4.2,,,,2.2,20.1,4.9,1.8,22.3,5.3,1.9,21.8,5.1,1.8,21.5,5.1,1.8,22.1,5.2
CHEMICALS & PHARMACEUTICALS,,,,3.1,11.7,1.4,3.2,11.4,1.3,2.8,12.8,1.5,2.8,12.7,1.5,2.7,13,1.5,,,,2.2,12.3,1.8,1.6,14.8,2.3,1.8,13.4,2.1,1.9,12.8,2,1.7,13.8,2.2
CONSTRUCTION & ENGINEERING,,,,2.2,15.7,5.1,2.5,14,4.5,2.4,14.7,4.7,2.6,13.7,4.4,2.5,9.7,3.3,,,,2.8,8.9,3.1,2.6,10.2,3.4,2.5,10.5,3.6,2.5,10.1,3.4,2.5,13.1,4.4
DIVERSIFIED HOLDINGS,,,,1.1,24.3,2.3,1.1,24.9,2.3,1,26.7,2.5,1,27,2.5,1,29.6,2.7,,,,0.8,27.9,3.1,0.6,35.5,4,0.7,32.1,3.5,0.7,31.2,3.4,0.7,31.3,3.4
FOOTWEAR & TEXTILES,,,,12.7,10.6,0.7,12.9,10.2,0.6,11.5,12.2,0.8,11.6,13.7,0.9,10.4,16.3,1,,,,12.5,28.3,1.8,8.9,28.1,2.1,0,22,1.6,0,21.6,1.6,0,23.3,1.7
HEALTH CARE,,,,1.5,63.4,2.2,1.6,60.7,2.1,1.6,63.6,2.3,1.6,65.8,2.3,1.7,70.2,2.5,,,,1.7,59.8,2.6,0.9,33.4,2.4,1,31.1,2.2,1,30.9,2.2,1,30.6,2.2
HOTELS & TRAVELS,,,,1.4,90,2.3,1.3,91.3,2.4,1.2,107.4,2.8,1.2,104.4,2.7,1.1,105.3,2.7,,,,0.9,114.9,3.2,0.8,110.1,3.3,0.8,106.2,3.2,0.8,100.9,3,0.8,103.8,3.1
INVESTMENT TRUSTS,,,,1.9,46.6,4.2,1.9,35.4,3.2,1.7,37.3,3.3,1.7,32.9,2.9,2.3,12.6,2.1,,,,1.5,21.3,3.6,1.1,25.5,3.6,1.1,25.1,3.5,1.2,23.6,3.3,1.2,24.1,3.4
