Sub Division / Share Splits 2015,,,,,,
Date of Announcement,COMPANY ID,COMPANY NAME,SECURITY,OLD PROPORTION,NEW PROPORTION,EFFECTIVE DATE
2014-10-30 00:00:00,IDL,Serendib Engineering Group PLC,IDL-N-0000,1,5,2015-01-19 00:00:00
2015-03-27 00:00:00,SFL,Sinhaputra Finance PLC ,SFL-N-0000,1,10,2015-05-21 00:00:00
2015-03-27 00:00:00,SFL,Sinhaputra Finance PLC ,SFL-P-0000,1,10,2015-05-21 00:00:00
2015-05-25 00:00:00,JKH,John Keells Holdings PLC ,JKH-N-0000,7,8,2015-07-03 00:00:00
2015-05-25 00:00:00,JKH,John Keells Holdings PLC (W0022),JKH-W-0022,7,8,2015-07-03 00:00:00
2015-05-25 00:00:00,JKH,John Keells Holdings PLC (W0023),JKH-W-0023,7,8,2015-07-03 00:00:00
2015-05-20 00:00:00,LFIN,LB Finance PLC,LFIN-N-0000,1,2,2015-07-14 00:00:00
2015-05-22 00:00:00,AAIC,Asian Alliance Insurance PLC,AAIC-N-0000,1,10,2015-07-24 00:00:00
2015-09-17 00:00:00,BLI,Bimputh Finance PLC,BLI-N-0000,1,2,2015-11-11 00:00:00
