,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
"Food, Beverage & Tobacco",3.9,15.71,2.33,4,15.28,2.27,4.8,12.8,1.9,,,,4.6,13.28,1.97,4.5,13.54,2.01,4.4,13.95,2.07,4,11.32,2.02,3.6,13.36,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,12.58,2.2,3.6,13.45,2.35,3.2,14.42,2.57
Health Care Equipment & Services,3.8,16.44,1.67,4,15.73,1.6,4.8,13.24,1.34,,,,4.3,14.8,1.5,4.2,16.76,1.52,4.1,16.87,1.53,4.3,19.83,1.62,3.9,24.78,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,27.31,1.93,3.4,28.43,2.01,2.6,31.62,2.62
Household & Personal Products,2.2,14.58,1.86,2.3,13.6,1.74,2.8,11.19,1.43,,,,2.6,12.09,1.54,2.5,12.7,1.62,2.4,13.23,1.69,2.2,14.2,1.81,2,12.92,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,12.06,1.85,2,12.86,1.97,1.7,14.97,2.29
Insurance,4.2,2.96,0.9,4.2,2.97,0.9,4.9,2.54,0.77,,,,4.8,2.62,0.8,4.3,2.92,0.89,4.6,2.74,0.83,1.9,3.42,0.82,3.8,3.57,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3.39,0.83,3.8,3.53,0.86,3.6,3.79,0.92
Materials,5.4,12.71,1.04,6,11.42,0.93,8.1,8.49,0.69,,,,6.8,10.21,0.84,5.9,11.74,0.96,5.2,13.2,1.08,4.2,12.22,1.17,3.3,14.75,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,17.14,1.61,2.4,19.99,1.88,2.1,21.33,2.07
"Pharmaceuticals, Biotechnology & Life Sciences",0,16.5,1.5,0,16.5,1.5,0,16.5,1.5,,,,0,16.5,1.5,0,16.5,1.5,0,16.5,1.5,0,19.88,1.49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Estate,4,7.66,0.71,4.4,7.09,0.66,4.7,6.59,0.61,,,,4.4,6.97,0.64,4.5,6.89,0.64,4.3,7.21,0.67,3.6,5.33,0.65,6,5.38,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,4.87,0.59,6.4,5.04,0.61,5.9,5.03,0.65
Retailing,3.7,18.49,0.53,4,17.05,0.49,5,13.73,0.4,,,,4.3,15.75,0.45,4.3,15.78,0.46,4.1,16.7,0.48,3.3,23.36,0.5,2.5,33.38,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,32.31,0.6,2.3,37.68,0.7,2,49.16,0.77
Telecommunication Services,5.3,7.77,1.08,5.6,7.38,1.03,7.7,5.4,0.75,,,,6.3,6.61,0.92,5.7,7.27,1.01,5.9,7.08,0.98,3.2,7.39,0.99,3.3,7.54,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,7.19,0.98,3.2,7.81,1.07,3,8.1,1.11
Transportation,3,7.74,0.81,3.9,6.02,0.63,7.3,3.22,0.34,,,,5.6,4.15,0.44,4.6,5.09,0.53,3.9,6.02,0.63,2.9,8.58,0.9,1.3,18.84,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,29.59,3.09,0.6,44.24,4.62,0.5,49.3,5.14
Utilities,5.4,7.16,2.27,5.6,6.84,2.17,7.1,5.41,1.72,,,,6.2,6.19,1.96,5.6,6.86,2.17,5.4,7.16,2.27,6.2,8.75,1.66,5.2,10.38,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,10.21,1.94,4.9,11.16,2.12,4.7,10.73,2.15
** BASED ON DIVIDEND PAYING COMPANIES OF THE SECTOR.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
