Dividend Record 1994,,,,,,,,
Company Name,,,XD Date,Date of Payment,Rate,,Cum Price,Ex Price
CFT,Nt0000,CFT,1993-12-10 00:00:00,1994-01-08 00:00:00,25,FIRST & FINAL,42.25,44.5
CTC,Nt0000,CEYLON TOBACCO,1993-12-23 00:00:00,1994-01-17 00:00:00,3.65,2ND INTERIM,37,37
MLL,Nt0000,MLL,1993-12-31 00:00:00,1994-01-17 00:00:00,10,INTERIM,58,57
HNB,Nt0000,HNB,1994-01-05 00:00:00,1994-02-03 00:00:00,15,INTERIM,380,376.25
ITH,Nt0000,INT. TOURISTS,1994-01-13 00:00:00,1994-02-07 00:00:00,10,1ST INTERIM,39,40
WALK,Nt0000,WALKERS TOURS,1994-01-13 00:00:00,1994-02-09 00:00:00,10,1ST INTERIM,85,85
JKL,Nt0000,JOHN KEELLS,1994-01-18 00:00:00,1994-02-11 00:00:00,10,1ST INTERIM,70.5,70
JKH,Nt0000,JKH,1994-01-19 00:00:00,1994-02-14 00:00:00,10,1ST INTERIM,425,360
HINN,Nt0000,HABARANA WALKINN,1994-01-21 00:00:00,1994-02-16 00:00:00,10,1ST INTERIM,60,59.75
KINN,Nt0000,KANDY WALK INN,1994-01-24 00:00:00,1994-02-18 00:00:00,10,1ST INTERIM,100.5,100
AHUN,Nt0000,A.SPEN.HOT.HOLD.,1994-01-28 00:00:00,1994-02-21 00:00:00,27.5,INTERIM (T.F.),160,160
HLOG,Nt0000,HABARANA LODGE,1994-01-28 00:00:00,1994-02-21 00:00:00,10,1ST INTERIM,91,91
ASPH,Nt0000,INDUSTRIAL ASPH.,1994-02-01 00:00:00,1994-02-21 00:00:00,5,INTERIM,105,105
LOLC,Nt0000,LOLC,1994-01-28 00:00:00,1994-02-22 00:00:00,15,INTERIM,312,320
CHMX,Nt0000,CHEMANEX,1994-02-08 00:00:00,1994-02-24 00:00:00,8,INTERIM (4% T.F.),73.5,88.25
CIC,Nt0000,CIC,1994-02-02 00:00:00,1994-02-24 00:00:00,15,INTERIM  (4.3% T.F.),125,123
HAYL,Nt0000,HAYLEYS,1994-02-11 00:00:00,1994-03-02 00:00:00,18,INTERIM (T.F.),315,305
PDL,Nt0000,PDL,1994-03-03 00:00:00,1994-03-22 00:00:00,9,INTERIM,24,26
COMD,Nt0000,COMMERCIAL DEV.,1994-03-14 00:00:00,1994-03-24 00:00:00,14,INTERIM (T.F.),38,36
CTCE,Nt0000,EAGLE INSURANCE,1994-03-04 00:00:00,1994-03-28 00:00:00,15,1ST & FINAL,160,150
HSIG,Nt0000,HOTEL SIGIRIYA,1994-03-03 00:00:00,1994-03-28 00:00:00,15,INTERIM,60,61
SPEN,Nt0000,AITKEN SPENCE,1994-03-08 00:00:00,1994-03-29 00:00:00,15,INTERIM (T.F.),620,619
CTC,Nt0000,CEYLON TOBACCO,1994-03-10 00:00:00,1994-03-31 00:00:00,8.6,3RD & FINAL,51,53
LPRT,Nt0000,LAKE HOUSE PRIN.,1994-03-17 00:00:00,1994-04-04 00:00:00,5,INTERIM,26,27.25
COMB,Nt0000,COMMERCIAL BANK,1994-03-15 00:00:00,1994-04-07 00:00:00,18,FINAL,450,440
HNB,Nt0000,HNB,1994-03-09 00:00:00,1994-04-07 00:00:00,15,FINAL,608.25,600
REEF,Nt0000,REEFCOMBER,1994-03-14 00:00:00,1994-04-08 00:00:00,15,INTERIM,71,73.75
UML,Nt0000,UNITED MOTORS,1994-03-23 00:00:00,1994-04-11 00:00:00,7.5,INTERIM,67,66
NDB,Nt0000,NAT. DEV. BANK,1994-03-25 00:00:00,1994-04-12 00:00:00,35,FIRST & FINAL,450,443
GRAN,Nt0000,GRAIN ELEVATORS,1994-03-15 00:00:00,1994-04-19 00:00:00,16,2ND & FINAL (T.F.),180.25,178
JFIN,Nt0000,JAMES FINLAY,1994-03-24 00:00:00,1994-04-21 00:00:00,10,FINAL,146,139.75
BUKI,Nt0000,BUKIT DARAH,1994-04-01 00:00:00,1994-04-22 00:00:00,4.57,1ST INTERIM (4.56% T.F.),395,395
GOOD,Nt0000,GOOD HOPE,1994-04-01 00:00:00,1994-04-22 00:00:00,39.45,FIRST INTERIM (31.43% T.F.),320,295
