,,Rights Issues 2025 (January to December),,,,,,,,
No.,Date of Initial Announcement,Name,Date of P/Allotment ,No. of shares provisionally allotted,Consideration per share(Rs.),Final allotment of shares (No.),Amount to be raised (Rs.),Amount raised (Rs.),Propotion ,Date listed 
1,2019-01-07 00:00:00,HNB Finance PLC (Voting),2025-02-27 00:00:00,296120963,3.4,296120963,1006811274.2,1006811274.2,5:24,2025-04-01 00:00:00
,2020-01-06 00:00:00,HNB Finance PLC (Non - Voting) ,2025-02-27 00:00:00,62125000,3,62125000,186375000,186375000,5:24,2025-04-01 00:00:00
2,2020-01-19 00:00:00,Lankem Development PLC,2025-03-18 00:00:00,40000000,15,40000000,600000000,600000000,1:3,2025-05-02 00:00:00
3,,Kotagala Plantation PLC,2025-09-18 00:00:00,84628125,9,84628125,761653125,761653125,1:4,2025-10-31 00:00:00
4,,Singer Finance Lanka PLC ,2025-09-02 00:00:00,75777778,26.5,75777778,2008111117,2008111117,6:16,2025-10-14 00:00:00
5,,Lankem Ceylon PLC,2025-10-17 00:00:00,17156919,70,17156919,1200984330,1200984330,1:3,2025-12-01 00:00:00
6,,E B Creasy & Company PLC,2025-11-13 00:00:00,25354580,60,25354580,1521274800,1521274800,1:10,2025-12-23 00:00:00
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
,,,,,,,,7285209646.2,,
