SCRIP DIVIDENDS 2023 (JANUARY TO DECEMBER),,,,,,,
No.,Date of Announcement ,Company Name ,Allotment Date,Old Proportion,New Proportion,No. of shares listed ,Date listed 
1,,DFCC Bank PLC ,2023-02-28 00:00:00,20.8823538777,1,19282599,2023-03-17 00:00:00
2,,Commercial Bank of Ceylon PLC - Voting,2023-03-31 00:00:00,16.9934641119,1,68687375,2023-04-19 00:00:00
,,Commercial Bank of Ceylon PLC - Non-Voting,2023-03-31 00:00:00,14.3529417933,1,5054128,2023-04-19 00:00:00
3,,Hatton National Bank PLC - Voting,2023-03-31 00:00:00,23.5294128792,1,18208826,2023-04-18 00:00:00
,,Hatton National Bank PLC - Non-Voting,2023-03-31 00:00:00,17.9294146969,1,5974119,2023-04-18 00:00:00
4,,Nations Trust Bank PLC - Voting,2023-03-09 00:00:00,16.46076,1,15818221,2023-03-23 00:00:00
,,Nations Trust Bank PLC - Non - Voting,2023-03-09 00:00:00,17.63653,1,2327172,2023-03-23 00:00:00
5,,Sampath Bank PLC,2023-03-31 00:00:00,40.3989773996,1,28326805,2023-04-18 00:00:00
6,,Seylan Bank PLC - Voting,2023-03-31 00:00:00,20.1764708485,1,14011606,2023-04-19 00:00:00
,,Seylan Bank PLC - Non - Voting,2023-03-31 00:00:00,12.4705881682,1,23661379,2023-04-19 00:00:00
7,,National Development Bank PLC - Voting ,2023-05-03 00:00:00,19.6232207723,1,19369640,2023-05-18 00:00:00
8,,Sampath Bank PLC,2023-03-31 00:00:00,40.3989773996,1,28326805,2023-04-18 00:00:00
9,,Seylan Bank PLC - Voting,2023-03-31 00:00:00,20.1764708485,1,14011606,2023-04-19 00:00:00
10,,Seylan Bank PLC - Non - Voting,2023-03-31 00:00:00,12.4705881682,1,23661379,2023-04-19 00:00:00
11,,National Development Bank PLC - Voting ,2023-05-03 00:00:00,19.6232207723,1,19369640,2023-05-18 00:00:00
12,,Colombo Fort Investments- Voting,2023-06-23 00:00:00,48.6667476825,1,176920,2023-07-10 00:00:00
13,,Colombo Investments Trust- Voting,2023-06-23 00:00:00,83.2506410865,1,84232,2023-07-10 00:00:00
14,,Amana Bank PLC,2023-07-04 00:00:00,23.5294118079,1,118317854,2023-07-18 00:00:00
15,,Central Industries PLC,2023-07-04 00:00:00,32.15687,1,728703,2023-07-17 00:00:00
16,,Renuka Foods PLC - Voting,2023-09-08 00:00:00,57.7262783454,1,2043439,2023-09-21 00:00:00
17,,Renuka Foods PLC- Non Voting,2023-09-08 00:00:00,48.7804878049,1,97854,2023-09-21 00:00:00
17,,Shaw Wallace Investments PLC,2023-09-08 00:00:00,51.3966745714,1,3468218,2023-09-21 00:00:00
18,,Renuka Agri Foods PLC,2023-09-08 00:00:00,63.5294117647,1,8842361,2023-09-21 00:00:00
19,,Renuka Holdings PLC- Voting,2023-09-08 00:00:00,40.25,1,4011837,2023-09-21 00:00:00
20,,Renuka Holdings PLC- Non Voting,2023-09-08 00:00:00,30.25,1,774455,2023-09-21 00:00:00
21,,Galle Face Capital Partners PLC,2023-09-08 00:00:00,23.1544572785,1,1115716,2023-09-21 00:00:00
