Dividend Records - 2003,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
ABAN-N-0,20% FIRST AND FINAL DI,2003-10-06 00:00:00,2003-10-27 00:00:00,2003-11-06 00:00:00,52,52
ACL-N-00,8.25% INTERIM,2003-02-19 00:00:00,2003-03-10 00:00:00,2003-03-21 00:00:00,37.5,35.5
AEC-N-00,15% INTERIM,2003-06-25 00:00:00,2003-07-09 00:00:00,2003-07-21 00:00:00,75,75
AEC-N-00,15% FINAL DIVIDEND,2003-10-01 00:00:00,2003-12-16 00:00:00,2003-12-29 00:00:00,110,
AHUN-N-0,10% INTERIM DIVIDEND,2003-06-02 00:00:00,2003-06-18 00:00:00,2003-06-30 00:00:00,59.75,62
ALLI-N-0,03  12.5 % FIRST & FINAL,2003-09-19 00:00:00,2003-10-08 00:00:00,2003-10-28 00:00:00,75,80
AMW-N-00,10% INTERIM DIVIDEND,2003-06-20 00:00:00,2003-07-08 00:00:00,2003-07-18 00:00:00,104,103
AMW-N-00,15% FINAL,2003-09-23 00:00:00,2003-12-15 00:00:00,2003-12-26 00:00:00,75,72
APDL-N-0,15% FIRST AND FINAL DI,2003-08-14 00:00:00,2003-10-14 00:00:00,2003-10-27 00:00:00,17,15.5
APLA-N-0,5% INTERIM,2003-10-22 00:00:00,2003-11-10 00:00:00,2003-11-20 00:00:00,30,20.5
ASHA-N-0,7% INTERIM DIVIDEND,2003-02-14 00:00:00,2003-03-03 00:00:00,2003-03-13 00:00:00,17,17.75
ASHA-N-0,3% FINAL,2003-09-05 00:00:00,2003-09-24 00:00:00,2003-10-06 00:00:00,14.25,17
ASIR-N-0,7.5 % INTERIM DIVIDEND,2003-06-26 00:00:00,2003-07-11 00:00:00,2003-07-23 00:00:00,23.25,22.5
ASIR-N-0,10% FINAL,2003-11-25 00:00:00,2003-12-18 00:00:00,2003-12-31 00:00:00,27.75,28
ASPH-N-0,30% FIRST AND FINAL,2003-10-27 00:00:00,2003-11-07 00:00:00,2003-11-19 00:00:00,75,
AUTO-N-0,12.5% INTERIM DIVIDEND,2003-06-23 00:00:00,2003-06-25 00:00:00,2003-07-07 00:00:00,350,400
BHR-N-00,10% FINAL,2003-08-21 00:00:00,2003-09-17 00:00:00,2003-10-13 00:00:00,46,43
