,,,,DIVIDEND ANNOUNCEMENTS 2017 ,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,RATE OF DIVIDEND,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX_PRICE
2017-05-18 00:00:00, ALUM-N-0000, ALUMEX PLC,0.5, Rs. 0.50 per share (Liable to 10% dividend tax) / Second Interim Dividend  Financial Year: - 2016/2017 , 29-MAY-17, 06-JUN-17,24,23.5
2017-05-19 00:00:00, HEXP-N-0000, HAYLEYS FIBRE,2, Rs. 2.00 per share (Not Liable to 10% dividend tax) / Second Interim Dividend  Financial Year: - 2016/2017 , 30-MAY-17, 09-JUN-17,84.9,84.6
2017-05-22 00:00:00, HAYL-N-0000, HAYLEYS,7.5, Rs. 7.50 per share (Not liable to 10% dividend tax) / Interim Dividend  Financial Year:- 2016/2017 , 31-MAY-17, 09-JUN-17,290.9,287
2017-05-23 00:00:00, RCL-N-0000, ROYAL CERAMIC,4, Rs. 4.00 per share / Final Dividend  Financial Year:- 2016/2017 , 03-JUL-17, 11-JUL-17,133.4,128
2017-05-24 00:00:00, TSML-N-0000, TEA SMALLHOLDER,1.7, Rs. 1.70 per share / First and Final Dividend  Financial Year:- 2016/2017 , 02-JUN-17, 14-JUN-17,35,35
2017-05-24 00:00:00, WATA-N-0000, WATAWALA,0.85,  Rs. 0.85 per share / Final Dividend  Financial Year: - 2016/2017, 30-JUN-17, 10-JUL-17,32,31.8
2017-05-24 00:00:00, JKL-N-0000, JOHN KEELLS,2, Rs. 2.00 per share / First and Final Dividend  Financial Year:- 2016/2017 , 02-JUN-17, 14-JUN-17,66.9,65.2
2017-05-24 00:00:00, TRAN-N-0000, TRANS ASIA,1.5, Rs. 1.50 per share / Final Dividend  Financial Year:- 2016/2017 , 02-JUN-17, 14-JUN-17,89.9,87.2
2017-05-25 00:00:00, PLC-N-0000, PEOPLES LEASING,0.5, Rs. 0. 50 per share / Final Dividend  Financial Year:- 2016/2017 , 03-JUL-17, 11-JUL-17,18,17.9
2017-05-25 00:00:00, TPL-N-0000, TALAWAKELLE,1, Rs. 1.00 per share (78 cents per share - liable to 10% Dividend tax, 05-JUN-17, 14-JUN-17,47.4,46.6
2017-05-26 00:00:00, HSIG-N-0000, HOTEL SIGIRIYA,2, Rs. 2.00 per share / Final Dividend  Financial Year:- 2016/2017 , 28-JUN-17, 06-JUL-17,85,84.3
2017-05-26 00:00:00, AHPL-N-0000, AHOT PROPERTIES,2, Rs. 2. 00 per share / Final Dividend  Financial Year:- 2016/2017, 06-JUN-17, 16-JUN-17,58.1,59
2017-05-26 00:00:00, AHUN-N-0000, A.SPEN.HOT.HOLD.,0.25, Rs. 0.25 per share / Final Dividend  Financial Year:- 2016/2017, 03-JUL-17, 11-JUL-17,38,37.5
2017-05-26 00:00:00, JKH-N-0000, JKH,2, Rs. 2.00 per share / Final Dividend  Financial Year:- 2016/2017, 06-JUN-17, 16-JUN-17,170.9,169.5
2017-05-26 00:00:00, SPEN-N-0000, AITKEN SPENCE,0.5,  Rs. 0. 50 per share / Final Dividend  Financial Year:- 2016/2017, 03-JUL-17, 11-JUL-17,67.9,67.9
2017-05-29 00:00:00, CFIN-N-0000, CENTRAL FINANCE,0.85, Rs. 0.85 per share / Final Dividend  Financial Year: - 2016/2017 , 03-JUL-17, 05-JUL-17,91,90.2
2017-05-29 00:00:00, ASHO-N-0000, LANKA ASHOK,30, Rs. 30.00 per share / First & Final Dividend  Financial Year: - 2016/2017, 08-AUG-17, 16-AUG-17,1238.7,1114.1
2017-05-30 00:00:00, CWM-N-0000, C.W.MACKIE,3.5, Rs. 3.50 per share / First and Final Dividend  Financial Year:- 2016/2017 , 29-JUN-17, 07-JUL-17,55.7,53.9
2017-05-30 00:00:00, SIL-N-0000, SAMSON INTERNAT.,2, Rs. 2.00 per share / First and Final Dividend  Financial Year:- 2016/2017 , 09-JUN-17, 20-JUN-17,98.9,98.9
2017-05-31 00:00:00, LFIN-N-0000, LB FINANCE,3, Rs. 3.00 per share / Final Dividend  Financial Year:- 2016/2017 , 03-JUL-17, 11-JUL-17,135.1,135.1
2017-06-01 00:00:00, SUN-N-0000, SUNSHINE HOLDING,1.25, Rs. 1.25 per share / Final Dividend  Financial Year: - 2016/2017 , 30-JUN-17, 10-JUL-17,61.6,60.99
2017-06-01 00:00:00, RICH-N-0000, RICHARD PIERIS,0.5, Rs. 0.50 per share / First Dividend  Financial Year:- 2016/2017 , 03-JUL-17, 10-JUL-17,10.2,9.9
2017-06-01 00:00:00, CDB-X-0000, CDB,3.5, Rs. 3.50 per share (Voting & Non-Voting)/ First & Final Dividend  Financial Year: - 2016/2017 , 03-JUL-17, 11-JUL-17,63.9,60.5
2017-06-01 00:00:00, CDB-N-0000, CDB,3.5, Rs. 3.50 per share (Voting & Non-Voting)/ First & Final Dividend  Financial Year: - 2016/2017 , 03-JUL-17, 11-JUL-17,71.5,70
2017-06-02 00:00:00, VFIN-N-0000, VALLIBEL FINANCE,3, Rs. 3.00 per share / First and Final Dividend  Financial Year:- 2016/2017, 14-JUN-17, 23-JUN-17,70.9,68
2017-06-06 00:00:00, ALLI-N-0000, ALLIANCE,2.2, Rs. 2.20 per share / Final Dividend  Financial Year: - 2016/2017 , 03-JUL-17, 11-JUL-17,67.7,67
2017-06-07 00:00:00, RIL-N-0000, R I L PROPERTY ,0.1, Rs. 0.10 (10 cents) per share / Final Dividend  Financial Year: - 2016/2017 , 19-JUN-17, 29-JUN-17,8.3,8.3
2017-06-09 00:00:00, COCR-N-0000, COM.CREDIT,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2016/2017 , 03-JUL-17, 11-JUL-17,43,42.5
2017-06-12 00:00:00, SFCL-N-0000, SENKADAGALA,0.95, Rs. 0.95 (95 cents) per share / Final Dividend  Financial Year: - 2016/2017, 03-JUL-17, 11-JUL-17,90,90
2017-06-12 00:00:00, SFIN-N-0000, SINGER FINANCE,1.06, Rs. 1.06 per share / Final Dividend  Financial Year: - 2016/2017 , 21-JUN-17, 03-JUL-17,19.6,18.5
2017-06-14 00:00:00, LIOC-N-0000, LANKA IOC,1.25, Rs. 1.25 per share / First and Final Dividend  Financial Year:- 2016/2017 , 30-JUN-17, 10-JUL-17,31,30
2017-06-15 00:00:00, ASIY-N-0000, ASIA SIYAKA,0.1, Rs. 0.10 (10 cents) per share / Final Dividend  Financial Year:- 2016/2017 , 27-JUN-17, 06-JUL-17,2.5,2.4
2017-06-16 00:00:00, SHL-N-0000, SOFTLOGIC,0.65, Rs. 0.65 per share (Tax Free) / Final Dividend  Financial Year: - 2016/2017 , 28-JUN-17, 07-JUL-17,13.2,12.9
2017-06-19 00:00:00, BREW-N-0000, CEYLON BEVERAGE,1, Rs. 1.00 per share (Not subject to dividend tax) / First & Final Dividend  Financial Year: - 2016/2017, 21-JUL-17, 31-JUL-17,610,610
2017-06-21 00:00:00, HARI-N-0000, HARISCHANDRA,20, Rs. 20.00 per share / Interim Dividend  Financial Year: - 2016/2017, 03-JUL-17, 12-JUL-17,1617,1617
2017-06-21 00:00:00, GUAR-N-0000, CEYLON GUARDIAN,4, Rs. 4.00 (Would not be subject to a dividend tax of 10%) / First & Final Dividend  FY: - 2016/2017 , 27-JUL-17, 04-AUG-17,113,112.5
2017-06-21 00:00:00, SOY-N-0000, CONVENIENCE FOOD,4, Rs. 4.00 per share / First and Final Dividend  Financial Year:- 2016/2017 , 25-SEP-17, 03-OCT-17,330,330
2017-06-22 00:00:00, CIC-N-0000, CIC,1, Rs. 1.00 per share (Voting & Non-Voting) / Final Dividend  Financial Year: - 2016/2017 , 28-JUL-17, 08-AUG-17,77,76.6
2017-06-22 00:00:00, CIC-X-0000, CIC,1, Rs. 1.00 per share (Voting & Non-Voting) / Final Dividend  Financial Year: - 2016/2017 , 28-JUL-17, 08-AUG-17,55.7,56.2
2017-06-22 00:00:00, SMOT-N-0000, SATHOSA MOTORS,5, Rs. 5.00 per share / Final Dividend  Financial Year: - 2016/2017 , 04-JUL-17, 13-JUL-17,310.5,275.5
2017-06-27 00:00:00, VONE-N-0000, VALLIBEL ONE,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 06-JUL-17, 17-JUL-17,20,19.7
2017-06-28 00:00:00, TKYO-X-0000, TOKYO CEMENT,1.87,  Rs. 1.87 per share (Voting & Non-Voting) / First & Final Dividend  Financial Year: - 2016/2017 , 28-JUL-17, 08-AUG-17,66.5,67.9
2017-06-28 00:00:00, TKYO-N-0000, TOKYO CEMENT,1.87,  Rs. 1.87 per share (Voting & Non-Voting) / First & Final Dividend  Financial Year: - 2016/2017 , 28-JUL-17, 08-AUG-17,76,77
2017-06-29 00:00:00, TJL-N-0000, TEEJAY LANKA,1.25, Rs. 1.25 per share/ Final Dividend  Financial Year:- 2016/2017 , 31-AUG-17, 12-SEP-17,41.1,40.2
2017-06-30 00:00:00, CHMX-N-0000, CHEMANEX,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2016/2017 , 28-JUL-17, 08-AUG-17,62.1,63
2017-06-30 00:00:00, NHL-N-0000, NAWALOKA,0.1, Rs. 0.10 per share / Interim Dividend  Financial Year: - 2017/2018 , 11-JUL-17, 20-JUL-17,4.6,4.6
2017-06-30 00:00:00, BLI-N-0000, BIMPUTH FINANCE,1, Rs. 1.00 per share (Subject to a dividend tax of 10%) / Interim Dividend  Financial Year: - 2016/2017 , 11-JUL-17, 20-JUL-17,47.5,45.5
2017-06-30 00:00:00, MHDL-N-0000, MILLENNIUM HOUSE,0.35, Rs. 0.35 per share / First & Final Dividend  Financial Year: - 2016/2017 , 11-JUL-17, 20-JUL-17,9.2,9.1
2017-07-04 00:00:00, AAF-N-0000, ASIA ASSET,0.07, Rs. 0.07 per share / Final Dividend  Financial Year:- 2016/2017, 13-JUL-17, 24-JUL-17,1.6,1.6
2017-07-06 00:00:00, AINS-N-0000, ARPICO INSURANCE,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year:- 2017 , 17-JUL-17, 25-JUL-17,18,17.5
2017-07-11 00:00:00, APLA-N-0000, ACL PLASTICS,6, Rs. 6.00 per share / Interim Dividend  Financial Year:- 2016/2017, 20-JUL-17, 31-JUL-17,164.4,160.3
2017-07-11 00:00:00, TYRE-N-0000, KELANI TYRES,2.5, Rs. 2.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 20-JUL-17, 31-JUL-17,59,57.8
2017-07-11 00:00:00, KCAB-N-0000, KELANI CABLES,3.5, Rs. 3.50 per share / Interim Dividend  Financial Year:- 2016/2017 , 20-JUL-17, 31-JUL-17,115.4,115.4
2017-07-12 00:00:00, LMF-N-0000, LMF,2.5, Rs. 2.50 per share / First & Final Dividend  Financial Year: - 2016/2017 , 25-AUG-17, 06-SEP-17,142.9,141
2017-07-13 00:00:00, EXPO-N-0000, EXPOLANKA,0.15, Rs. 0.15 per share / Interim Dividend  Financial Year:- 2017/2018 , 24-JUL-17, 02-AUG-17,6.7,6.7
2017-07-17 00:00:00, CIND-N-0000, CENTRAL IND.,2.75, Rs. 2.75 per share / Final Dividend  Financial Year:- 2016/2017 , 10-AUG-17, 18-AUG-17,48.9,45.6
2017-07-17 00:00:00, BFN-N-0000, ORIENT FINANCE,0.25, Rs. 0.25 per share / Final Dividend  Financial Year:- 2016/2017 , 21-AUG-17, 29-AUG-17,10.5,10.2
2017-07-18 00:00:00, LLUB-N-0000, CHEVRON,2, Rs. 2.00 per share / Second Interim Dividend  Financial Year: - 2017 , 27-JUL-17, 08-AUG-17,149.1,148
2017-07-25 00:00:00, KHL-N-0000, KEELLS HOTELS,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year:- 2017/2018 , 03-AUG-17, 15-AUG-17,10.8,10.5
2017-07-26 00:00:00, BRR-N-0000, BANSEI RESORTS,0.1, Rs. 0.10 per share / First & Final Dividend  Financial Year: - 2016/2017 , 30-AUG-17, 08-SEP-17,7.2,7.2
2017-07-27 00:00:00, BPPL-N-0000, BPPL HOLDINGS,0.18, Rs. 0.18 per share / First Interim Dividend  Financial Year: - 2017/2018 , 08-AUG-17, 17-AUG-17,15.2,14.9
2017-07-28 00:00:00, ACL-N-0000, ACL,1.5,  Rs. 1.50 per share / Interim Dividend  Financial Year:- 2017/2018 , 09-AUG-17, 18-AUG-17,56.4,56.1
2017-08-01 00:00:00, TFIL-N-0000, TRADE FINANCE,2, Rs. 2.00 per share / Final Dividend  Financial Year:- 2016/2017 , 08-SEP-17, 18-SEP-17,40,39.9
2017-08-01 00:00:00, AEL-N-0000, ACCESS ENG SL,0.2, Rs. 0.20 per share / Final Dividend  Financial Year: - 2016/2017 , 11-AUG-17, 22-AUG-17,26.3,26.2
2017-08-02 00:00:00, LVEN-N-0000, LANKA VENTURES,2.5, Rs. 2.50 per share / Final Dividend  Financial Year: - 2016/2017 , 26-SEP-17, 04-OCT-17,53.5,51
2017-08-03 00:00:00, ONAL-N-0000, ON'ALLY,2.1, Rs. 2.10 per share / Final Dividend  Financial Year:- 2016/2017 , 15-AUG-17, 24-AUG-17,47,46.6
2017-08-04 00:00:00, KHC-N-0000, KANDY HOTELS,0.1, Rs. 0.10 per share / Final Dividend  Financial Year:- 2016/2017 , 31-AUG-17, 12-SEP-17,5.8,5.6
2017-08-08 00:00:00, CRL-N-0000, SOFTLOGIC FIN,1.65, Rs. 1.65 per share / Interim Dividend  Financial Year:- 2016/2017 , 17-AUG-17, 28-AUG-17,39.4,40
2017-08-10 00:00:00, RAL-N-0000, RENUKA AGRI,0.12, Rs. 0.12 per share / Final Dividend  Financial Year: - 2016/2017 , 18-SEP-17, 26-SEP-17,2.8,2.8
2017-08-10 00:00:00, KDL-N-0000, KELSEY,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2016/2017 , 08-SEP-17, 18-SEP-17,49.7,49.7
2017-08-11 00:00:00, COLO-N-0000, C M HOLDINGS,6, Rs. 6.00 per share / First & Final Dividend  Financial Year: - 2016/2017 , 21-SEP-17, 29-SEP-17,83.5,77.8
2017-08-11 00:00:00, CTEA-N-0000, DILMAH CEYLON,15, Rs. 15.00 per share / First & Final Dividend  Financial Year: - 2016/2017 , 15-SEP-17, 25-SEP-17,568.2,557.4
2017-08-11 00:00:00, SLND-N-0000, SERENDIB LAND,25, Rs. 25.00 per share / First & Final Dividend  Financial Year: - 2016/2017 , 27-SEP-17, 06-OCT-17,1481.7,1481.7
2017-08-14 00:00:00, ABAN-N-0000, ABANS,3, Rs. 3.00 per share / Final Dividend  Financial Year:- 2016/2017 , 18-SEP-17, 26-SEP-17,95,95
2017-08-14 00:00:00, CTC-N-0000, CEYLON TOBACCO,16, Rs. 16.00 per share (Less Withholding Tax) / Second Interim Dividend  Financial Year:- 2017 , 23-AUG-17, 30-AUG-17,960,960
2017-08-14 00:00:00, SHAW-N-0000, LEE HEDGES,1, Rs. 1.00 per share (Less Dividend Tax) / Final Dividend  Financial Year:- 2016/2017 , 27-SEP-17, 06-OCT-17,90,90
2017-08-15 00:00:00, FLCH-N-0000, BROWNS CAPITAL,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year:- 2017/2018 , 24-AUG-17, 06-SEP-17,4,3.5
2017-08-15 00:00:00, RHL-X-0000, RENUKA HOLDINGS,0.35, Rs. 0.35 per share (Voting and Non-Voting) / Final Dividend  Financial Year:- 2016/2017 , 18-SEP-17, 26-SEP-17,17.3,17.3
2017-08-15 00:00:00, RHL-N-0000, RENUKA HOLDINGS,0.35, Rs. 0.35 per share (Voting and Non-Voting) / Final Dividend  Financial Year:- 2016/2017 , 18-SEP-17, 26-SEP-17,24.2,24.2
2017-08-15 00:00:00, COCO-X-0000, RENUKA FOODS,0.35, Rs. 0.35 per share (Voting and Non-Voting) / Final Dividend  Financial Year:- 2016/2017 , 18-SEP-17, 26-SEP-17,17.5,17.5
2017-08-15 00:00:00, COCO-N-0000, RENUKA FOODS,0.35, Rs. 0.35 per share (Voting and Non-Voting) / Final Dividend  Financial Year:- 2016/2017 , 18-SEP-17, 26-SEP-17,18.5,17.8
2017-08-15 00:00:00, RPBH-N-0000, ROYAL PALMS,0.8, Rs. 0.80 per share / First & Final Dividend  Financial Year:- 2016/2017 , 24-AUG-17, 06-SEP-17,23.3,23
2017-08-16 00:00:00, AFSL-N-0000, ABANS FINANCIAL,0.2, Rs. 0.20 per share / Final Dividend  Financial Year:- 2016/2017 , 28-SEP-17, 09-OCT-17,25.1,25
2017-08-17 00:00:00, CTEA-N-0000, DILMAH CEYLON,15,  Rs. 15.00 per share / First & Final Dividend  Financial Year:- 2016/2017 , 26-SEP-17, 04-OCT-17,570.1,570.1
2017-08-17 00:00:00, ELPL-N-0000, ELPITIYA,1, Rs. 1.00 per share / First & Final Dividend  Financial Year:- 2016/2017 , 25-SEP-17, 03-OCT-17,29,28.5
2017-08-18 00:00:00, ARPI-N-0000, ARPICO,5.28, Rs. 5.28 per share / Interim Dividend  Financial Year:- 2017/2018 , 29-AUG-17, 11-SEP-17,177.5,170
2017-08-18 00:00:00, TANG-N-0000, TANGERINE,0.5, Rs. 0.50 per share / First and Final Dividend  Financial Year:- 2016/2017 , 29-AUG-17, 11-SEP-17,52.7,52.7
2017-08-18 00:00:00, LALU-N-0000, LANKA ALUMINIUM,1, Rs. 1.00 per share / Final Dividend  Financial Year: - 2016/2017, 21-SEP-17, 29-SEP-17,71,70.2
2017-08-18 00:00:00, LWL-N-0000, LANKA WALLTILE,4, Rs. 4.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 29-AUG-17, 11-SEP-17,105,102.9
2017-08-18 00:00:00, RWSL-N-0000, RAIGAM SALTERNS,0.15, Rs. 0.15 per share / Final Dividend  Financial Year:- 2016/2017 , 29-SEP-17, 09-OCT-17,2.6,2.4
2017-08-21 00:00:00, RENU-N-0000, RENUKA CITY HOT.,6, Rs. 6.00 per share / First and Final Dividend  Financial Year:- 2016/2017 (Payment date is 30/09/2017), 25-SEP-17, 29-SEP-17,296,296
2017-08-21 00:00:00, CABO-N-0000, CARGO BOAT,1.6, Rs. 1.60 per share / First and Final Dividend Financial Year:- 2016/2017 (Payment date is 30/09/2017), 25-SEP-17, 29-SEP-17,85.1,85.1
2017-08-22 00:00:00, TILE-N-0000, LANKA TILES,4, Rs. 4.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 31-AUG-17, 13-SEP-17,113.2,113.2
2017-08-23 00:00:00, AMF-N-0000, AMF CO LTD,12.5, Rs. 12.50 per share (Subject to 10% Dividend Tax) / Final Dividend  Financial Year: - 2016/2017 , 04-SEP-17, 14-SEP-17,459.9,459.9
2017-08-24 00:00:00, AUTO-N-0000, AUTODROME,0.5, Rs. 0.50 per share / First & Final Dividend  Financial Year: - 2016/2017 , 29-SEP-17, 10-OCT-17,74.8,74.6
2017-08-24 00:00:00, HARI-N-0000, HARISCHANDRA,22, Rs. 22.00 per share / Final Dividend  Financial Year: - 2016/2017 (AGM date is 23/09/2017), 25-SEP-17, 03-OCT-17,1357.3,1357.3
2017-08-25 00:00:00, CFLB-N-0000, FORT LAND,0.15, Rs. 0.15 per share / First & Final Dividend  Financial Year: - 2016/2017 , 28-SEP-17, 09-OCT-17,21.5,21.6
2017-08-25 00:00:00, LPRT-N-0000, LAKE HOUSE PRIN.,1.25, Rs. 1.25 per share / First & Final Dividend  Financial Year: - 2016/2017 , 29-SEP-17, 10-OCT-17,135,135
2017-08-31 00:00:00, PINS-N-0000, PEOPLE'S INS,0.75, Rs. 0.75 per share / Interim Dividend  Financial Year: - 2017 , 13-SEP-17, 22-SEP-17,23.7,23
2017-08-31 00:00:00, HUNT-N-0000, HUNTERS,3.75, Rs. 3.75 per share / First & Final Dividend  Financial Year: - 2016/2017 , 02-OCT-17, 06-OCT-17,400,410
2017-09-07 00:00:00, SWAD-N-0000, SWADESHI,1, Rs. 1.00 per share / First & Final Dividend  Financial Year: - 2016/2017 , 02-OCT-17, 11-OCT-17,12812.5,12812.5
2017-09-11 00:00:00, CARG-N-0000, CARGILLS,1.9, Rate of Dividend:- Rs. 1.90 per share / Interim Dividend  Financial Year:- 2017/2018 , 20-SEP-17, 29-SEP-17,191.1,199
2017-09-11 00:00:00, CITH-N-0000, CITRUS HIKKADUWA,0.09, Rs. 0.09 per share / First & Final Dividend  Financial Year:- 2016/2017 , 20-SEP-17, 28-SEP-17,13,13
2017-09-11 00:00:00, CTHR-N-0000, C T HOLDINGS,1.8, Rs. 1.80 per share / Interim Dividend  Financial Year:- 2017/2018 , 20-SEP-17, 29-SEP-17,165,165.8
2017-09-13 00:00:00, CTLD-N-0000, C T LAND,1.5, Rs. 1.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 22-SEP-17, 28-SEP-17,46,46
2017-09-15 00:00:00, VLL-N-0000, VIDULLANKA,0.1, Rs. 0.10 per share / Interim Dividend  Financial Year: - 2017/2018 , 26-SEP-17, 04-OCT-17,5.5,5.5
2017-09-22 00:00:00, MERC-N-0000, MERCANTILE INV,7, Rs.7.00 per share / Interim Dividend  Financial Year: 2017/2018 , 03-OCT-17, 06-OCT-17,2580.3,2580.3
2017-09-27 00:00:00, NIFL-N-0000, BRAC LNKA FNANCE,0.04, Rs. 0.04 per share / Interim Dividend  Financial Year: - 2017/2018 , 09-OCT-17, 19-OCT-17,38.6,30.8
2017-10-10 00:00:00, UCAR-N-0000, UNION CHEMICALS,7, Rs. 7.00 per share / First Interim Dividend  Financial Year:- 2017 , 20-OCT-17, 26-OCT-17,417.2,417.2
2017-10-13 00:00:00, SFCL-N-0000, SENKADAGALA,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 23-OCT-17, 01-NOV-17,90,90
2017-10-17 00:00:00, SMOT-N-0000, SATHOSA MOTORS,10, Rs. 10.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 27-OCT-17, 08-NOV-17,330,330
2017-10-19 00:00:00, LLUB-N-0000, CHEVRON,2.5, Rs. 2.50 per share / Interim Dividend  Financial Year: - 2017 , 30-OCT-17, 09-NOV-17,121.1,118.9
2017-10-30 00:00:00, COMB-X-0000, COMMERCIAL BANK,1.5, Rs. 1.50 per share (Voting and Non-Voting) / First Interim Dividend  Financial Year:- 2017 , 09-NOV-17, 20-NOV-17,110.1,110.1
2017-10-30 00:00:00, COMB-N-0000, COMMERCIAL BANK,1.5, Rs. 1.50 per share (Voting and Non-Voting) / First Interim Dividend  Financial Year:- 2017 , 09-NOV-17, 20-NOV-17,144.5,143.9
2017-10-30 00:00:00, BFL-N-0000, BAIRAHA FARMS,3, Rs. 3.00 per share / Interim Dividend  Financial Year:- 2017/2018 , 09-NOV-17, 20-NOV-17,153,152
2017-10-31 00:00:00, VPEL-N-0000, VALLIBEL,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year: - 2017/2018 , 10-NOV-17, 21-NOV-17,8,7.5
2017-10-31 00:00:00, NDB-N-0000, NAT. DEV. BANK,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2017 , 10-NOV-17, 21-NOV-17,139,137.8
2017-10-31 00:00:00, JKH-N-0000, JKH,2,  Rs. 2.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 14-NOV-17, 23-NOV-17,158.1,154.8
2017-11-06 00:00:00, CTEA-N-0000, DILMAH CEYLON,15, Rs. 15.00 per share / Interim Dividend  Financial Year: - 2017/2018 , 15-NOV-17, 23-NOV-17,570,520.2
2017-11-10 00:00:00, HHL-N-0000, HEMAS HOLDINGS,0.4, Rs. 0.40 per share / Interim Dividend  Financial Year: - 2017/2018 , 21-NOV-17, 30-NOV-17,125.7,127
2017-11-14 00:00:00, CTC-N-0000, CEYLON TOBACCO,17.5, Rs.17.50 per share (Less WHT) / Third Interim Dividend  Financial Year: - 2017 , 23-NOV-17, 04-DEC-17,950,940.4
2017-11-16 00:00:00, ONAL-N-0000, ON'ALLY,1.1, Rs.1.10 per share / Interim Dividend  Financial Year: - 2017/2018 , 27-NOV-17, 06-DEC-17,45,45
2017-11-20 00:00:00, OFEQ-N-0000, OFFICE EQUIPMENT,1, Rs. 01.00 per share / Final Dividend  Financial Year: - 2016/2017 , 14-DEC-17, 22-DEC-17,62,62
2017-11-21 00:00:00, COMD-N-0000, COMMERCIAL DEV.,2, Rs. 2.00 per share / Interim Dividend  Financial Year: - 2017 , 30-NOV-17, 12-DEC-17,70.6,70.6
2017-11-30 00:00:00, AEL-N-0000, ACCESS ENG SL,0.5, Rs. 0.50 per share / Interim Dividend  Financial Year: - 2017/2018 , 12-DEC-17, 21-DEC-17,23.9,23.9
2017-12-04 00:00:00, HNB-X-0000, HNB,1.5, Rs. 1.50 per share (Voting & Non-Voting) / Interim Dividend  Financial Year: - 2017 , 13-DEC-17, 21-DEC-17,201,200.5
2017-12-04 00:00:00, HNB-N-0000, HNB,1.5, Rs. 1.50 per share (Voting & Non-Voting) / Interim Dividend  Financial Year: - 2017 , 13-DEC-17, 21-DEC-17,254.8,253
2017-12-04 00:00:00, CFIN-N-0000, CENTRAL FINANCE,2.4, Rs. 2.40 per share / Interim Dividend  Financial Year: - 2017/2018 , 13-DEC-17, 15-DEC-17,96,95
2017-12-05 00:00:00, PLC-N-0000, PEOPLES LEASING,0.75, Rs. 0.75 per share / Interim Dividend  Financial Year: - 2017/2018 , 14-DEC-17, 26-DEC-17,17.5,16.9
