Rights Issues - 2010,,,,,,,
Company,Ratio,No. of Shares offered,Issue Price (Rs.),No. of shares subscribed by public ,Amount raised,No. of shares devolved to underwriter,Allotment
Coco Lanaka ,01:07:00,"1,800,000 (Non voting )",25,1800000,45000000,-,2010-01-25 00:00:00
,05:07:00,"9,000,000 (Voting)",35,9000000,315000000,-,2010-01-25 00:00:00
Elpitiya Plantations ,01:02:00,12479339,30,11474537,344236110,-,2010-01-28 00:00:00
Aitken Spence Hotel Holdings ,01:04:00,9608286,260,9608286,2498154360,-,2010-03-30 00:00:00
Environmental Resources Investment,01:02:00,69544320,30,69544320,2086329600,-,2010-03-30 00:00:00
John Keells Hotels ,01:03:00,364036695,10,364036695,3640366950,-,2010-03-01 00:00:00
Pan Asia Banking Corporation ,01:03:00,36880136,12,36880136,442561632,-,2010-03-31 00:00:00
Muller & Phipps (Ceylon),01:01:00,141571714,0.9,141428286,127285457.4,-,2010-04-01 00:00:00
Touchwood Investments ,01:01:00,8908800,60,8908800,534528000,-,2010-05-14 00:00:00
Colonial Motors ,01:08:00,1013813,50,1013813,50690650,-,2010-06-29 00:00:00
Kahawatte Plantations ,01:03:00,19972451,15,19972451,299586765,-,2010-06-18 00:00:00
Abans Electrical ,01:03:00,1064700,45,1064700,47911500,-,2010-07-13 00:00:00
ACME Printing & Packaging ,10:11:00,12196800,20,12196800,243936000,-,2010-08-02 00:00:00
Ceylon Leather Products ,01:01:00,12500000,73,12500000,912500000,-,2010-08-25 00:00:00
Lanka Milk Food (CWE),01:07:00,9999500,70,9999500,699965000,-,2010-08-12 00:00:00
People’s Leasing Finance ,01:01:00,22713639,25,22713639,567840975,-,2010-09-16 00:00:00
Lankem Ceylon  ,01:07:00,3000000,85,3000000,255000000,-,2010-09-24 00:00:00
SMB Leasing ,06:07:00,"381,455,314 (Voting)",0.8,381455314,305164251.2,-,2010-10-07 00:00:00
,23:05:00,"460,000,000 (Non-voting)",0.6,362623134,217573880.4,-,2010-10-07 00:00:00
Sigiriya Village Hotels ,07:23:00,2100000,90,2100000,189000000,-,2010-10-08 00:00:00
Overseas Realty (Ceylon) PLC,01:02:00,281161453,15,281161453,4217421795,-,2010-10-11 00:00:00
Vidullanka PLC ,01:07:00,54109700,4,54109700,216438800,-,2010-10-28 00:00:00
Citrus Leisure ,02:01:00,31461302,25,31461302,786532550,-,2010-11-02 00:00:00
Softlogic Finance ,01:03:00,6688205,40,6688205,267528200,-,2010-11-04 00:00:00
Laxapana Batteries ,04:09:00,12000000,8,12000000,96000000,-,2010-11-10 00:00:00
Bogawantalawa Tea Estates ,01:09:00,8375000,10,8375000,83750000,-,2010-11-15 00:00:00
Blue Diamonds Jewellery Worldwide ,01:01:00,59033947,2.5,44266944,110667360,-,2010-11-18 00:00:00
,      1:01,102202114,1.5,51167686,76751529,-,2010-11-18 00:00:00
Asian Alliance Insurance ,01:02:00,12500000,65,12500000,812500000,-,2010-11-24 00:00:00
MTD Walkers,19:01:00,108639283,33,108639283,3585096339,-,2010-12-10 00:00:00
Parquet (Ceylon) ,03:02:00,16423200,15,16423200,246348000,-,2010-12-30 00:00:00
Rights Issues 2010 by Sector,,,,,,,
Sector,No of Issues,No of Shares,Amount Raised (Rs.),,,,
Banks Finance & Insurance,5,822860428,2613168938.6,,,,
Beverage Food & Tobacco,2,20799500,1059965000,,,,
Construction & Engineering,1,3585096339,3585096339,,,,
Hotels & Travels,4,407206283,7114053860,,,,
Investment Trust,1,69544320,2086329600,,,,
Plantations,3,39821988,727572875,,,,
Chemicals & Pharmaceuticals,2,144428286,382285457.4,,,,
Land & Property,2,290070253,4751949795,,,,
Motors,1,1013813,50690650,,,,
Manufacturing,5,137119330,821614389,,,,
Footware & Textiles,1,12500000,912500000,,,,
Power & Energy,1,54109700,216438800,,,,
Total,28,5584570240,24321665704,,,,
