Sector Domestic & Foreign Analysis - 2013,,,,,,
SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
"BANKS, FINANCE & INSURANCE",374921,19845,2397706532,364337756,48464375076,29242605131
"BEVERAGE, FOOD & TOBACCO",67178,4963,135689560,32495037,7588720907,6036645159
CONSTRUCTION & ENGINEERING,26702,1022,106344663,9222826,2633588376,243530826
CHEMICALS & PHARMACEUTICALS,28860,636,146529902,3131824,2890059607,91796987
FOOTWEAR & TEXTILES,16516,553,22591779,3518030,284648241,71087553
HOTELS & TRAVELS,99833,2400,267687798,20641099,3937461767,850611318
INVESTMENT TRUSTS,53998,2735,201952077,115408985,2581101041,918561527
LAND & PROPERTY,133705,3624,698006842,33481447,5975755202,357179971
MANUFACTURING,178035,6390,798517330,79143983,12708426887,2945201323
MOTORS,11214,534,12260446,8649674,1580463343,987625603
OIL PALMS,2402,135,633162,42203,448067918,34765548
STORES & SUPPLIES,5895,108,302891,16966,146650421,6986975
SERVICES,13806,344,171136104,3146800,631453836,15627126
TRADING,24635,378,133412003,3202217,724044057,32397864
PLANTATIONS,50392,1966,102455571,8244429,1809892808,167246859
DIVERSIFIED HOLDINGS,146594,14899,1420844884,218799484,27336177547,27535995631
POWER & ENERGY,60036,2682,400611027,76091995,3371637391,508954073
HEALTH CARE,16902,484,134822488,5869530,2060425520,387254267
INFORMATION TECHNOLOGY,33313,630,547783755,27954094,1485124628,187718574
TELECOMMUNICATION,10448,1590,162340033,179166608,1569557181,1618377737
