Bonus Issues 1992,,,
Company,Ratio,Par Value (Rs.),No. of Shares
,,,Offered
1) Cargills,1 for 1,Data n.a. ,1200000
2) Ceylon Tea,1 for 2,Data n.a. ,1000000
3) Ceylon Tobacco,2 for 5,Data n.a. ,31000000
4) DIMO,1 for 4,Data n.a. ,5000000
5) Grain Elevators,1 for 3,Data n.a. ,5000000
6) Hayleys,1 for 6,Data n.a. ,1500000
7) JKH,1 for 5,Data n.a. ,2500000
8) Kandy Hotels,24 for 1,Data n.a. ,7920000
9) Lankem Ceylon ,1 for 1,Data n.a. ,1800000
10) Lanka Ashok,1 for 4,Data n.a. ,658335
11) Mahaweli Reach,7 for 1,Data n.a. ,3586919
12) W M Mendis,1 for 2,Data n.a. ,1811684
13) On'ally Holdings,1 for 3,Data n.a. ,2800123
14) Pure Beverages,1 for 4,Data n.a. ,1890685
15) Riverina Hotels,1 for 1,Data n.a. ,4015914
16) Serendib land,1 for 2,Data n.a. ,105000
17) Singer Sri Lanka,1 for 4,Data n.a. ,2319000
Value (Rs.),74107660,,
Issues (No.),17,,
Bonus Issues - by Sector 1992,,,
Sector,No of Issues,No of Shares,
"Beverage, Food & Tobacco",4,Data n.a. ,
Chemical & Pharmaceuticals,1,Data n.a. ,
Hotels & Travels,3,Data n.a. ,
Investment Trust,1,Data n.a. ,
Land & Property,2,Data n.a. ,
Manufacturing,1,Data n.a. ,
Motors,2,Data n.a. ,
Services,1,Data n.a. ,
Trading,2,Data n.a. ,
Total,17,Data n.a. ,
