Dividend Records - 2005,,,,,,
Security,Rate & Remarks,Date of Announcement,Date Of Ex,Date Of Payment,Cum Price,Ex Price
ABAN-N-0,20% FIRST AND FINAL DI,2005-10-18 00:00:00,2005-11-07 00:00:00,2005-11-18 00:00:00,155,154.25
ACAP-N-0,10% FIRST AND FINAL DI,2005-07-20 00:00:00,2005-07-25 00:00:00,2005-08-01 00:00:00,14.5,14
ACL-N-00,15% INTERIM DIVIDEND,2005-09-01 00:00:00,2005-09-20 00:00:00,2005-09-30 00:00:00,97.25,102
ACME-N-0,10% FIRST AND FINAL DI,2005-06-29 00:00:00,2005-07-14 00:00:00,2005-07-27 00:00:00,27.75,26.5
AEC-N-00,30% FIRST & FINAL,2005-08-23 00:00:00,2005-10-13 00:00:00,2005-10-26 00:00:00,260,300
AEC-N-00,25% INTERIM DIVIDEND,2005-10-06 00:00:00,2005-10-24 00:00:00,2005-11-07 00:00:00,300,300
AGAL-N-0,7.5% FIRST & FINAL,2005-03-07 00:00:00,2005-03-24 00:00:00,2005-04-06 00:00:00,13,13
AHPL-N-0,10% FIRST AND FINAL DI,2005-05-11 00:00:00,2005-06-29 00:00:00,2005-07-11 00:00:00,43.75,43.5
AHUN-N-0,5% FIRST AND FINAL DIV,2005-05-10 00:00:00,2005-06-28 00:00:00,2005-07-08 00:00:00,93,93
ALLI-N-0,30% FIRST AND FINAL DI,2005-06-17 00:00:00,2005-07-08 00:00:00,2005-07-27 00:00:00,100,95
AMSL-N-0,7.5%  SECOND INTERIM D,2005-06-20 00:00:00,2005-06-23 00:00:00,2005-07-01 00:00:00,3.25,3.25
AMW-N-00,INTERIM DIVIDEND,2005-01-26 00:00:00,2005-02-15 00:00:00,2005-02-28 00:00:00,105,105
AMW-N-00,7.5% SECOND INTERIM DI,2005-04-29 00:00:00,2005-05-19 00:00:00,2005-06-02 00:00:00,157,157.5
AMW-N-00,20% FINAL DIVIDEND,2005-07-27 00:00:00,2005-10-10 00:00:00,2005-10-21 00:00:00,284.25,280
AMW-N-00,25% FIRST INTERIM DIVI,2005-10-04 00:00:00,2005-10-21 00:00:00,2005-11-03 00:00:00,299.5,299.5
APDL-N-0,20% FIRST AND FINAL DI,2005-06-08 00:00:00,2005-10-11 00:00:00,2005-10-24 00:00:00,78.5,60
APLA-N-0,5% INTERIM DIVIDEND,2005-09-02 00:00:00,2005-09-21 00:00:00,2005-10-03 00:00:00,50.25,50
ARPI-N-0,20% FIRST AND FINAL DI,2005-06-06 00:00:00,2005-06-22 00:00:00,2005-07-08 00:00:00,63.25,56
ASHA-N-0,10% FINAL DIVIDEND,2005-09-13 00:00:00,2005-09-26 00:00:00,2005-10-06 00:00:00,38,37.25
ASHO-N-0,100% FIRST & FINAL DIV,2005-08-17 00:00:00,2005-09-06 00:00:00,2005-09-16 00:00:00,250,250
ASIR-N-0,7.5% SECOND INTERIM DI,2005-06-20 00:00:00,2005-06-23 00:00:00,2005-07-01 00:00:00,38.5,38
ASPH-N-0,5% INTERIM DIVIDEND,2005-03-17 00:00:00,2005-03-22 00:00:00,2005-04-04 00:00:00,110,80
ASPH-N-0,30% FINAL DIVIDEND,2005-11-09 00:00:00,2005-12-02 00:00:00,2005-12-14 00:00:00,137.5, - 
AUTO-N-0,15% FIRST INTERIM DIVI,2005-04-19 00:00:00,2005-04-27 00:00:00,2005-05-10 00:00:00,1100,1250
BALA-N-0,15% FIRST AND FINAL DI,2005-05-09 00:00:00,2005-07-08 00:00:00,2005-07-20 00:00:00,18.25,17
BOPL-N-0,5% FIRST AND FINAL DIV,2005-06-03 00:00:00,2005-08-31 00:00:00,2005-09-12 00:00:00,15.25,15.5
BREW-N-0,30% FIRST AND FINAL DI,2005-04-18 00:00:00,2005-04-29 00:00:00,2005-05-12 00:00:00,81,84
BRWN-N-0,20% FIRST AND FINAL DI,2005-09-29 00:00:00,2005-10-28 00:00:00,2005-11-11 00:00:00,507.25,527.25
BUKI-N-0,200% FINAL DIVIDEND,2005-04-29 00:00:00,2005-05-17 00:00:00,2005-05-31 00:00:00,923.25,921.5
BUKI-N-0,100%  FIRST INTERIM  D,2005-08-15 00:00:00,2005-08-18 00:00:00,2005-08-31 00:00:00,1005,991.75
CARE-N-0,25% FINAL DIVIDEND,2005-10-21 00:00:00,2005-12-16 00:00:00,2005-12-29 00:00:00,57,55
CARG-N-0,16% INTERIM DIVIDEND,2005-04-05 00:00:00,2005-04-21 00:00:00,2005-05-05 00:00:00,285,285
CARG-N-0,90% FINAL DIVIDEND,2005-07-04 00:00:00,2005-07-26 00:00:00,2005-08-05 00:00:00,395,387.5
CARS-N-0,100% FIRST AND FINAL D,2005-05-03 00:00:00,2005-05-17 00:00:00,2005-05-31 00:00:00,14900,13900
CCS-N-00,10% FIRST AND FINAL DI,2005-05-31 00:00:00,2005-06-10 00:00:00,2005-06-27 00:00:00,116,113
CDIC-N-0,7% FINAL DIVIDEND,2005-06-29 00:00:00,2005-07-01 00:00:00,2005-07-07 00:00:00,42,42.5
CFIN-N-0,10% FIRST INTERIM (TAX,2004-12-23 00:00:00,2005-01-11 00:00:00,2005-01-26 00:00:00,274,271.25
CFIN-N-0,10% SECOND INTERIM DIV,2005-05-19 00:00:00,2005-05-31 00:00:00,2005-06-10 00:00:00,142,141
CFIN-N-0,12.50% FINAL DIVIDEND,2005-08-01 00:00:00,2005-08-18 00:00:00,2005-08-31 00:00:00,159,158.75
CHL-N-00,15% FIRST AND FINAL DI,2005-06-15 00:00:00,2005-07-08 00:00:00,2005-07-20 00:00:00,32.25,31.75
CHL-X-00,15% FIRST AND FINAL DI,2005-06-15 00:00:00,2005-07-08 00:00:00,2005-07-20 00:00:00,24,22.5
CHMX-N-0,15% INTERIM DIVIDEND (,2005-03-14 00:00:00,2005-03-17 00:00:00,2005-03-30 00:00:00,145,134
CHMX-N-0,20% FINAL DIVIDEND,2005-05-17 00:00:00,2005-06-16 00:00:00,2005-06-29 00:00:00,127,127
CHOU-N-0,13.5% FIRST & FINAL (T,2005-08-10 00:00:00,2005-10-26 00:00:00,2005-11-09 00:00:00,97.75,98.5
CIC-N-00,17.5% INTERIM DIVIDEND,2005-02-15 00:00:00,2005-03-01 00:00:00,2005-03-14 00:00:00,157,157
CIC-N-00,30% FINAL DIVIDEND,2005-05-25 00:00:00,2005-06-16 00:00:00,2005-06-29 00:00:00,153,150
CIC-X-00,17.5% INTERIM DIVIDEND,2005-02-15 00:00:00,2005-03-01 00:00:00,2005-03-14 00:00:00,111,114
CIC-X-00,30% FINAL DIVIDEND,2005-05-25 00:00:00,2005-06-16 00:00:00,2005-06-29 00:00:00,124,115
CIND-N-0,35% FIRST AND FINAL DI,2005-09-20 00:00:00,2005-10-14 00:00:00,2005-10-27 00:00:00,138.75,132
CINS-N-0,20% FIRST & FINAL DIVI,2005-02-17 00:00:00,2005-03-11 00:00:00,2005-04-05 00:00:00,44,44
CINS-N-0,2% INTERIM DIVIDEND,2005-03-29 00:00:00,2005-04-12 00:00:00,2005-04-27 00:00:00,46.5,47
CINV-N-0,15% FIRST AND FINAL DI,2005-04-29 00:00:00,2005-05-16 00:00:00,2005-05-30 00:00:00,108,108
COMB-N-0,40%  FINAL DIVIDEND,2005-01-28 00:00:00,2005-03-17 00:00:00,2005-03-30 00:00:00,189.5,186.5
COMB-N-0,15% INTERIM DIVIDEND,2005-10-27 00:00:00,2005-11-17 00:00:00,2005-11-29 00:00:00,172.75,169.75
COMB-X-0,40%  FINAL DIVIDEND,2005-01-28 00:00:00,2005-03-17 00:00:00,2005-03-30 00:00:00,117.75,115.5
