Sector Ratios - 2023 (January to December),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,
SECTOR ,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO,**DIVIDEND,P/E,PRICE TO
,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE,YIELD,RATIO,BOOK VALUE
Automobiles & Components,8.8,6.63,0.68,8.6,6.81,0.7,8.4,6.91,0.71,8.7,6.72,0.69,9.1,6.4,0.66,8.1,7.18,0.74,7.3,7.96,0.82,7.5,7.76,0.8,0,5.1,0.82,,,,,,,,,
Banks,5.9,3.48,0.32,5,4.08,0.38,4.6,4.41,0.41,5.1,4.01,0.37,5.1,4.02,0.37,4.3,4.75,0.44,3.1,6.62,0.61,4.1,6.13,0.53,4,6.32,0.55,,,,,,,,,
Capital Goods,3.8,3.83,0.67,3.8,3.84,0.68,3.7,3.87,0.68,3.8,3.78,0.67,4,3.58,0.63,3.6,4.01,0.7,3.2,4.57,0.8,4.5,4.71,0.8,4.4,4.82,0.81,,,,,,,,,
Commercial & Professional Services,5.3,2.05,0.92,5.8,1.86,0.84,6,1.8,0.81,6.1,1.76,0.79,6.7,1.6,0.72,5.9,1.82,0.82,5.5,1.95,0.88,8.3,1.94,0.73,8.2,1.94,0.73,,,,,,,,,
Consumer Durables & Apparel,4.4,9.86,1.01,4.4,9.75,1,4.7,9.11,0.93,4.6,9.32,0.95,5.1,8.52,0.87,4.8,8.98,0.92,4.2,10.32,1.05,3.1,12.89,1.07,3,13.15,1.09,,,,,,,,,
Consumer Services,0,,0.69,0,,0.71,0,,0.77,0,,0.74,0,,0.68,0,,0.68,0,,0.82,0,,0.99,0,,1.15,,,,,,,,,
Diversified Financials,0.9,3.86,1.01,1.1,3.45,0.91,1.1,3.44,0.9,1.1,3.24,0.85,1.2,2.96,0.78,1.1,3.31,0.87,0.9,4.22,1.1,0.9,4.02,1.01,0.9,3.93,0.99,,,,,,,,,
Energy,1.4,5.42,2.33,1.4,5.31,2.28,1.6,4.71,2.02,1.7,4.49,1.93,2.1,3.59,1.54,2.1,3.59,1.54,2,3.8,1.63,1.6,2.57,1.15,1.6,2.58,1.15,,,,,,,,,
Food & Staples Retailing,2.9,10.5,1.86,2.9,10.3,1.82,2.8,10.71,1.89,2.8,10.91,1.93,2.7,11.05,1.96,2.6,11.53,2.04,2.2,13.74,2.43,2.1,11.92,2.54,1.9,12.8,2.73,,,,,,,,,
"Food, Beverage & Tobacco",4.9,4.78,1.35,4.6,5.03,1.42,4.5,5.18,1.46,4.6,5.1,1.44,4.6,5.04,1.43,4.3,5.4,1.53,3.9,5.94,1.68,5.4,6.08,1.6,5.2,6.38,1.66,,,,,,,,,
