Bonus Issues 2005,,,,
Company Name,Ratio,Par Value (Rs.),No. of Shares Offered,Date of Allotment
Central Finance Company Limited,2 for 3,10,8120000,2005-01-31 00:00:00
Dipped Products Limited,1 for 1,10,29930756,2005-02-18 00:00:00
Hayleys Limited,4 for 11,10,20000000,2005-02-25 00:00:00
Ceylon Glass Company Limited,1 for 1,1,27710844,2005-03-21 00:00:00
ACL Cables Limited,2 for 9,10,2722440,2005-03-28 00:00:00
Eagle Insurance Company Limited,1 for 2,10,10000000,2005-03-29 00:00:00
Singer (Sri Lanka) Limited,1 for 4,10,10016769,2005-04-21 00:00:00
Nawaloka Hospitals Limited,1 for 3,1,150000000,2005-04-26 00:00:00
John Keells Holdings Limited,1 for 5,10,66338046,2005-05-25 00:00:00
Commercial Bank of Ceylon Limited,1 for 1,10,"66,389,162(voting)",2005-06-07 00:00:00
,,10,"4,650,230 (non-voting)",
John Keells Limited,1 for 1,10,7600000,2005-06-29 00:00:00
Hemas Holdings Limited,1 for 4,10,19877925,2005-06-30 00:00:00
The Ceylon Investment Company Limited,1 for 3,10,6036451,2005-06-29 00:00:00
The Ceylon Guardian Investment Trust Limited,1 for 3,10,4734528,2005-06-29 00:00:00
Ceylinco Seylan Developments Limited,2 for 100,10,1450635,2005-07-04 00:00:00
Printcare (Ceylon) Limited,1 for 3,10,4298334,2005-07-18 00:00:00
Carson Cumberbatch & Company Limited,5 for 1,10,5093550,2005-07-19 00:00:00
Richard Pieris & Company Limited,1 for 1,10,59192780,2005-07-29 00:00:00
Colombo Pharmacy Company Limited,1 for 3,5,318214,2005-08-02 00:00:00
Connaissance Holdings Limited,1 for 10,10,3184088,2005-08-23 00:00:00
Tess Agro  Limited,1 for 10,1,16363636,2005-09-14 00:00:00
Vidulllanka Limited,1 for 4,10,5962502,2005-09-15 00:00:00
Hayleys MGT Knitting Mills Limited,1 for 1,10,24588746,2005-10-18 00:00:00
Kelani Cables Limited,1 for 1,10,5450000,2005-10-27 00:00:00
Touchwood Investments Limited,3 for 1,10,6681600,2005-10-28 00:00:00
Cargo Boat Development Company Limited,1 for 1,10,3400012,2005-11-14 00:00:00
Lanka Walltile Limited,1 for 4,10,6500000,2005-12-19 00:00:00
Ceylinco Housing and Real Estate Company Limited,4 for 5,10,5946600,2005-12-30 00:00:00
Value (Rs.),4077317090,,,
Issues (No.),28,,,
Bonus Issues - by Sector 2005,,,,
Sector,No of Issues,No of Shares,,
Banks Finance & Insurance,3,89159392,,
Diversified Holdings,5,170502301,,
Footwear & Textile,1,24588746,,
Healthcare,1,150000000,,
Hotels & Travels,1,3184088,,
Investment Trusts,2,10770979,,
Land & Property,4,17478847,,
Manufacturing,6,76612374,,
Power & Energy,1,5962502,,
Services,1,7600000,,
Stores & Supplies,1,318214,,
Trading,2,26380405,,
Total,28,582557848,,
