Dividend Records - 2010,,,,,,
Date of Announcement,Security,Rate & Remarks,Date of Ex,Date of Payment,Cum Price,Ex Price
2010-06-28 00:00:00,DIST-N-0,FINAL DIVIDEND OF RS.2.50 PER SHARE ,2010-08-23 00:00:00,2010-09-01 00:00:00,142,140
2010-06-08 00:00:00,HOPL-N-0,FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-08-23 00:00:00,2010-09-01 00:00:00,32,31.5
2010-05-18 00:00:00,CDIC-N-0,FINAL DIVIDEND OF RS.2.25 PER SHARE ,2010-06-29 00:00:00,2010-07-07 00:00:00,130.5,135
2010-05-18 00:00:00,HAYL-N-0,FINAL DIVIDEND OF RS.2.00 PER SHARE ,2010-06-30 00:00:00,2010-07-07 00:00:00,305,305
2010-06-09 00:00:00,CWM-N-00,FIRST & FINAL DIVIDEND OF RS.1.00 PER SHARE ,2010-07-14 00:00:00,2010-07-22 00:00:00,51.25,53.25
2010-06-09 00:00:00,MAL-N-00,FINAL DIVIDEND  OF RS.1.00 PER SHARE ,2010-07-16 00:00:00,2010-07-26 00:00:00,53.75,52
2010-08-20 00:00:00,CABO-N-0,FIRST & FINAL DIVIDEND OF RS.2.25 PER SHARE ,2010-09-23 00:00:00,2010-09-29 00:00:00,125,124.5
2010-08-20 00:00:00,RENU-N-0,FIRST & FINAL DIVIDEND OF RS.5.50 PER SHARE ,2010-09-23 00:00:00,2010-09-29 00:00:00,340,321.6
2010-09-13 00:00:00,EMER-N-0,FINAL DIVIDEND OF RS. 3.00 PER SHARE,2010-10-11 00:00:00,2010-10-19 00:00:00,550,590
2010-02-01 00:00:00,KCAB-N-0,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2010-02-11 00:00:00,2010-02-22 00:00:00,224.5,220
2010-02-01 00:00:00,CTC-N-00,FINAL DIVIDEND OF RS.5.70 PER SHARE (LES,2010-03-22 00:00:00,2010-03-31 00:00:00,243.25,240
2010-02-09 00:00:00,PDL-N-00,FIRST & FINAL DIVIDEND OF RS. 2.20 PER SHARE ,2010-03-25 00:00:00,2010-04-01 00:00:00,33,31.5
2010-02-10 00:00:00,KVAL-N-0, FIRST & FINAL DIVIDEND OF RS. 1.00 PER SHARE ,2010-04-01 00:00:00,2010-04-12 00:00:00,53,51.5
2010-02-09 00:00:00,CFVF-N-0,INTERIM DIVIDEND OF RS. 15.00 PER SHARE ,2010-02-18 00:00:00,2010-03-01 00:00:00,79.25,65
2010-08-27 00:00:00,RCL-N-00,FIRST INTERIM DIVIDEND OF RS.2.50 PER SHARE (TAX-FREE) ,2010-09-07 00:00:00,2010-09-14 00:00:00,207.5,211.4
2010-11-11 00:00:00,DIMO-N-0,INTERIM DIVIDEND OF RS. 5.00 PER SHARE ,2010-11-24 00:00:00,2010-12-02 00:00:00,1000,1000
2010-07-07 00:00:00,BUKI-N-0,FIRST INTERIM DIVIDEND OF RS.9.00 PER SHARE ,2010-07-16 00:00:00,2010-07-27 00:00:00,4100,4100
2010-07-19 00:00:00,BOPL-N-0,FINAL DIVIDEND OF RS.0.50 PER SHARE ,2010-07-28 00:00:00,2010-08-06 00:00:00,45.25,45.5
2010-10-11 00:00:00,CARE-N-0,INTERIM DIVIDEND OF RS. 1.50 PER SHARE ,2010-10-20 00:00:00,2010-10-29 00:00:00,92.2,95
2010-02-24 00:00:00,JFIN-N-0,FINAL DIVIDEND OF RS.1.50 PER SHARE,2010-03-31 00:00:00,2010-04-08 00:00:00,255,211.25
2009-12-15 00:00:00,COLO-N-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2010-02-05 00:00:00,2010-02-15 00:00:00,50.75,49.25
2009-12-18 00:00:00,LLUB-N-0,FOURTH INTERIM DIVIDEND OF RS.6.50 PER SHARE,2009-12-30 00:00:00,2010-01-12 00:00:00,147.5,141.75
2009-12-22 00:00:00,COMD-N-0,INTERIM DIVIDEND OF RS.2.00 PER SHARE,2010-01-05 00:00:00,2010-01-13 00:00:00,51,51
2009-12-23 00:00:00,CFIN-N-0,FIRST INTERIM DIVIDEND OF RS.1.25 PER SHARE,2010-01-06 00:00:00,2010-01-15 00:00:00,354.5,365.25
2009-12-30 00:00:00,CTC-N-00,FOURTH INTERIM DIVIDEND OF RS.5.30 PER SHARE,2010-01-12 00:00:00,2010-01-22 00:00:00,205.75,199.75
2010-01-12 00:00:00,BFL-N-00,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2010-01-22 00:00:00,2010-02-03 00:00:00,28.75,28
2010-01-28 00:00:00,CIC-N-00,INTERIM DIVIDEND OF RS.0.50 PER SHARE ,2010-02-10 00:00:00,2010-02-18 00:00:00,69.5,68.75
2010-01-28 00:00:00,CIC-X-00,INTERIM DIVIDEND OF RS.0.50 PER SHARE ,2010-02-10 00:00:00,2010-02-18 00:00:00,43.25,43.5
2010-01-28 00:00:00,HASU-N-0,FINAL DIVIDEND OF RS.1.50 PER SHARE,2010-03-31 00:00:00,2010-04-09 00:00:00,57,55.5
2009-12-10 00:00:00,CFLB-N-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2010-03-19 00:00:00,2010-03-30 00:00:00,65,62.5
2010-02-08 00:00:00,UAL-N-00,FIRST & FINAL DIVIDEND OF RS.5.00 PER SHARE,2010-04-01 00:00:00,2010-04-07 00:00:00,104,100
2010-02-08 00:00:00,DIMO-N-0,INTERIM DIVIDEND OF RS.3.00 PER SHARE,2010-02-17 00:00:00,2010-02-26 00:00:00,312.75,319.75
2010-02-10 00:00:00,CTCE-N-0,FINAL DIVIDEND OF RS. 9.00 PER SHARE ,2010-03-24 00:00:00,2010-04-05 00:00:00,217,207.25
2010-02-15 00:00:00,HNB-N-00,FINAL DIVIDEND OF RS.5.00 PER SHARE ,2010-04-01 00:00:00,2010-04-12 00:00:00,188.25,188
2010-02-15 00:00:00,HNB-X-00,FINAL DIVIDEND OF RS.5.00 PER SHARE ,2010-04-01 00:00:00,2010-04-12 00:00:00,140,137
2010-02-17 00:00:00,STAF-N-0,INTERIM DIVIDEND OF RS.0.50 PER SHARE,2010-02-26 00:00:00,2010-03-09 00:00:00,36.5,36.5
2010-02-18 00:00:00,SEYB-X-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2010-03-30 00:00:00,2010-04-07 00:00:00,26.25,26.5
2010-02-18 00:00:00,SEYB-N-0,FIRST & FINAL DIVIDEND OF RS.0.50 PER SHARE,2010-03-30 00:00:00,2010-04-07 00:00:00,47.25,46.75
2010-02-19 00:00:00,NTB-N-00,FIRST & FINAL DIVIDEND OF RS.1.50 PER SHARE,2010-03-31 00:00:00,2010-04-09 00:00:00,36,35
2010-02-23 00:00:00,CHMX-N-0,INTERIM DIVIDEND OF RS.1.00 PER SHARE,2010-03-04 00:00:00,2010-03-15 00:00:00,139.5,135
2010-09-09 00:00:00,CTHR-N-0,FIRST & FINAL DIVIDEND OF RS. 0.70 PER SHARE,2010-10-08 00:00:00,2010-10-18 00:00:00,209.9,211.9
2010-12-01 00:00:00,CTEA-N-0,INTERIM DIVIDEND OF RS. 12.50 PER SHARE ,2010-12-10 00:00:00,2010-12-22 00:00:00,787,760
