SECTOR,TRADES (No.),,SHARES (No.),,TURNOVER (Rs.),
,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN,DOMESTIC,FOREIGN
BANK FINANCE INS,9471,177,7609254,288980,368580098,44063575
BEV FOOD TOBACCO,3251,68,2604272,431730,104040470,21556277
CONSTRUCTION ENG,1330,64,1036518,146955,28834667,3820549
CHEMICALS PHARMS,811,14,407488,34339,32585783,4016798
FOOTWEAR TEXTILE,7392,52,1897134,112547,87707011,12121393
HOTELS TRAVELS,2193,80,1888547,119223,47302504,7287409
INVESTMENT TRUST,404,4,163552,2700,13165890,209775
LAND PROPERTY,1872,27,1681053,182738,47912849,3360612
MANUFACTURING,7369,187,5421025,442129,163927460,21611438
MOTORS,729,106,291298,191244,20951664,14607048
OIL PALMS,1,0,10,0,5000,0
STORES SUPPLIES,47,1,12046,137,1241026,6850
SERVICES,36,3,10421,2060,793219,170820
TRADING,1310,3,225836,675,12352681,55062
PLANTATIONS,0,0,0,0,0,0
DIVERSIFIED,876,131,725731,427387,198907576,123717885
POWER & ENERGY,0,0,0,0,0,0
HEALTH CARE,119,0,74450,0,1655431,0
IT,0,0,0,0,0,0
TELECOM,0,0,0,0,0,0
