,,,DIVIDEND ANNOUNCEMENTS 2015,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX  PRICE
2015-08-31 00:00:00,EBCR-N-0000,E B CREASY,First & Final Dividend of Rs. 20.00 per share/Financial Year 2014/2015/Share Transfer Book Open, 01-OCT-15, 09-OCT-15,1200,1200
2015-08-31 00:00:00,MEL-N-0000,MACKWOODS ENERGY,First & Final Dividend of Rs. 0.10 per share/Financial Year 2014/2015/Share Transfer Book Open, 25-SEP-15, 05-OCT-15,5.6,5.9
2015-09-01 00:00:00,RFL-N-0000,RAMBODA FALLS ,Interim Dividend of Rs. 0.50 per share/Financial Year 2015/2016, 10-SEP-15, 21-SEP-15,30.8,30.8
2015-09-01 00:00:00,CFLB-N-0000,FORT LAND,First & Final Dividend of Rs. 0.30 per share/Financial Year 2014/2015/Share Transfer Book Open, 01-OCT-15, 09-OCT-15,24.6,24.6
2015-09-03 00:00:00,ASPH-N-0000,INDUSTRIAL ASPH.,First & Final Dividend of Rs. 4.50 per share(Subject to Tax)/Financial Year 2014/2015/Share Transfer Book Open, 28-SEP-15, 06-OCT-15,370.6,370.6
2015-09-04 00:00:00,CITH-N-0000,HIKKADUWA BEACH,First & Final Dividend of Rs. 0.12 per share/Financial Year 2014/2015, 15-SEP-15, 25-SEP-15,15,15
2015-09-11 00:00:00,SHAW-N-0000,LEE HEDGES, Additional Final Dividend of Rs. 1.30 per share(would be subject to dividend tax of 10%)/Financial Year 2014/2015/Share Transfer Book Open, 29-SEP-15, 07-OCT-15,400,400
2015-09-25 00:00:00,BOGA-N-0000,BOGALA GRAPHITE,Interim Dividend of Rs. 0.06 per share/Financial Year 2015/Share Transfer Book Open, 06-OCT-15, 15-OCT-15,30,30
2015-09-30 00:00:00,BRWN-N-0000,BROWNS,Interim Dividend of Rs. 0.30 per share/Financial Year 2015/2016/Share Transfer Book Open, 09-OCT-15, 20-OCT-15,105.6,105.1
2015-10-07 00:00:00,UCAR-N-0000,UNION CHEMICALS,First Interim Dividend of Rs. 8.00 per share/Financial Year 2015/Share Transfer Book Open, 16-OCT-15, 28-OCT-15,598.2,598.2
2015-10-07 00:00:00,KFP-N-0000,KEELLS FOOD,Interim Dividend of Rs. 4.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 16-OCT-15, 28-OCT-15,184,184
2015-10-07 00:00:00,CCS-N-0000,COLD STORES,Interim Dividend of Rs. 5.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 16-OCT-15, 28-OCT-15,392.9,390.1
2015-10-13 00:00:00,CERA-N-0000,LANKA CERAMIC,Interim Dividend of Rs. 2.50 per share/Financial Year 2015/2016/Share Transfer Book Open, 22-OCT-15, 03-NOV-15,133.1,133.1
2015-10-28 00:00:00,BFL-N-0000,BAIRAHA FARMS,Interim Dividend of RS. 2.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 06-NOV-15, 18-NOV-15,210.9,208.8
2015-10-28 00:00:00,RCL-N-0000,ROYAL CERAMIC,Interim Dividend of RS. 2.00 per share/Financial Year YEAR 2015/2016/Share Transfer Book Open, 06-NOV-15, 18-NOV-15,112,112.2
2015-10-30 00:00:00,LLUB-N-0000,CHEVRON,Third Interim Dividend of Rs. 6.00 per share/Financial Year 2015/Share Transfer Book Open, 11-NOV-15, 20-NOV-15,372.1,361.8
2015-11-06 00:00:00,CTC-N-0000,CEYLON TOBACCO,Third Interim Dividend of Rs. 9.00 per share/Financial Year 2015/Share Transfer Book Open, 18-NOV-15, 27-NOV-15,986,986
2015-11-13 00:00:00,CIC-N-0000 &  CIC-X-0000,CIC,Interim Dividend of Rs. 1.00 per share (Voting & Non-Voting)/Financial Year 2015/2016/Share Transfer Book Open, 24-NOV-15, 04-DEC-15,100,100
2015-11-13 00:00:00,HHL-N-0000,HEMAS HOLDINGS,Interim Dividend of Rs. 0.40 per share/Financial Year 2015/2016/Share Transfer Book Open, 24-NOV-15, 04-DEC-15,85.1,85
2015-11-13 00:00:00,NDB-N-0000,NAT. DEV. BANK,Interim Dividend of Rs. 7.00 per share(Rs. 5.49 per share will be out of dividend income-net of tax, 24-NOV-15, 04-DEC-15,209.7,203.3
2015-11-13 00:00:00,MERC-N-0000,MERCANTILE INV,Interim Dividend of Rs. 7.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 24-NOV-15, 04-DEC-15,2200, 
2015-11-18 00:00:00,SMOT-N-0000,SATHOSA MOTORS,Interim Dividend of Rs. 5.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 30-NOV-15, 09-DEC-15,308,308
2015-11-18 00:00:00,JKH-N-0000,JKH,Interim Dividend of Rs. 4.50 (Eligible S/H will include holders of O/S converted through the exercise of the 2015 Warrants (W0022) per share/Financial Year 2015/2016/Share Transfer Book Open, 30-NOV-15, 09-DEC-15,184.6,179.9
2015-11-19 00:00:00,SFCL-N-0000,SENKADAGALA,First Interim Dividend of Rs. 0.60 per share/Financial Year 2015/2016/Share Transfer Book Open, 01-DEC-15, 10-DEC-15,60, 
2015-11-19 00:00:00,RHTL-N-0000,FORTRESS RESORTS,Interim Dividend of Rs. 1.00 (Tax Free) per share/Financial Year 2015/2016/Share Transfer Book Open, 01-DEC-15, 10-DEC-15,16.1,15.3
2015-11-20 00:00:00,AEL-N-0000,ACCESS ENG SL,Interim Dividend of Rs. 0.50 per share/Financial Year 2015/2016/Share Transfer Book Open, 02-DEC-15, 11-DEC-15,23.3,22.8
2015-11-20 00:00:00,UML-N-0000,UNITED MOTORS,Interim Dividend of Rs. 3.00 (less WHT) per share/Financial Year 2015/2016/Share Transfer Book Open, 02-DEC-15, 11-DEC-15,93,91.5
2015-11-26 00:00:00,HNB-N-0000 & HNB-X-0000,HNB,Interim Dividend of Rs. 1.50 per share (Voting & Non Voting)/Financial Year 2015/Share Transfer Book Open, 07-DEC-15, 16-DEC-15,215,213
2015-11-30 00:00:00,LHCL-N-0000,LANKA HOSPITALS,Interim Dividend of Rs. 1.00 per share/Financial Year 2015/Share Transfer Book Open, 09-DEC-15, 18-DEC-15,62.5,61.6
2015-11-30 00:00:00,COMB-N-0000 & COMB-X-0000,COMMERCIAL BANK,First Interim Dividend of Rs. 1.50 per share (Voting & Non Voting)/Financial Year 2015/Share Transfer Book Open, 09-DEC-15, 18-DEC-15,140.5,140.3
2015-12-02 00:00:00,PAP-N-0000,PANASIAN POWER,Interim Dividend of Rs. 0.15 per share/Financial Year 2015/2016/Share Transfer Book Open, 11-DEC-15, 22-DEC-15,3.6,3.5
2015-12-04 00:00:00,ONAL-N-0000,ON'ALLY,Interim Dividend of Rs. 1.10 per share/Financial Year 2015/2016/Share Transfer Book Open, 15-DEC-15, 28-DEC-15,59,58
2015-12-07 00:00:00,CFIN-N-0000,CENTRAL FINANCE,First Interim Dividend of Rs. 1.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 16-DEC-15, 18-DEC-15,250,250
2015-12-09 00:00:00,COMD-N-0000,COMMERCIAL DEV.,Interim Dividend of Rs. 2.00 per share/Financial Year 2015/Share Transfer Book Open, 18-DEC-15, 31-DEC-15,90.2,94.5
2015-12-11 00:00:00,CTEA-N-0000,TEA SERVICES,Interim Dividend of Rs. 10.00 per share/Financial Year 2015/2016/Share Transfer Book Open, 22-DEC-15, 31-DEC-15,640.2,640.2
