,,,DIVIDEND ANNOUNCEMENTS 2015,,,,
DATE OF ANNOUNCEMENT, SECURITY, SHORT NAME,REMARKS, DATE OF EX,DATE OF PAYMENT, CUM PRICE,EX  PRICE
2015-02-26 00:00:00,UML-N-0000,UNITED MOTORS,Interim Dividend of Rs. 2.00 per share (Less WHT)/Financial Year 2014/2015, 10-MAR-15, 18-MAR-15,97.1,96.1
2015-02-26 00:00:00,COMD-N-0000,COMMERCIAL DEV.,Final Dividend of Rs. 3.00 per share/Financial Year 2014/Share Transfer Book Open, 05-MAY-15, 13-MAY-15,107.7,105
2015-02-26 00:00:00,NTB-N-0000,NATIONS TRUST,First & Final Dividend of Rs. 2.10 per share/Financial Year 2014/Share Transfer Book Open, 01-APR-15, 10-APR-15,100.1,99
2015-02-26 00:00:00,SEYB-N-0000  & SEYB-X-0000,SEYLAN BANK,First & Final Dividend of Rs. 2.50 per share/Financial Year 2014/Share Transfer Book Open (Voting & Non Voting), 01-APR-15, 10-APR-15,100,99
2015-02-27 00:00:00,MERC-N-0000,MERCANTILE INV,Second Interim Dividend of Rs. 17.00 per share/Financial Year 2014/2015, 11-MAR-15, 19-MAR-15,2200, 
2015-02-27 00:00:00,CSD-N-0000,SEYLAN DEVTS,First & Final Dividend of Rs. 0.50 per share/Financial Year 2014/Share Transfer Book Open, 01-APR-15, 10-APR-15,13.2,13.2
2015-03-02 00:00:00,SINS-N-0000,SINGER SRI LANKA,Final Dividend of Rs. 2.50 per share/Financial year 2014, 12-MAR-15, 19-MAR-15,118,116.8
2015-03-02 00:00:00,REG-N-0000,REGNIS,Final Dividend of Rs. 7.00 per share/Financial Year 2014, 12-MAR-15, 19-MAR-15,92.8,83
2015-03-02 00:00:00,SIRA-N-0000,SIERRA  CABL,Interim Dividend of Rs. 0.20 per share/Financial Year 2014/2015, 12-MAR-15, 23-MAR-15,4.6,4.5
2015-03-02 00:00:00,DOCK-N-0000,DOCKYARD,First & Final Dividend of Rs. 3.00 per share/Financial Year 2014, 12-MAR-15, 23-MAR-15,180,173
2015-03-09 00:00:00,AMSL-N-0000,ASIRI SURG,Interim Dividend of Rs. 0.40 per share/Financial Year 2014/2015, 18-MAR-15, 25-MAR-15,17,16.9
2015-03-09 00:00:00,ASIR-N-0000,ASIRI,Interim Dividend of Rs. 0.50 per share (Rs. 0.33 is tax free-i.e.paid out of dividends received)/Financial Year 2014/2015, 18-MAR-15, 27-MAR-15,21.1,21.2
2015-03-09 00:00:00,TRAN-N-0000,TRANS ASIA,Interim Dividend of Rs. 1.50 per share/Financial Year 2014/2015, 18-MAR-15, 27-MAR-15,99.9,99.9
2015-03-10 00:00:00,LALU-N-0000,LANKA ALUMINIUM,Interim Dividend of Rs. 1.50 per share/Financial year 2014/2015, 19-MAR-15, 30-MAR-15,68.6,67.9
2015-03-10 00:00:00,SDB-N-0000,SANASA DEV. BANK,Final Dividend of Rs. 2.50 per share (Subject to tax of 10%)/Financial Year 2014/Share Transfer Book Open, 01-JUN-15, 10-JUN-15,152.6,138.5
2015-03-11 00:00:00,AHPL-N-0000,AHOT PROPERTIES,Interim Dividend of Rs. 1.00 per share/Financial Year 2014/2015, 20-MAR-15, 31-MAR-15,63.8,64
2015-03-11 00:00:00,OSEA-N-0000,OVERSEAS REALTY,Second Final Dividend of Rs. 0.50 Per Share/Financial Year 2014/Share Transfer Book Open, 07-MAY-15, 15-MAY-15,25,23.9
2015-03-18 00:00:00,CINS-N-0000,CEYLINCO INS.,First & Final Dividend of Rs. 20.00 per share (Voting & Non Voting)/Financial Year 2014, 23-APR-15, 05-MAY-15,1501,1520.1
2015-03-19 00:00:00,CINV-N-0000,CEYLON INV.,First Interim Dividend of Rs. 2.50 Per Share(Rs. 1.72 has already been subjected to tax and Rs. 0.78 would be subject to a tax of 10%)/Financial Year 2014/2015, 30-MAR-15, 08-APR-15,92.8,91.3
