Market Capitalisation of Listed Companies as at 31st December 2007,,,,,
COMPANY CODE,NAME,DATE TRADED,INDEXED SHARES (No),PRICE (Rs),MARKET CAP(Rs.)
CFLB,FORT LAND,2007-12-31 00:00:00,36000000,15.5,558000000
LVEN,LANKA VENTURES,2007-12-27 00:00:00,50000000,11,550000000
LAND,LAND & BUILDING,2005-01-20 00:00:00,2120479,206,436818674
ONAL,ON'ALLY,2007-12-27 00:00:00,14000616,31,434019096
HARI,HARISCHANDRA,2007-12-24 00:00:00,959800,450,431910000
CHOU,CEYLINCO HOUSING,2007-12-31 00:00:00,13379850,32,428155200
LALU,LANKA ALUMINIUM,2007-12-31 00:00:00,13702823,30.75,421361807.25
KAPI,MTD WALKERS,2007-12-24 00:00:00,5717857,70,400249990
EBCR,E B CREASY,2007-12-31 00:00:00,2535458,152,385389616
WAPO,WATAPOTA,2007-12-26 00:00:00,671008,570,382474560
CFVF,FIRST CAPITAL,2007-12-31 00:00:00,33750000,11.25,379687500
SWAD,SWADESHI,2007-10-19 00:00:00,130666,2850,372398100
STAF,STAFFORD,2007-12-31 00:00:00,31621477,11.5,363646985.5
ETWO,EQUITY TWO PLC,2007-12-31 00:00:00,31000000,11.5,356500000
ASCO,ASCOT,2007-12-31 00:00:00,7985505,44.25,353358596.25
CIND,CENTRAL IND.,2007-11-21 00:00:00,3294738,106,349242228
ALLI,ALLIANCE,2007-12-27 00:00:00,1620000,215,348300000
LAMB,KOTMALE HOLDINGS,2007-12-31 00:00:00,31400000,11,345400000
DPL,DANKOTUWA PORCEL,2007-12-31 00:00:00,22617870,15,339268050
CSF,CEYLINCO FINANCE,2007-12-31 00:00:00,19986050,16.5,329769825
MADU,MADULSIMA,2007-12-31 00:00:00,29000000,11.25,326250000
SHOT,SERENDIB HOTELS,2007-12-28 00:00:00,12074273,27,326005371
SMLL,S M LEASING,2007-12-31 00:00:00,22713639,14,317990946
MARA,MARAWILA RESORTS,2007-12-31 00:00:00,70000000,4.5,315000000
KDL,KELSEY,2007-12-31 00:00:00,17429274,18,313726932
SEMB,SEYLAN MERCHANT,2007-12-31 00:00:00,44503120,7,311521840
BBH,BROWNS BEACH,2007-12-31 00:00:00,9600000,31.75,304800000
AUTO,AUTODROME,2007-12-31 00:00:00,1200000,252,302400000
ACME,ACME,2007-12-31 00:00:00,13416480,22,295162560
EMER,EASTERN MERCHANT,2007-12-11 00:00:00,1677800,175,293615000
PHAR,COL PHARMACY,2007-12-28 00:00:00,1272857,230,292757110
ECL,E - CHANNELLING,2007-12-31 00:00:00,17447345,16,279157520
GREG,ENVI. RESOURCES,2007-12-31 00:00:00,17386080,16,278177280
LPRT,LAKE HOUSE PRIN.,2007-12-27 00:00:00,2937245,89.75,263617738.75
CABO,CARGO BOAT,2007-12-31 00:00:00,10200036,24.75,252450891
KFP,KEELLS FOOD,2007-12-31 00:00:00,5000000,49.75,248750000
COLO,COLONIAL MTR,2007-12-28 00:00:00,8110505,29.25,237232271.25
TAFL,THREE ACRE FARMS,2007-12-31 00:00:00,23545000,10,235450000
HEXP,HAYLEYS EXPORTS,2007-12-28 00:00:00,8000000,29,232000000
MORI,MORISONS,2007-12-27 00:00:00,580829,398,231169942
SINI,SINGER IND.,2007-12-19 00:00:00,3846300,60,230778000
BFL,BAIRAHA FARMS,2007-12-31 00:00:00,16000000,14.25,228000000
CFT,CFT,2007-12-26 00:00:00,1401960,160.5,225014580
MSL,MERC. SHIPPING,2007-12-24 00:00:00,2492482,90,224323380
COCO,COCO LANKA,2007-12-31 00:00:00,12600000,17.5,220500000
SOY,SOY FOODS,2007-12-28 00:00:00,2750000,80,220000000
UCAR,UNION CHEMICALS,2007-12-28 00:00:00,1500000,139,208500000
APDL,ASSOCIATED PROP.,2007-12-28 00:00:00,3158314,66,208448724
SIL,SAMSON INTERNAT.,2007-12-31 00:00:00,3847974,53.75,206828602.5
HSIG,HOTEL SIGIRIYA,2007-12-31 00:00:00,5859000,35,205065000
