Foreign Holding as at 31st December 2015,,,,,
YEAR,COMPANY ID,MAIN TYPE,SUB TYPE,COMPANY NAME,FOREIGN HOLDING (Volume)
2015,CHOU,N,0000,CITY HOUSING & REAL ESTATE COMPANY PLC,38635
2015,CLPL,W,0014,CEYLON LEATHER PRODUCTS PLC,29630
2015,ATL,N,0000,AMANA TAKAFUL PLC,4144803
2015,HHL,B,0000,HEMAS HOLDINGS PLC,0
2015,LFIN,W,0004,LB FINANCE PLC,0
2015,SINN,N,0000,CEYLON STRATEGIC HOLDINGS LIMITED,0
2015,EAST,R,0000,EAST WEST PROPERTIES PLC,0
2015,SHOT,R,0000,SERENDIB HOTELS PLC,0
2015,SIGV,R,0000,SIGIRIYA VILLAGE HOTELS PLC,0
2015,BIL,R,0000,BROWNS INVESTMENTS PLC,0
2015,GHLL,N,0000,GALADARI HOTELS (LANKA) PLC,405189993
2015,GRAN,N,0000,CEYLON GRAIN ELEVATORS PLC,40412018
2015,KHC,N,0000,THE KANDY HOTELS COMPANY (1938) PLC,55500
2015,RPBH,N,0000,ROYAL PALMS BEACH HOTELS PLC,2683086
2015,AEC,N,0000,ASSOCIATED ELECTRICAL CORPORATION PLC,0
2015,INDO,B,0000,INDO-MALAY PLC,0
2015,LITE,N,0000,LAXAPANA BATTERIES PLC,35599
2015,MADU,N,0000,MADULSIMA  PLANTATIONS  PLC,288472
2015,AHUN,N,0000,AITKEN SPENCE HOTEL HOLDINGS PLC,5864622
2015,CARG,B,0000,CARGILLS (CEYLON) PLC,0
2015,REEF,W,0017,CITRUS LEISURE PLC,0
2015,TAFL,N,0000,THREE ACRE FARMS PLC,5509358
2015,VFIN,N,0000,VALLIBEL FINANCE PLC,294945
2015,LPRT,N,0000,LAKE HOUSE PRINTERS & PUBLISHERS PLC,7419
2015,SEYB,N,0000,SEYLAN BANK PLC,11292991
2015,UAL,N,0000,UNION ASSURANCE PLC,30932
2015,CLC,N,0000,COMMERCIAL LEASING & FINANCE PLC,30000
2015,MARA,N,0000,MARAWILA  RESORTS  PLC,318700
2015,ASIY,N,0000,ASIA SIYAKA COMMODITIES LIMITED,1623788
2015,BREW,B,0000,CEYLON BEVERAGE HOLDINGS PLC,0
2015,MULL,R,0000,MULLER & PHIPPS (CEYLON) PLC,0
2015,BOPL,N,0000,BOGAWANTALAWA TEA ESTATES PLC,145430
