Sector Market Capitalisation - Monthly 2015,,,,,,,,,,,,
SECTOR ,January,February,March,April,May,June,July,August,September,October,November,December
"BANKS, FINANCE & INSURANCE",739406834566.6,776931968387.9,726248436805.5,773231873338.1,790298395760.1,758492447921.4,790607739830.5,782777512879.8,730931375778.6,733245233066.9,697588622524.5,699843602459.4
"BEVERAGE, FOOD & TOBACCO",554226651996.3,569323036436,542750454463.5,557186420577,561841244212.2,535157277361.8,554860359556.5,565882949947,561942681043.4,563113784656.2,570613778025.9,562956925674
CONSTRUCTION & ENGINEERING,48459046344,50172811450.4,39231499077.2,44177596798.4,42390140173.2,45190679621.2,49772577405.6,47851047892,46313928972,44483445152,43635524862,42793579974
CHEMICALS & PHARMACEUTICALS,19158019830.9,19336444102.1,18056523275.4,18873651051,18973742894.5,18868116491.2,20960091034,21287851636.2,20745731135,20524700920.6,19641640694.4,19682363522.9
DIVERSIFIED HOLDINGS,545723792467.7,535455172064.1,497068864669.1,530518039053.9,524350259873.2,527510078614.7,559654942097.9,543569936839.3,517124270144.1,516450298368.3,525825102132.3,526704670248.1
FOOTWEAR & TEXTILES,12950916869,12682092145.3,12590873244.1,12879570303.2,12539073150.8,12241051302,12650313318.9,12637246748,12532698150.6,13201356000.1,12931192450.1,13249053743.1
HOTELS & TRAVELS,361893426804,361200806861.4,345460754092.7,357161245777.3,363331753625.3,358243119672.8,360212823401.5,357769090068.4,350046738261.3,347602543938.2,342384434524.1,346103872882.7
HEALTH CARE,49757709096.9,49838964511.1,46156255357.9,50029582505.4,48174176971.4,48268521186.9,51276440166.8,51342233293.8,51684096819.4,52820396472.6,57549589172.1,56049881479.4
INVESTMENT TRUSTS,39163425300.3,38645299313.3,36160559709.7,37870035358,37856823710.9,36633295004.9,38831150832.6,37642996851.4,35008065287.5,35855954761.7,34286484986,33764761136.1
INFORMATION TECHNOLOGY,1666302112.3,1680814678.2,1507531272.8,1873925517.8,1802946093.2,1717454102.7,1778519810.2,1619748970.7,1473191272.7,1473191272.7,1363272999.2,1397612999.3
LAND & PROPERTY,53064534916.9,52311679523.6,46648858692.3,49251639439.8,49670999136.3,49432913919.9,52006526577.7,50722157619.7,49145228552.5,47907405677.3,49062656971.2,49652010499.8
MANUFACTURING,165466112950.3,167233153309.7,158548903321.5,169510911308.6,173252305140.6,166373802435.4,180644237815.2,181211816519.2,174193763451.3,177807484642.3,172374779829.6,172705663868.5
MOTORS,25460557650,25861830663.7,23808925772.8,24699502679.4,27092639345.1,26646684923,27082982034.1,27574636383.2,26587162519.4,25749737236.2,25486102503,25149810141.9
OIL PALMS,115401019356,127724012118,118192053756.1,123614781678.1,120612259036.3,119045031541.3,118323013069.3,115110110107,114086415164.8,107888639594.9,100228439594.9,98808639578.9
POWER & ENERGY,56359849134.9,51872660007.6,47905550176.7,52266651065.5,47548475644.6,46866248163.6,50461538954.5,54447680152.3,52785706248.2,54775779028.3,48916931779.2,49433005824.4
PLANTATIONS,26577234323.6,26565775475.5,24683519542,25497201125.6,24820215232.6,24425277846.9,25866898079.7,26649134677.7,26460843559.5,26330274981.6,25413045490.4,25171177096.1
STORES & SUPPLIES,6152568142.6,6602984175.3,5852002284.6,5966656304.2,6065423101.1,6170819167.9,6246718246,6438019050,6391554295.8,6146881280.2,6359375946.7,6337502802.7
SERVICES,7788209629.2,8065105804,7782247785.5,7835039193,7961656806,7379532310,7914563522.2,7828742176.4,7586343909.2,7631629273,7182597581.7,7057213709.7
TELECOMMUNICATION,187246396860,185261050860,166816425412,178662357657.5,178662357657.5,165284485252.5,176214842455,180286731657.5,176663866614.5,178204570136,173591222933.5,171966848933.5
TRADING,26338185153.4,27853074971.8,25698043630.8,27563644925,30011644787,29070116885.4,29894162232.8,31687858996.8,29105580914.4,29247526667.4,28856805781.6,29169755828.6
ASPI MKT CAP,3042260793504.9,3094618736859,2891168282342.2,3048670325657,3067256532352,2983016953726,3115260440441,3104337502466,2990809242094,2990460833127,2943291600782,2937997952403
S&P MKT CAP,1563278015667.9,1594519792825.5,1489107636695.3,1560218333546,1541298112194.1,1493037600107.2,1565184549483.5,1552822492937.5,1494131505819.8,1421840981055.7,1400242481641.1,1347177463355.6
