Right Issues 2001,,,,,,
Company,Ratio,No. of Shares,Issue Price,No of Shares Subscribed,No of Shares Devolved,Date of Allotment
,,Offered,(Rs.),by the Public,to underwriters,
ALUFAB,1 for 1,2009700,10,2009700,-,2001-03-29 00:00:00
CEYLINCO HO,1 for 1,2973300,12,2973300,-,2001-05-11 00:00:00
GESTETNER,5 for 4,703125,25,703125,-,2001-08-06 00:00:00
HAYLEYS,1 for 9,4000000,15,4000000,-,2001-08-01 00:00:00
ROYAL PALMS,1 for 4,10000000,8,10000000,-,2001-06-20 00:00:00
