"Market Capitalization of Listed Companies as at December 30th, 2016",,,,
COMPANY CODE,COMPANY NAME,INDEXED PRICE (Rs),INDEXED QUANTITY (No.),MARKET CAP (Rs.)
CONN,AMAYA LEISURE,65.5,51876976,3397941928
CDB,CDB,70,46299223,3240945610
TAFL,THREE ACRE FARMS,135.1,23545000,3180929500
SFIN,SINGER FINANCE,19.2,165333334,3174400012.8
EBCR,E B CREASY,1250,2535458,3169322500
MGT,HAYLEYS FABRIC,15,207740888,3116113320
HDFC,HDFC,47.2,64710520,3054336544
KAHA,KAHAWATTE,37.7,79889805,3011845648.5
CARE,PRINTCARE PLC,35,85966670,3008833450
HASU,HNB ASSURANCE,58.8,50000000,2940000000
NEH,NUWARA ELIYA,1460,2003870,2925650200
BFL,BAIRAHA FARMS,181.5,16000000,2904000000
CSEC,DUNAMIS CAPITAL,23.5,122997050,2890430675
BBH,BROWNS BEACH,22,129600000,2851200000
KCAB,KELANI CABLES,130,21800000,2834000000
CTLD,C T LAND,53.1,48750000,2588625000
AMF,AMF CO LTD,459.9,5608355,2579282464.5
CFVF,FIRST CAPITAL,25,101250000,2531250000
VFIN,VALLIBEL FINANCE,60.4,41550600,2509656240
REXP,RICH PIERIS EXP,223.4,11163745,2493980633
LHL,LIGHTHOUSE HOTEL,53.1,46000000,2442600000
HARI,HARISCHANDRA,2500,959800,2399500000
CLPL,CEYLON LEATHER,70,34234069,2396384830
COCO,RENUKA FOODS,19.9,117960106,2347406109.4
MBSL,MERCHANT BANK,13.6,165717222,2253754219.2
CHL,DURDANS,87.4,25527272,2231083572.8
ALLI,ALLIANCE,64.7,33696000,2180131200
HUNT,HUNTERS,416,5145000,2140320000
CSD,SEYLAN DEVTS,14.4,147964860,2130693984
LVEN,LANKA VENTURES,42.5,50000000,2125000000
RENU,RENUKA CITY HOT.,295,7000000,2065000000
KVAL,KELANI VALLEY,59.9,34000000,2036600000
EAST,EAST WEST,14.7,138240000,2032128000
