,January,,,,,February,,,,,March,,,,,April,,,,,May,,,,,June,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,,July,,,,,August,,,,,September,,,,,October,,,,,November,,,,,December,,,,
Sector ,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded,Trades (No.),Share Volume,Turnover (Rs.),Listed,Traded
Information Technology,481,1002566,3220171,2,2,222,1219535,1217062,2,2,211,469564,1448167,2,2,165,302032,1778086,2,1,115,217916,1208991,2,1,140,226325,1141346,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,247617,1130759,2,1,112,199147,923293,2,1,167,219093,1059577,2,1,128,121337,534902,2,1,179,173915,843853,2,1,57,79222,347799,2,1
Land & Property,1816,5609555,174392556,19,18,4548,10088773,220065078,19,18,11407,80298699,1068634846,19,17,2419,4335312,68356311,19,18,4329,85221262,731971352,19,18,2133,6512778,80386597,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2629,17872763,171138483,19,18,3168,8854361,120484731,19,18,2179,3408742,44193621,19,18,1742,2316840,34899691,19,18,2319,6866140,67580199,19,18,2210,3213009,50046264,19,17
Manufacturing,8793,27108255,937415725,41,35,10139,30750223,639682587,41,36,11832,41281337,1058760391,41,36,9387,23587158,708699089,41,36,10564,61123788,1827643137,41,35,9831,49242148,787961711,41,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10099,24912497,556787041,41,36,9035,19731611,447976109,41,36,8944,21886205,631038510,41,36,10755,39986985,1077169958,41,34,12199,39248724,1203511190,41,35,5872,9596951,188861199,41,34
Motors,485,364704,31901048,6,6,384,224431,21122337,6,6,410,54331,9359178,6,6,471,510952,39076866,6,6,673,418846,40706860,6,6,449,123911,14501500,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,204234,23086379,6,6,450,76210,7326396,6,6,576,477349,42003887,6,6,478,398992,34184378,6,6,274,45898,3454102,6,6,310,48768,3771036,6,6
Oil Palms,230,38348,9324268,5,5,141,109046,24364047,5,5,140,8713164,1738517801,5,5,92,2369,738774,5,5,72,1379,345290,5,5,74,55187,12215056,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,12625,2721868,5,5,96,2312,582485,5,5,102,4417,1091974,5,4,70,4962,1048727,5,5,73,637,324075,5,5,141,4734,1135745,5,5
Power & Energy,4213,19391127,227369575,10,9,4479,38333709,652389750,10,9,5856,11999237,285907626,10,9,4111,51815463,253386414,10,9,5023,29603892,304525161,10,9,2504,7030383,73222783,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3226,13582689,174059932,10,9,2516,10927685,75588698,10,9,3154,7670708,74554609,10,9,2701,10358077,129048705,10,8,3004,74018345,377640893,10,8,1900,17029174,96092794,10,8
Plantations,2957,3225394,62110442,19,17,6625,13499770,241287230,20,18,4590,6191467,101358185,20,18,3643,5287151,75552999,20,18,3235,4689564,78604456,20,18,3303,4030529,57904023,20,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3146,15248955,123948973,20,18,2446,8878269,78652349,20,18,2473,11536254,87342444,20,18,2623,6673279,130665672,20,18,1975,1581702,18954868,20,18,1736,843166,9621037,20,18
Stores & Supplies,153,27645,11258537,4,4,137,8064,3579203,4,4,218,33491,21793126,4,4,134,12692,9187539,4,4,83,20428,14168372,4,4,113,5792,4582290,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,111866,49980451,4,4,113,4234,1036790,4,4,261,5415,3003398,4,4,183,5044,2424979,4,4,92,2595,2345957,4,4,53,2456,1343913,4,4
Services,1625,98265404,417903285,8,8,2303,39732917,54402778,8,8,1710,5317364,22086351,8,8,1071,2177986,8828229,8,8,1182,4602917,27714955,8,8,729,2328377,7844189,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861,2396002,7880884,8,8,659,2280240,6838271,8,8,748,4865569,12397052,8,8,854,5761765,20921082,8,8,818,7190599,17050922,8,8,578,3511435,10294007,8,8
Telecommunication,622,12391665,168500236,2,2,833,23714926,323888668,2,2,740,17747005,245619669,2,2,861,26066334,366123073,2,2,1171,14887776,216451319,2,2,724,16814761,243671479,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,6071401,85599588,2,2,1412,12622233,175276968,2,2,1188,19984135,243087167,2,2,1127,15103506,177562911,2,2,1815,21492105,251141573,2,2,2680,31844638,332551720,2,2
Trading,1179,7173623,19120317,9,8,1498,10769837,30439898,9,8,1330,5030960,26941295,9,8,1231,5480012,23078507,9,8,2192,12655322,40340453,9,8,1380,10839200,22423158,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2049,16274613,29278661,9,8,2711,24943662,39280079,9,8,1145,5909385,9483526,9,8,2841,45309994,1688975526,9,8,1608,10660997,32665664,9,8,705,3133150,10391352,9,8
The above share volume and turnover figures represent only Ordinary Voting Shares.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
